gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5464933104,lose,Ranked Solo,2021-09-18 02:16:34,23m 37s,4,5,2,1.20:1,ACE,empty,Jarvan IV,Diamond 1,empty,Jarvan IV,Sigmα Grindset,Graves,El Bysiurinho,Kassadin,Notrightinhead,Xayah,Xandru,Xerath,stubborn as heII,Riven,nrufkcalB,Xin Zhao,Pötürgeli xD,Akshan,RETIRED ACC,Samira,Fokucu06,Amumu,IlllIlllIIIIlIIl
5464886465,win,Ranked Solo,2021-09-18 01:32:50,15m 25s,5,1,3,8.00:1,empty,empty,Jarvan IV,Master,empty,Yone,Crouds,Taliyah,funny3350,Twisted Fate,YellowMoonkey,Caitlyn,HJIN Snoop,Janna,RoxanneV2,Jarvan IV,Sigmα Grindset,Rengar,Silentorio,Orianna,Ðezton,Ezreal,JSaito,Bard,Kid Francescoli
5464636072,lose,Ranked Solo,2021-09-17 22:31:03,24m 40s,8,5,2,2.00:1,Double Kill,ACE,Aatrox,Diamond 1,empty,Sett,WaxMyBox,Rek'Sai,Hażard ,Vel'Koz,EvaZioNz,Kai'Sa,mental pogue,Nautilus,ajajajajajajaj,Aatrox,Sigmα Grindset,Kha'Zix,projectnewme,Sylas,FB Genosect,Lucian,Kevaman,Xerath,STRIDΕR
5464641918,win,Ranked Solo,2021-09-17 21:56:31,27m 13s,8,7,4,1.71:1,Double Kill,empty,Jayce,Diamond 1,empty,Camille,VER Lunddorf,Karthus,135243,Yasuo,QLS Poro,Caitlyn,Yuukaka,Janna,Banana booom,Jayce,Sigmα Grindset,Ekko,SololanesRefugee,Graves,epicnicegamer,Draven,gallinα de cieza,Soraka,Delightful Agøny
5464617458,win,Ranked Solo,2021-09-17 21:14:37,19m 9s,5,4,1,1.50:1,Double Kill,empty,Jarvan IV,Diamond 2,empty,Gwen,ARN0,Graves,Jungle Njutare,Ryze,Celterr1,Kalista,FR4NK3R,Sett,winbotlosegames,Jarvan IV,Sigmα Grindset,Xin Zhao,23456765,Talon,ur disgusting,Seraphine,CrypMa,Rakan,TwTv Valenjin
5464583388,lose,Ranked Solo,2021-09-17 20:42:46,40m 12s,6,8,13,2.38:1,Double Kill,empty,Jarvan IV,Diamond 4,empty,Akali,whatever cba,Talon,2 soxE,Ryze,Peponaki,Xayah,LKΝ,Thresh,ellebelle,Gangplank,Vex Bezos,Jarvan IV,Sigmα Grindset,LeBlanc,Múnja,Ezreal,Myàhz,Karma,Justin Bridoù
5464177017,lose,Ranked Solo,2021-09-17 07:21:11,31m 48s,8,8,4,1.50:1,ACE,empty,Jarvan IV,Platinum 1,empty,Riven,SF Monsun,Kayn,Emaevannain,Quinn,SKHCUGSO1I,Qiyana,Gaulachri,Janna,Melwin,Jarvan IV,Sigmα Grindset,Nidalee,SlNEDD,Anivia,sHuoHaoDeGankNe,Ezreal,Immortuttu,Soraka,MajestyInt
5463970110,lose,Ranked Solo,2021-09-17 05:12:54,20m 58s,3,7,1,0.57:1,empty,empty,Aatrox,Diamond 1,empty,Gwen,David Nalbandian,Lee Sin,HamzaReıs,Veigar,DJ SWAGPANTS,Draven,WSL Axe thrower,Thresh,Ματζελάν,Aatrox,Sigmα Grindset,Olaf,Garkes,Galio,TURBOGALIO,Jinx,Lucamast 2,Yuumi,Prince Zeldris
5463982210,lose,Ranked Solo,2021-09-17 04:06:20,3m 21s,0,1,0,0.00:1,empty,empty,Kennen,Diamond 1,empty,Darius,Lanıus,Alistar,Dervan,Katarina,BEASTonMID,Kai'Sa,I still believe,Hecarim,Garkes,Kennen,Sigmα Grindset,Kha'Zix,Kªrªh,LeBlanc,ArclightPhoenix,Ezreal,g2lemon1,Yuumi,PINW KAFE
5463885520,win,Ranked Solo,2021-09-17 03:43:41,24m 9s,12,5,7,3.80:1,Triple Kill,empty,Jarvan IV,Diamond 4,empty,Yone,ARAGØTO,Shaco,Chaos Mastermind,Pyke,1key,Jinx,RZN Walker,Leona,Mistakes Improve,Jarvan IV,Sigmα Grindset,Ekko,nonamexyz,Zed,Kourosh Azizam,Jhin,Myàhz,Karma,Justin Bridoù
