gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5502738868,lose,Ranked Solo,2021-10-12 20:27:14,22m 16s,5,5,1,1.20:1,empty,empty,Darius,Grandmaster,empty,Darius,me like solobolo,Lee Sin,Lithuanian Doinb,Vladimir,BIeed for me,Lucian,Alan Roger,Braum,its all a joke,Gwen,Vortum,Xin Zhao,for her sake,Ryze,woshilqs,Miss Fortune,CR Lowfire,Amumu,Gloomy Night
5502745523,win,Ranked Solo,2021-10-12 19:59:52,35m 30s,5,16,3,0.50:1,empty,empty,Jayce,Grandmaster,empty,Dr. Mundo,häppy man,Lee Sin,FERRETTT,Zoe,Pro Uno Player,Jhin,lucky luna,Thresh,GW Bob,Jayce,me like solobolo,Taliyah,C9 Blaberfish2,Vladimir,BIeed for me,Miss Fortune,Uzi mode1,Galio,Ufa Uchaly 102
5501802932,win,Ranked Solo,2021-10-12 04:35:05,25m 3s,10,7,10,2.86:1,Double Kill,empty,Jayce,Master,empty,Jayce,me like solobolo,Jarvan IV,23iko,Graves,Goldguns88,Rumble,kennen is cringe,Rakan,LQTWUXWEEX,Sylas,Tommy944,Lee Sin,NoELO4uSir,Yasuo,Red Winter,Lucian,ΑSXCE,Zilean,schifosoemerdoso
5501707043,lose,Ranked Solo,2021-10-12 03:56:33,20m 52s,2,9,4,0.67:1,empty,empty,Aatrox,Grandmaster,empty,Aatrox,me like solobolo,Kindred,nap ability,Katarina,twtv NyroLoL,Aphelios,Neon1337Ad,Thresh,LQTWUXWEEX,Jayce,Stargazer7,Nidalee,Sawyor,Corki,NoELO4uSir,Jhin,kaylem ad acc,Bard,bartastic
5500330692,win,Ranked Solo,2021-10-11 01:26:28,23m 59s,4,6,8,2.00:1,empty,empty,Renekton,Grandmaster,empty,Sett,lets get itt,Jarvan IV,ACCELERATOR7,Sylas,Jonah Falcon,Miss Fortune,Katherine Pierce,Rakan,PIYCRIGY,Renekton,me like solobolo,Nidalee,HRN Joinze,Zed,TwTv iljimaeLoL,Draven,quack1,Thresh,Dimil Q
5498047100,win,Ranked Solo,2021-10-09 19:47:53,17m 34s,6,1,4,10.00:1,Double Kill,empty,Kennen,Grandmaster,empty,Kennen,me like solobolo,Graves,Icelandwinter,Zed,Po Gap,Jhin,Slyv3r,Pyke,BJK Lekcyc,Karma,lövhögen,Hecarim,Keule183,Aatrox,lucky iceland ,Lucian,Beanovich,Nami,schifosoemerdoso
5497556331,lose,Ranked Solo,2021-10-09 06:37:46,18m 39s,1,7,3,0.57:1,empty,empty,Jayce,Grandmaster,empty,Rengar,7zx,Qiyana,sejun1,Ezreal,GS Bolulu,Karthus,Patrik23,Senna,gIockinmylap,Jayce,me like solobolo,Xin Zhao,for her sake,Galio,refocus mental,Lucian,SPOLFCEI,Nami,IG Divine
5497571942,win,Ranked Solo,2021-10-09 06:09:44,15m 38s,7,3,1,2.67:1,Double Kill,MVP,Olaf,Grandmaster,empty,Darius,WAO RANK 1 ,Udyr,GAL Elramir,Malzahar,Alan234,Soraka,Worsttt,Fiddlesticks,WiIIyrex Fanboy,Ryze,FNC Nisqybaba,Jarvan IV,for her sake,Olaf,me like solobolo,Karthus,twtchtvELOSANTA,Senna,Beanovich
5496384415,lose,Ranked Solo,2021-10-08 19:49:41,19m 37s,2,13,1,0.23:1,empty,empty,Wukong,Grandmaster,empty,Wukong,me like solobolo,Jarvan IV,Icelandwinter,Katarina,TwTv Ronges1,Lucian,Kaor1,Yuumi,Heimskáut réfur,Jayce,Thel1ttletiger,Qiyana,Gilius1,Sylas,Po Gap,Ashe,Beanovich,Poppy,Dry Flower
5495653259,lose,Ranked Solo,2021-10-08 02:36:02,23m 37s,3,7,2,0.71:1,empty,empty,Gnar,Grandmaster,empty,Yone,Dzukill,Talon,fooling around,Viktor,Kοri,Miss Fortune,Paulaeal,Amumu,Veignorennn,Gnar,me like solobolo,Lillia,gaengsin,Zed,TwTv iljimaeLoL,Ezreal,Ukazat,Jarvan IV,SPEEDOBEAR
5495610512,lose,Ranked Solo,2021-10-08 02:03:28,15m 24s,0,7,0,0.00:1,empty,empty,Graves,Grandmaster,empty,Graves,me like solobolo,Karthus,NHWK,Zed,TwTv iljimaeLoL,Aphelios,11Lunari Weapons,Taric,WiIIyrex Fanboy,Quinn,SMB NuQ,Qiyana,Berk Demir,Ryze,for her sake,Miss Fortune,Seelame,Bard,woshidoinb
5495285735,win,Ranked Solo,2021-10-07 22:32:54,22m 32s,9,7,6,2.14:1,empty,empty,Graves,Grandmaster,empty,Yone,Cursed Juju,Fiddlesticks,I Got This,Tryndamere,AΙan,Miss Fortune,II Anyone,Amumu,aléc,Graves,me like solobolo,Lee Sin,Haþubu,Vex,tibor,Ezreal,CRASIAA,Leona,HUNGRY IRL 
5495342255,win,Ranked Solo,2021-10-07 22:01:02,22m 17s,6,4,3,2.25:1,Double Kill,empty,Graves,Grandmaster,empty,Jax,FFDP,Qiyana,JESUISRANDOMEXD,Syndra,GOREDRlNKURMOM,Miss Fortune,TakeSet sama,Soraka,W0jti,Graves,me like solobolo,Nocturne,Xi Jinping 1v9,Xerath,TheRoyalKanin,Draven,Abner,Sona,gIockinmylap
5494918521,lose,Ranked Solo,2021-10-07 09:05:09,24m 52s,3,6,5,1.33:1,empty,empty,Viego,Master,empty,Graves,Im Carry machine,Viego,me like solobolo,Orianna,wincg,Varus,Avra 456,Vel'Koz,GS Bolulu,Jax,Nillee,Qiyana,Dinner first,Twisted Fate,NOX Scythe,Lucian,TheLegendOfMagic,Karma,SISSY FEMBOY XD
5494906787,lose,Ranked Solo,2021-10-07 08:32:45,18m 47s,4,6,2,1.00:1,ACE,empty,Graves,Master,empty,Yasuo,Im Carry machine,Kayn,Dinner first,Zoe,Pakk,Caitlyn,NOX Scythe,Nami,BroIia,Graves,me like solobolo,Fiddlesticks,EUW VILLAIN,Vel'Koz,GS Bolulu,Ezreal,TheLegendOfMagic,Brand,ION Marrow Ooze
5494883311,lose,Ranked Solo,2021-10-07 08:06:27,35m 46s,15,6,8,3.83:1,Double Kill,ACE,Kennen,Grandmaster,empty,Kennen,me like solobolo,Lillia,Expecto Patrounm,Tryndamere,C9 Fudge Factor,Lucian,HoIyPhoenîx,Nami,Frank Horrigan,Fiora,Ersin6,Karthus,TwTv J3kko1,Pantheon,Armoured Dragon,Tristana,EDGVIPEREDGVIPER,Rakan,KwK AlVaRo710
5494818789,lose,Ranked Solo,2021-10-07 07:19:53,30m 12s,10,6,2,2.00:1,ACE,empty,Graves,Master,empty,Graves,me like solobolo,Hecarim,Οbsess,Vladimir,Smooth Guy,Ezreal,Andarielz,Rakan,LDNU Nyzah,Teemo,Nice Guy Ben,Kindred,SGE SevenArmy,Syndra,kjhggdfs,Miss Fortune,666 reverse 999,Soraka,Sτoπεd Snαke
5494772810,win,Ranked Solo,2021-10-07 06:29:12,24m 48s,4,7,15,2.71:1,empty,empty,Graves,Grandmaster,empty,Graves,me like solobolo,Nidalee,suh dude xD,Sylas,maybe f keys ,Tristana,Iose my mind,Amumu,RogueTheKangaroo,Jayce,dofaminu,Lee Sin,SGE SevenArmy,Zoe,vvaena,Aatrox,something 2 lose,Rakan,Heimskáut réfur
5494632083,lose,Ranked Solo,2021-10-07 04:31:08,32m 15s,6,7,4,1.43:1,Double Kill,empty,Kennen,Grandmaster,empty,Kennen,me like solobolo,Lee Sin,ég jojopyun,Ryze,B99 PERALTHAR,Miss Fortune,G 2 3 H 1 Z U ,Sona,gIockinmylap,Graves,ΙrreΙevant,Kha'Zix,HEART F STEEL,Sylas,nukëduck,Lucian,Pride0,Nami,Obstinatus
5494013108,lose,Ranked Solo,2021-10-06 19:55:46,28m 38s,10,5,2,2.40:1,Double Kill,ACE,Kennen,Grandmaster,empty,Kennen,me like solobolo,Viego,IIIlIllIIIllIll,Orianna,kingkoshe,Lucian,bean3,Yuumi,Chouineur 1,Aatrox,TwTv Naayil ,Nidalee,fooling around,Graves,hoodieteamgamer,Aphelios,11Lunari Weapons,Sona,Prosfair
5492872624,win,Ranked Solo,2021-10-06 04:26:30,15m 15s,2,3,2,1.33:1,Double Kill,empty,Gnar,Grandmaster,empty,Gnar,me like solobolo,Xin Zhao,Thinking PLZ ,LeBlanc,SHøWMAKéR,Aphelios,FB Neramin1,Thresh,PARUS 2,Tryndamere,ten and a half,Gragas,im car,Graves,SK Alois,Jinx,TakeSet sama,Pyke,Chouineur 1
5492431691,win,Ranked Solo,2021-10-06 01:30:20,23m 58s,5,7,6,1.57:1,empty,empty,Aatrox,Grandmaster,empty,Aatrox,me like solobolo,Kha'Zix,Teskilat44,Diana,Kamus,Tristana,Supaaa,Bard,Ttv Lathyrus,Fiora,Xhen Doo,Ekko,l Need Blood ,Sett,Gabbo,Lucian,Emtest,Rakan,Aegis fangirlQAQ
5492041410,lose,Ranked Solo,2021-10-05 20:01:28,24m 10s,5,2,2,3.50:1,Double Kill,ACE,Aatrox,Grandmaster,empty,Aatrox,me like solobolo,Graves,finnry improving,Rumble,ttvsyndroomboy,Aphelios,kjhggdfs,Thresh,seaz test acc,Wukong,SołdSoulForLp,Qiyana,2021Worlds,Ryze,xKenzuke1,Lucian,Heimskáut réfur,Nami,hoodieteamgamer
5490742482,win,Ranked Solo,2021-10-04 20:00:11,32m 22s,6,11,6,1.09:1,empty,empty,Aatrox,Grandmaster,empty,Aatrox,me like solobolo,Graves,korea bbq,Orianna,bean3,Draven,Paulaeal,Yuumi,Bakkerij Nasib,Gnar,H ι r o,Ekko,JuIbu,Malzahar,balagan,Lucian,gdgd,Bard,Ttv Lathyrus
5488661064,lose,Ranked Solo,2021-10-03 08:39:32,23m 44s,0,7,1,0.14:1,empty,empty,Jayce,Grandmaster,empty,Jayce,me like solobolo,Akshan,L9 SUSSY BAKA,Kassadin,MSF Sertuss,Lucian,hgotdsxz,Alistar,devil in details,Camille,SK Alois,Talon,Tu po zi wo,Lissandra,TC Hú Táo,Ziggs,II Anyone,Bard,SPEEDOBEAR
5488557775,lose,Ranked Solo,2021-10-03 08:07:54,23m 2s,1,5,4,1.00:1,empty,empty,Aatrox,Grandmaster,empty,Aatrox,me like solobolo,Nidalee,ismaaa,Sylas,Thinking PLZ ,Draven,Mοrdred,Jarvan IV,SPEEDOBEAR,Camille,SK Alois,Zed,happy gαme,LeBlanc,Chemera,Miss Fortune,RRRift,Amumu,woshissm
