gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5501486916,lose,Ranked Solo,2021-10-12 01:36:47,21m 26s,4,8,3,0.88:1,Double Kill,empty,Lucian,Grandmaster,empty,Darius,WAO RANK 1 ,Lee Sin,korea bbq,LeBlanc,free maoan,Lucian,bean3,Leona,Roulette,Shen,Akrowz,Gragas,love eu supports,Zed,TwTv iljimaeLoL,Miss Fortune,Min Piraya Maya ,Braum,Stend1
5501457045,lose,Ranked Solo,2021-10-12 00:20:56,16m 4s,2,5,2,0.80:1,empty,empty,Miss Fortune,Grandmaster,empty,Karthus,NATANATANATANATA,Lillia,C9 ZVENNN,Qiyana,I Love Winner,Irelia,dajor25,Senna,sindrelolpro2345,Aatrox,ACD,Talon,Sticky Pillar,Malzahar,ett vilt lejon,Miss Fortune,bean3,Nami,StarZscreamLight
5501270562,lose,Ranked Solo,2021-10-11 19:48:32,26m 33s,0,6,8,1.33:1,empty,empty,Miss Fortune,Grandmaster,empty,Fiora,Vortum,Jarvan IV,Dinner first,Sylas,pr1meé ,Lucian,Chad Movement,Nami,SGE Heimdall,Jayce,tryharder123,Kha'Zix,KLOSHARS40FIRMI,Tristana,Ruined Crazyadri,Miss Fortune,bean3,Thresh,Roulette
5500630803,lose,Ranked Solo,2021-10-11 04:29:08,22m 33s,4,5,5,1.80:1,empty,empty,Miss Fortune,Grandmaster,empty,Camille,Undercover ChimP,Evelynn,Splash 001,Qiyana,Son of Korea,Miss Fortune,bean3,Rakan,LDNU Nyzah,Fiora,lucky iceland ,Zed,Armoured Dragon,Vex,dajor25,Karthus,Sergei Kravinoff,Leona,Stend1
5500407881,lose,Ranked Solo,2021-10-11 03:11:12,23m 32s,6,3,5,3.67:1,Double Kill,ACE,Tristana,Grandmaster,empty,Camille,chance no exist,Graves,Sawyor,LeBlanc,ifollowthebeat,Ezreal,Emtest,Bard,LiL TommyG,Renekton,Frei sein,Karthus,VâllHîR,Vex,phlaty,Tristana,bean3,Rakan,Lathyrus
5500348611,lose,Ranked Solo,2021-10-11 02:27:57,36m 42s,8,12,9,1.42:1,empty,empty,Jhin,Master,empty,Irelia,SoloLeveling5,Talon,K1 Stefan,Viktor,samura1nt,Miss Fortune,fps pro gamer,Nami,do me wrong,Lillia,Jin Mu Wοn,Kha'Zix,flaekkerN123,Ekko,Heart of Shaohao,Jhin,bean3,Rakan,Pehrson
5499905677,win,Ranked Solo,2021-10-10 21:27:26,23m 55s,5,4,10,3.75:1,Double Kill,empty,Jhin,Grandmaster,empty,Aatrox,Tollkühn,Lee Sin,VıNINE NERO,Azir,ACCELERATOR7,Tristana,II Anyone,Sylas,kaymint acc,Trundle,FrozenHuntsman,Lillia,Gilius1,Yone,sajatoruu,Jhin,bean3,Amumu,BotIsLavaPathTop
5498464675,lose,Ranked Solo,2021-10-10 01:01:31,31m 16s,4,6,13,2.83:1,empty,empty,Jhin,Grandmaster,empty,Riven, ممزق,Diana,Keule183,Cassiopeia,dofaminu,Miss Fortune,Min Piraya Maya ,Rell,Efias,Urgot,bausffs movement,Qiyana,Happy Alexx,LeBlanc,Heimskáut réfur,Jhin,bean3,Leona,livelyfish5
5498379765,lose,Ranked Solo,2021-10-10 00:23:36,26m 10s,4,8,4,1.00:1,empty,empty,Orianna,Grandmaster,empty,Gwen,dofaminu,Lee Sin,Markoon,Azir,Mood rings,Lucian,JuJuTw0,Nami,SGE Heimdall,Sett,the topgapper,Lillia,Happy Alexx,Orianna,bean3,Aphelios,Paulaeal,Thresh,qweqweqwe
5495353489,lose,Ranked Solo,2021-10-07 22:25:44,30m 24s,7,7,5,1.71:1,Double Kill,empty,Lucian,Grandmaster,empty,Jax,Selfish Raider,Talon,Ye Xiu1,Vex,msfvetheo1,Senna,Patrik23,Karma,GOREDRINK STERAK,Graves,for her sake,Rek'Sai,Roi DEMON,Orianna,Boukada,Lucian,bean3,Sona,Schuhbart
