gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5487136021,lose,Ranked Solo,2021-10-02 07:49:42,32m 5s,3,12,15,1.50:1,empty,empty,Rumble,Master,empty,Aatrox,GO GET IT,Rumble,everything to me,Yone,Iarsahan ,Samira,I Have Failed,Leona,Postkassen,Jayce,GS 5,Ekko,buff my role,Twisted Fate,Twist,Xayah,11235,Amumu,qwerasdfzxcbvcxz
5487171425,win,Ranked Solo,2021-10-02 07:12:02,22m 27s,12,6,5,2.83:1,Double Kill,empty,Aatrox,Master,empty,Aatrox,everything to me,Rengar,PERFECTF0RM,Corki,Veecto,Tristana,TRΙSTΑNA ,Amumu,tes zhu0,Gwen,Piotr Skowyrskii,Sejuani,WE Basil,Yone,Fearless Ravenno,Caitlyn,L9 BARACK OBAMA,Anivia,persedos
5487009116,win,Ranked Solo,2021-10-02 06:44:35,21m 4s,7,3,13,6.67:1,Double Kill,MVP,Xin Zhao,Master,empty,Fiora,DUMPIXOTA,Nocturne,asyc is a dog,Malzahar,Asmodean,Lucian,onii chan uwuu,Senna,TwTv iiTzLanorax,Sejuani,GSK VeyLot,Xin Zhao,everything to me,LeBlanc,Eva HD,Aphelios,happy frog1,Lulu,Only35 Unleashed
5487033151,win,Ranked Solo,2021-10-02 06:18:27,25m 45s,6,4,10,4.00:1,Double Kill,MVP,Sett,Master,empty,Sett,everything to me,Kayn,Last Cat,Vladimir,Q spammer,Miss Fortune,kristút,Janna,proelium magus,Ryze,mid1111111,Qiyana,Οbsess,Graves,WoppaChobba,Lucian,Optronix,Bard,Nacklar
5485947547,lose,Ranked Solo,2021-10-01 22:17:34,29m 53s,6,7,3,1.29:1,empty,empty,Riven,Master,empty,Aatrox,LeIvan,Lillia,Modi Boo,Vex,Cvprisun,Lucian,Its Jay,Thresh,PBE Thuete,Riven,everything to me,Diana,Aushlia,Corki,Rimtuolis,Kog'Maw,ashryver3,Janna,MTLK Kiddo
5485885165,lose,Ranked Solo,2021-10-01 20:09:31,32m 37s,7,10,10,1.70:1,empty,empty,Graves,Master,empty,Irelia,SUPERCONDUCTOR53,Graves,everything to me,Ryze,Karzzy11,Miss Fortune,BłackSwan,Bard,SLQ Daantastic,Aatrox,Im fine thx you,Rengar,your sisters bf,Ziggs,2021Worlds0171,Ezreal,IcelandWalrus,Sylas,wow cold
5485902582,lose,Ranked Solo,2021-10-01 19:31:02,23m 25s,4,11,3,0.64:1,ACE,empty,Rumble,Master,empty,Rumble,everything to me,Kha'Zix,theocacao,Tryndamere,Genius Monster,Twitch,uMxM01,Galio,KòuHei,Graves,2021Worlds0113,Lee Sin,Maryam7,Twisted Fate,L01 Eren1,Soraka,Xixauxas nya uwu,Karthus,kodanik matu
5485790367,win,Ranked Solo,2021-10-01 18:55:54,27m 4s,6,4,11,4.25:1,empty,empty,Sett,Master,empty,Sett,everything to me,Lee Sin,eyes on me,Rumble,LoopkinFin,Ezreal,Nautiskelija,Leona,Valcious,Camille,Last Dance1,Zed,as yoµ wish,Vex,Lakugepry,Miss Fortune,miracluboy,Lulu,FoxTheBeast
5485410252,lose,Ranked Solo,2021-10-01 06:31:24,30m 58s,12,8,10,2.75:1,Double Kill,ACE,Ekko,Diamond 1,empty,Tryndamere,TRZE,Ekko,everything to me,Yone,Yor Forger,Vayne,aPdro,Janna,proelium magus,Ornn,lil pump1,Diana,Dendruum,Akshan,Me go Beep Boop,Varus,On my own path,Rakan,Schone Henk
5484870028,lose,Ranked Solo,2021-10-01 00:57:12,29m 38s,7,14,8,1.07:1,Double Kill,empty,Diana,Master,empty,Malphite,mam dość tej gry,Zed,CãthêdrãL,Nunu & Willump,Nobreak9,Jinx,Gatito Xikito,Vel'Koz,VEGETA IS DZ,Kennen,Fooneses,Diana,everything to me,Yasuo,ˇ Lapinou ˇ,Kalista,duye,Nautilus,oki1 EUW
5484912780,win,Ranked Solo,2021-10-01 00:06:43,27m 23s,5,3,5,3.33:1,empty,empty,Graves,Master,empty,Gnar,T bone sțeak,Evelynn,ADD4EL0B0OST,Vladimir,Chocolate Robot,Ashe,WildShadow,Soraka,Hello Sunset,Jayce,GS 5,Graves,everything to me,Vel'Koz,Campi0ne,Draven,Boycott s11,Janna,zmywara marcys
5484830895,win,Ranked Solo,2021-09-30 23:30:15,23m 29s,8,2,13,10.50:1,Double Kill,MVP,Lee Sin,Master,empty,Darius,Polish LeBron,Trundle,DOGIES,Fizz,asbjørn123456789,Kai'Sa,tututututu caaau,Nami,theFFM,Shen,Old God Axelion,Lee Sin,everything to me,Vel'Koz,Campi0ne,Lucian,Checkmate,Seraphine,HULKSMASH187
5484735398,lose,Ranked Solo,2021-09-30 22:46:39,31m 53s,5,10,13,1.80:1,empty,empty,Talon,Master,empty,Yone,MUC Velantis,Jarvan IV,Dîamante,Kassadin,Sailly,Lucian,fps pro gamer,Nami,PXC Shunrim,Jax,AudaxV9 NoChat,Talon,everything to me,Sylas,KC GREG,Aphelios,OZGURUMUT1,Thresh,dog fade 
5484619155,lose,Ranked Solo,2021-09-30 19:42:31,15m 43s,0,3,3,1.00:1,empty,empty,Ekko,Master,empty,Lee Sin,Stargazer7,Nunu & Willump,Emoyy,Anivia,Políko,Yasuo,Idyllicy,Blitzcrank,NPC BUFFER,Aatrox,Wondro1,Ekko,everything to me,Yone,Assassin Marto,Ezreal,na strwsoume tpt,Amumu,ETT 2Trick
5484367254,lose,Ranked Solo,2021-09-30 10:02:55,21m 23s,8,5,4,2.40:1,Double Kill,ACE,Talon,Master,empty,Mordekaiser,ºKokomiº,Talon,everything to me,Ryze,KALKI FULL GALOP,Ezreal,Weaks1de King,Soraka,ƒunction,Dr. Mundo,PulV,Diana,POWLERTALON,Irelia,Karzzy11,Lucian,Giant Monster,Maokai,Hero of Ferelden
5484374659,win,Ranked Solo,2021-09-30 09:25:05,27m 24s,10,4,11,5.25:1,empty,empty,Yasuo,Diamond 1,empty,Irelia,Genius Monster,Talon,Pötürgeli xD,Renekton,Hyun º ,Karthus,Feeelix,Karma,FWZ Rambo,Fiora,Kritias,Nidalee,on a regular,Yasuo,everything to me,Samira,Avra 123,Alistar,sari
5484344280,win,Ranked Solo,2021-09-30 08:49:21,15m 54s,3,0,4,Perfect,empty,empty,Ekko,Diamond 1,empty,Sylas,Silk,Ekko,everything to me,Lee Sin,Genius Monster,Lucian,CocaCola Monster,Nami,ight,Jayce,Quinncidence v3,Karthus,tempvvunswgcsqgc,Twisted Fate,Feeelix,Varus,Avra 123,Leona,stan123
5484269929,win,Ranked Solo,2021-09-30 08:13:38,24m 45s,11,2,10,10.50:1,Double Kill,empty,Singed,Diamond 2,empty,Singed,everything to me,Viego,HSFFFFFFFFFF,Yone,Shrimp Shark,Ezreal,EDG Killaki ,Karthus,tempgqrwwxbkkoxh,Camille,Iamsobadsorry,Ekko,Like a n1nja,Zoe,Bane3,Kalista,wenbowenbowenbo,Taric,Hodling Bitcoin
5484295531,win,Ranked Solo,2021-09-30 07:42:15,32m 11s,9,6,10,3.17:1,Double Kill,MVP,Graves,Master,empty,Riven,Rivenro,Graves,everything to me,Sylas,Break A Kingdom,Kai'Sa,Teddyx6,Maokai,soulremnant,Gnar,LesleyoZ,Xin Zhao,StarCV,Lissandra,Fearless Ravenno,Vayne,10k ping spikes,Lulu,Mental Slave
