gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5505585106,win,Ranked Solo,2021-10-14 21:06:21,18m 43s,18,1,4,22.00:1,Triple Kill,MVP,Lee Sin,Grandmaster,empty,Graves,LNGLNGLNG,Lee Sin,for her sake,Orianna,BizGG,Draven,SWENZUUUUUUUUUUU,Nami,Fleshy1,Aatrox,BôDâ,Talon,Markoon,Azir,QYURRYUS1,Senna,TwTv Reptile9LoL,Sett,GNLGNL
5504412234,win,Ranked Solo,2021-10-14 01:56:43,33m 54s,17,2,12,14.50:1,Double Kill,MVP,Lee Sin,Grandmaster,empty,Yone,Dzukill,Talon,357159,Tristana,ifollowthebeat,Karthus,twtchtvELOSANTA,Janna,BanYuUmiOrInT,Kayn,tiltproof acc XD,Lee Sin,for her sake,Ryze,knight9źź,Caitlyn,silkysmath,Karma,SISSY FEMBOY XD
5504316954,lose,Ranked Solo,2021-10-14 01:16:45,34m 3s,6,11,7,1.18:1,empty,empty,Ekko,Grandmaster,empty,Akali,serin1,Kha'Zix,Charlie Heaton,Camille,its dark enough,Karthus,twtchtvELOSANTA,Yuumi,Veignorem,Tristana,motus vetiti,Ekko,for her sake,Xin Zhao,ifollowthebeat,Graves,Lumerion,Rell,FGG
5503946253,win,Ranked Solo,2021-10-13 19:35:11,20m 9s,5,2,6,5.50:1,Double Kill,MVP,Viego,Grandmaster,empty,Graves,its dark enough,Qiyana,Happy Alexx,Kassadin,GOD KASSA,Ezreal,Supaaa,Leona,zoír,Wukong,FNC MAHDI,Viego,for her sake,Katarina,DEAFHEAVEN 3,Miss Fortune,x4T7,Amumu,whiteinn
5503992780,win,Ranked Solo,2021-10-13 19:03:07,25m 34s,7,3,12,6.33:1,Double Kill,MVP,Xin Zhao,Grandmaster,empty,Aatrox,Darlik1,Volibear,Happy Alexx,Vladimir,leavemeaIone2,Caitlyn,silkysmath,Nami,GW Bob,Kennen,gollygosh69,Xin Zhao,for her sake,Yone,Notes In TheDark,Sivir,SirAaron,Yuumi,SGE Heimdall
5503658414,lose,Ranked Solo,2021-10-13 08:06:18,32m 12s,4,8,6,1.25:1,ACE,empty,Viego,Grandmaster,empty,Fiora,Xhen Doo,Nidalee,gaengsin,Irelia,MSF Sertuss,Draven,jdq,Rell,Walid Georgey,Camille,Venour,Viego,for her sake,Zoe,TheRoyalKanin,Miss Fortune,SPOLFCEI,Yuumi,FGG
5503731423,lose,Ranked Solo,2021-10-13 07:23:47,35m 39s,5,12,7,1.00:1,Double Kill,empty,Lucian,Grandmaster,empty,Gragas,Babus,Talon,KIA MVP,Twisted Fate,ifollowthebeat,Aphelios,x4T7,Thresh,PARUS 2,Gwen,Xhen Doo,Xin Zhao,asdfghjklqwe,Zoe,MSF Sertuss,Lucian,for her sake,Braum,PQPAANLS
5503415957,lose,Ranked Solo,2021-10-13 04:27:47,22m 37s,6,6,3,1.50:1,ACE,empty,Ekko,Grandmaster,empty,Trundle,FrozenHuntsman,Lee Sin,gaengsin,Aurelion Sol,Heart of Nazgul ,Miss Fortune,quack1,Nami,Christian Lenz,Shen,AST MagiFelix,Ekko,for her sake,Akshan,ION Marrow Ooze,Aphelios,2021Worlds0171,Lulu,i purr 4 drututt
5503268464,lose,Ranked Solo,2021-10-13 03:54:34,43m 45s,4,10,15,1.90:1,empty,empty,Lee Sin,Grandmaster,empty,Jax,Hejdå Sverige,Kindred,Roulette,Orianna,SHøWMAKéR,Kalista,HoIyPhoenîx,Thresh,Damgos,Trundle,FrozenHuntsman,Lee Sin,for her sake,Syndra,ACCELERATOR7,Draven,SWENZUUUUUUUUUUU,Nami,Qnoxs
5503312631,win,Ranked Solo,2021-10-13 03:01:12,20m 42s,8,1,6,14.00:1,Triple Kill,empty,Viego,Grandmaster,empty,Camille,Raven2,Lee Sin,Roulette,Vex,ION Marrow Ooze,Lucian,evolyhsub ,Morgana,Qnoxs,Graves,Headache Man,Viego,for her sake,Azir,Lithuanian Doinb,Draven,SWENZUUUUUUUUUUU,Leona,ifollowthebeat
