gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5501841285,win,Ranked Solo,2021-10-12 04:28:20,23m 30s,11,3,6,5.67:1,empty,empty,Pyke,Master,empty,Wukong,Yujixiao,Poppy,Paimah,Corki,RHS Yvraine,Syndra,RGM Learchuzz,Karma,Pérshing,Riven,Teamfighting,Taliyah,qqwwqqww,Sylas,Papi Yasuneri,Ashe,M4KSIM,Pyke,FNC Hylissangg
5501608512,win,Ranked Solo,2021-10-12 03:06:31,26m 1s,3,6,14,2.83:1,empty,empty,Leona,Diamond 1,empty,Dr. Mundo,Briefcase Man,Zed,PusiWho,LeBlanc,VictoriαsSecret,Lucian,M4KSIM,Leona,FNC Hylissangg,Gwen,DK EDG RNG LNG,Qiyana,Reap kαzeshini,Cassiopeia,Pieds,Vayne,Faith in Mind,Nami,YoRHa No2 Type B
5501594340,lose,Ranked Solo,2021-10-12 02:32:59,21m 13s,1,10,11,1.20:1,empty,empty,Rakan,Master,empty,Gnar,2021Worlds0301,Taliyah,Reap kαzeshini,Zed,Strzelec Patryś,Draven,DIGESTHUMANFLESH,Nautilus,CLG EIementz,Urgot,uggrot,Qiyana,jungle dream,LeBlanc,Ryuin,Lucian,M4KSIM,Rakan,FNC Hylissangg
5492345021,lose,Ranked Solo,2021-10-06 01:30:44,25m 29s,1,11,10,1.00:1,empty,empty,Nami,Master,empty,Aatrox,No Surpr1ses,Rammus,BR Lord Semi,Qiyana,love eu supports,Taliyah,MTLK Filou,Leona,Densii,Malphite,Gilius1,Ekko,HUMBLE VELJA,Tryndamere,styropianzserem,Lucian,Meruem12,Nami,FNC Hylissangg
5491092644,win,Ranked Solo,2021-10-05 01:12:56,24m 49s,6,7,20,3.71:1,empty,empty,Nami,Master,empty,Sett,ΙrreΙevant,Ekko,ImJony,Malphite,GODZILLA66666666,Lucian,Meruem12,Nami,FNC Hylissangg,Yone,MajorAlexander1,Nidalee,nap ability,Irelia,YouMakeMeSmile,Xayah,NF Change,Leona,SirNukesAlott
5488243111,win,Ranked Solo,2021-10-03 04:08:02,18m 33s,0,4,16,4.00:1,empty,empty,Nami,Grandmaster,empty,Aphelios,Undercover ChimP,Lee Sin,Thinking PLZ ,Ekko,420WeabooSlayer,Lucian,Meruem12,Nami,FNC Hylissangg,Aatrox,suusuppuun,Viego,Happy Alexx,LeBlanc,Chamana1,Jinx,bean3,Blitzcrank,Frank Horrigan
5486305926,lose,Ranked Solo,2021-10-02 02:14:53,24m 42s,5,7,17,3.14:1,empty,empty,Nami,Master,empty,Gnar,Lingwi,Kindred,I Flame in Morse,Talon,TAL7NGXD,Cassiopeia,Stampé,Pyke,SiemaTuBoczek,Garen,REVIENS A KONOHA,Shaco,EtoTudaEtoSuda,Karma,DUMAN,Lucian,Meruem12,Nami,FNC Hylissangg
5485988040,win,Ranked Solo,2021-10-01 22:20:13,15m 29s,2,0,9,Perfect,empty,empty,Nami,Master,empty,Irelia,mumus100,Ekko,yesname,Tryndamere,aeongi,Miss Fortune,Lee Mιn hyeong,Bard,Ben Cristovao,Shen,D E I D X R A ,Nidalee,War in D4,Gragas,Yami Sukehiro,Lucian,Meruem12,Nami,FNC Hylissangg
5473299064,win,Ranked Solo,2021-09-23 20:42:14,23m 57s,3,7,16,2.71:1,empty,empty,Rakan,Diamond 1,empty,Kled,Dyoll,Talon,12354786452538,Nunu & Willump,Jestem Torada,Jhin,TRL MechaNics,Amumu,Achun,Singed,LevelZeroFangirl,Evelynn,unvaccinated jgl,Ryze,Marcin Lebuda,Lucian,FNC Upset13,Rakan,FNC Hylissangg
5472567325,lose,Ranked Solo,2021-09-23 02:12:49,31m 55s,7,9,7,1.56:1,Double Kill,ACE,Pyke,Master,empty,Riven,iheb int acc,Master Yi,Dogchamp OTP,Orianna,Makunouchi Alan,Kai'Sa,FNC Upset13,Pyke,FNC Hylissangg,Fiora,nesiseka,Kha'Zix,ReaL1,Irelia,l l l l I I I l,Vel'Koz,SUPERCONDUCTOR53,Zyra,Muchny
5471100600,win,Ranked Solo,2021-09-22 03:53:13,15m 14s,2,3,15,5.67:1,empty,empty,Rakan,Diamond 1,empty,Camille,mumus100,Nidalee,unvaccinated jgl,Zed,Kobben,Xayah,FNC Upset13,Rakan,FNC Hylissangg,Fiora,VER Lunddorf,Elise,Batu Abi x,Talon,Moneybagg,Lucian,Buƒƒ,Janna,Censer boy
5470340070,lose,Ranked Solo,2021-09-21 20:58:56,26m 22s,2,8,11,1.63:1,empty,empty,Thresh,Diamond 2,empty,Singed,LevelZeroFangirl,Kindred,Český námořník,Diana,s21,Aphelios,FNC Upset13,Thresh,FNC Hylissangg,Jax,Prft Dumbo 8D,Graves,DoNe751,Sylas,Dark014,Samira,Rougé,Bard,highly ambitious
5469190956,win,Ranked Solo,2021-09-20 20:45:35,30m 8s,2,6,13,2.50:1,empty,empty,Thresh,Diamond 3,empty,Kennen,Marcin Lebuda,Jarvan IV,FLG Suspicious,Twisted Fate,Sliapmots,Aphelios,FNC Upset13,Thresh,FNC Hylissangg,Fiora,Warudo1,Hecarim,Doaenel Rebirth,LeBlanc,Mister Pearl,Lucian,TGM Schnorres,Janna,Censer boy
5467480432,win,Ranked Solo,2021-09-19 20:39:06,16m 32s,0,2,6,3.00:1,empty,empty,Rell,Master,empty,Aatrox,Gunkus Maximus,Kayn,Momo Statham,Ryze,KALKI FULL GALOP,Kai'Sa,FNC Upset13,Rell,FNC Hylissangg,Gangplank,TFTTop1Gamer,Hecarim,GX Krobonn,Aurelion Sol,Mad Desïre,Tristana,Moeless,Nami,Kyanna
5466496326,lose,Ranked Solo,2021-09-19 01:26:06,26m 57s,4,9,8,1.33:1,empty,empty,Pyke,Diamond 1,empty,Aatrox,In4,Nidalee,unvaccinated jgl,Seraphine,MR kiki52,Twitch,Fermer la gueule,Janna,Ester Expósitõ,Sett,OwnBoss,Talon,Whiskey553,Syndra,cansadx,Samira,FNC Upset13,Pyke,FNC Hylissangg
