gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5502001864,win,Ranked Solo,2021-10-12 06:26:04,28m 18s,11,9,5,1.78:1,Triple Kill,empty,Tryndamere,Grandmaster,empty,Twisted Fate,SAKEN1,Talon,UOL Cryptodir,Kennen,Alan234,Jhin,new tech user,Leona,Advienne,Jayce,tryharder123,Nidalee,kanaaa,Tryndamere,FNC Nisqybaba,Miss Fortune,Guuuubs,Nami,Veignorem
5501647399,win,Ranked Solo,2021-10-12 03:06:16,28m 32s,12,6,8,3.33:1,Double Kill,empty,Tryndamere,Grandmaster,empty,Sylas,HeIsinki,Graves,n00b k1ng,Vladimir,BIeed for me,Aphelios,Emtest,Lulu,Rückendeckung,Shen,ToxicHill,Lee Sin,gaengsin,Tryndamere,FNC Nisqybaba,Miss Fortune,PLAYERS PARADISE,Yuumi,BJK Lekcyc
5501519840,lose,Ranked Solo,2021-10-12 01:58:43,20m 4s,2,8,1,0.38:1,empty,empty,LeBlanc,Grandmaster,empty,Darius,Isombard,Lee Sin,Lithuanian Doinb,Vex,msfvetheo1,Miss Fortune,next ye xiu,Taric,WiIIyrex Fanboy,LeBlanc,FNC Nisqybaba,Talon,HUMBLE VELJA,Vladimir,BIeed for me,Aphelios,2021Worlds0171,Thresh,Advienne
5501477356,win,Ranked Solo,2021-10-12 00:51:52,37m 35s,14,7,10,3.43:1,Double Kill,empty,LeBlanc,Grandmaster,empty,Graves,Raven2,Xin Zhao,nap ability,LeBlanc,FNC Nisqybaba,Ezreal,MSF WooIite,Karma,SISSY FEMBOY XD,Aatrox,BDS iBo,Lee Sin,HUMBLE VELJA,Ekko,Serendrip,Lucian,LΣVl,Nami,Aesenar
5501213968,win,ARAM,2021-10-11 20:07:56,20m 37s,16,13,21,2.85:1,Double Kill,empty,Gragas,empty,empty,Ryze,Amfibiann,Zed,Arniseo,Kai'Sa,Faîr,Anivia,BruiserMeta2k19,Lissandra,matt3,Nasus,Zolkael,Sion,El Mañi,Alistar,Silli,Gragas,FNC Nisqybaba,Nami,Lydrion
5497681065,lose,Ranked Solo,2021-10-09 07:09:14,16m 12s,1,7,3,0.57:1,empty,empty,Galio,Grandmaster,empty,Urgot,Wufo,Jarvan IV,bobber kong,Xerath,Crowno,Lucian,Yumagusi,Rakan,KwK AlVaRo710,Gnar,Thel1ttletiger,Xin Zhao,UOL Cryptodir,Galio,FNC Nisqybaba,Miss Fortune,quack1,Nami,kíbah
5497566950,lose,Ranked Solo,2021-10-09 06:44:25,19m 34s,4,6,1,0.83:1,empty,empty,Gragas,Grandmaster,empty,Sett,Crowno,Gragas,FNC Nisqybaba,Irelia,YouMakeMeSmile,Ezreal,twtchtvELOSANTA,Yuumi,7 7 7 7,Karma,qweasdf,Lee Sin,MSF Sertuss,Syndra,dehastee,Lucian,Yumagusi,Nami,kíbah
5497571942,win,Ranked Solo,2021-10-09 06:09:44,15m 38s,1,2,11,6.00:1,empty,empty,Ryze,Grandmaster,empty,Darius,WAO RANK 1 ,Udyr,GAL Elramir,Malzahar,Alan234,Soraka,Worsttt,Fiddlesticks,WiIIyrex Fanboy,Ryze,FNC Nisqybaba,Jarvan IV,for her sake,Olaf,me like solobolo,Karthus,twtchtvELOSANTA,Senna,Beanovich
5497063958,win,Ranked Solo,2021-10-09 00:46:25,21m 9s,4,5,6,2.00:1,empty,empty,Riven,Grandmaster,empty,Riven,FNC Nisqybaba,Talon,ismaaa,Azir,xKenzuke1,Karthus,Sergei Kravinoff,Leona,i dream lucid,Camille,AST MagiFelix,Master Yi,Austrian Yi,Vex,XOURA1,Vayne,Kite Machine,Braum,whiteinn
5497070703,lose,Ranked Solo,2021-10-09 00:20:30,19m 24s,4,7,4,1.14:1,empty,empty,Twisted Fate,Grandmaster,empty,Sion,slapbooty453,Talon,ismaaa,Twisted Fate,FNC Nisqybaba,Miss Fortune,hiro3,Janna,Ødın,Renekton,Francis Ngannou,Qiyana,Markoon,Sylas,Po Gap,Aphelios,Alan Roger,Lulu,Kaseko
5496947730,lose,Ranked Solo,2021-10-08 23:49:39,16m 0s,6,4,0,1.50:1,Double Kill,ACE,Galio,Master,empty,Kennen,Headache Man,Qiyana,Jasοn Bourne,Galio,FNC Nisqybaba,Lucian,not a chat user,Yuumi,GNLGNL,Camille,00N Smurfegutten,Kindred,knv2,Lulu,Kaseko,Miss Fortune,Taba17,Sona,Schuhbart
5496124210,lose,Ranked Solo,2021-10-08 08:14:52,25m 4s,5,7,6,1.57:1,Double Kill,ACE,Sylas,Grandmaster,empty,Fiora,lennylennylenny,Qiyana,MID444444,Sylas,FNC Nisqybaba,Ezreal,HoIyPhoenîx,Rell,FGG,Tryndamere,Kimchi3,Viego,for her sake,Gragas,im car,Lucian,Icelandwinter,Amumu,Veignorennn
5496101789,win,Ranked Solo,2021-10-08 07:39:32,15m 39s,5,2,8,6.50:1,Double Kill,empty,Galio,Master,empty,Fiora,lennylennylenny,Ekko,Roulette,Ryze,burek enjoyer,Miss Fortune,Matthew L,Blitzcrank,ψτροφήψ,Jax,KIT GentlmanHero,Talon,Goldguns88,Galio,FNC Nisqybaba,Lucian,Emtest,Nami,mad on pixels
5494218805,lose,Ranked Solo,2021-10-07 00:25:42,24m 59s,2,9,5,0.78:1,empty,empty,Azir,Grandmaster,empty,Nasus,Sebeks,Qiyana,Razørk Activoo,Azir,FNC Nisqybaba,Draven,DIGESTHUMANFLESH,Nami,Calmsky,Aatrox,Gabbo,Rengar,Teskilat44,Zoe,MSF Sertuss,Aphelios,RGO Odi11,Alistar,Stend1
5491667298,win,Ranked Solo,2021-10-05 08:10:45,25m 13s,13,4,7,5.00:1,Triple Kill,MVP,Fiora,Master,empty,Syndra,Sultan Cagri,Lee Sin,NE Kaihua,Fiora,FNC Nisqybaba,Lucian,Chad Movement,Braum,xCharm,Zilean,Looca,Zed,Maxlore,Sylas,eškere ty lopato,Draven,HalvorErEklegutt,Karthus,twtchtvELOSANTA
5491691861,win,Ranked Solo,2021-10-05 07:28:36,24m 16s,12,5,5,3.40:1,Triple Kill,MVP,Yone,Grandmaster,empty,Karma,ŁPL Top,Taliyah,asdfghjklqwe,Yone,FNC Nisqybaba,Senna,my 13th reason,Galio,CT 9904,Twisted Fate,Lithuanian Doinb,Diana,Sticky Pillar,Graves,dofaminu,Miss Fortune,nrmn,Nami,Frank Horrigan
