gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5479784042,lose,Ranked Solo,2021-09-27 09:14:45,21m 16s,7,8,5,1.50:1,Double Kill,ACE,Lucian,Master,empty,Kled,Dyoll,Qiyana,This will pass,Sylas,Lone Wοlf,Ezreal,LΣVl,Yuumi,10iq jungler uwu,Sett,Tayø,Jarvan IV,ITS FOCKING RAW,Kassadin,hu7chyXXXbeifeng,Lucian,FNC Upset13,Nami,Motleyy Crew
5479712299,win,Ranked Solo,2021-09-27 08:44:16,26m 7s,11,6,8,3.17:1,Double Kill,MVP,Draven,Master,empty,Wukong,keKWbap,Zed,SHALOM WIDZOWIE,Kennen,1k LP mid inc,Ezreal,LFT Gabby,Yuumi,Todzio,Twisted Fate,Ila241,Kha'Zix,ITS FOCKING RAW,Kayn,tiltproof acc XD,Draven,FNC Upset13,Thresh,mY Lugia
5479698935,win,Ranked Solo,2021-09-27 08:09:04,20m 31s,9,3,4,4.33:1,empty,empty,Tristana,Master,empty,Wukong,PSH Poweh,Nunu & Willump,Laxez,Vex,SWEelle,Tristana,FNC Upset13,Amumu,I Backstab You,Sett,Eloha sama,Graves,hâte u all,Galio,how lose,Vayne,LHC Ergown,Rakan,Memitoast
5479606076,lose,Ranked Solo,2021-09-27 07:36:15,28m 17s,7,6,5,2.00:1,ACE,empty,Ezreal,Master,empty,Tryndamere,fkin gonzales,Karthus,Luminous Insight,Mordekaiser,DONNE TON PSEUDO,Ezreal,FNC Upset13,Thresh,Pun1sher Demon,Darius,Seneschal,Zed,atomadnan,Sylas,Lone Wοlf,Jinx,Viel Glück,Amumu,Mμhαmmαd Ali
5479642228,lose,Ranked Solo,2021-09-27 07:03:00,17m 57s,2,5,1,0.60:1,empty,empty,Aphelios,Master,empty,Irelia,Belu,Viego,VEG Keysie,Ryze,LNG Icón,Aphelios,FNC Upset13,Thresh,AF Brother Luis,Camille,Sl4shD,Graves,Toujours Amour,Orianna,Bloody Diana,Ezreal,11235,Yuumi,FPXzHAO1X11QQXDD
5479214224,win,Ranked Solo,2021-09-27 03:40:47,29m 53s,3,5,12,3.00:1,empty,empty,Kai'Sa,Diamond 1,empty,Gangplank,ThisTimeItsMine,Xin Zhao,RNG Corn,Ryze,Nøt a trickster,Karthus,TTV ELOSANTA,Zilean,Sliapmots,Tryndamere,Geâss1,Evelynn,Αnimation,Yasuo,Q spammer,Kai'Sa,FNC Upset13,Amumu,DaGooby
5476024372,lose,Normal,2021-09-25 06:06:17,25m 41s,6,13,6,0.92:1,Double Kill,ACE,Samira,empty,empty,Renekton,Dr Maroxin,Mordekaiser,ImCatTastic,Malzahar,Aqua Timez,Samira,FNC Upset13,Lulu,Paula Lipp,Tryndamere,JAJAJALA,Jarvan IV,Tahmizzio,Viktor,Aisak,Jhin,hapuzki,Swain,DerpyPhysics
5475943865,lose,Normal,2021-09-25 05:34:37,3m 18s,1,0,0,Perfect,empty,empty,Draven,empty,empty,Lillia,MEIK0o,Graves,AFW Horizon,Vex,zao,Karma,nαnαmii,Akshan,polar lightszzz,Annie,ranawashere,Kayn,Velvet Crowé,Lulu,Paula Lipp,Draven,FNC Upset13,Vex,Unexpected Combo
5475925011,win,Normal,2021-09-25 05:17:52,27m 26s,13,6,7,3.33:1,Triple Kill,MVP,Draven,empty,empty,Malphite,Neuling9000,Shaco,Mognytoff,Vex,Soleila,Draven,Aînz0oalGown,Janna,shipofdeath3,Riven,Kxing X ShiRo,Hecarim,athoqa,Veigar,PeterMoraine,Draven,FNC Upset13,Yuumi,Paula Lipp
5475768137,win,Ranked Solo,2021-09-25 04:36:55,25m 5s,1,5,7,1.60:1,empty,empty,Lucian,Diamond 1,empty,Cho'Gath,TΗE Chogath Mid,Lee Sin,Rückenstärkung,Irelia,wall replacer,Ashe,R0yals,Lulu,Sisej,Yone,UP5 FornoReason,Kha'Zix,i deserve losing,Syndra,Kobben,Lucian,FNC Upset13,Zilean,Mental Slave
5473299064,win,Ranked Solo,2021-09-23 20:42:14,23m 57s,12,6,8,3.33:1,Triple Kill,MVP,Lucian,Diamond 1,empty,Kled,Dyoll,Talon,12354786452538,Nunu & Willump,Jestem Torada,Jhin,TRL MechaNics,Amumu,Achun,Singed,LevelZeroFangirl,Evelynn,unvaccinated jgl,Ryze,Marcin Lebuda,Lucian,FNC Upset13,Rakan,FNC Hylissangg
5472567325,lose,Ranked Solo,2021-09-23 02:12:49,31m 55s,5,8,11,2.00:1,empty,empty,Kai'Sa,Master,empty,Riven,iheb int acc,Master Yi,Dogchamp OTP,Orianna,Makunouchi Alan,Kai'Sa,FNC Upset13,Pyke,FNC Hylissangg,Fiora,nesiseka,Kha'Zix,ReaL1,Irelia,l l l l I I I l,Vel'Koz,SUPERCONDUCTOR53,Zyra,Muchny
5471100600,win,Ranked Solo,2021-09-22 03:53:13,15m 14s,11,2,3,7.00:1,Triple Kill,MVP,Xayah,Diamond 1,empty,Camille,mumus100,Nidalee,unvaccinated jgl,Zed,Kobben,Xayah,FNC Upset13,Rakan,FNC Hylissangg,Fiora,VER Lunddorf,Elise,Batu Abi x,Talon,Moneybagg,Lucian,Buƒƒ,Janna,Censer boy
5470340070,lose,Ranked Solo,2021-09-21 20:58:56,26m 22s,6,6,8,2.33:1,ACE,empty,Aphelios,Diamond 2,empty,Singed,LevelZeroFangirl,Kindred,Český námořník,Diana,s21,Aphelios,FNC Upset13,Thresh,FNC Hylissangg,Jax,Prft Dumbo 8D,Graves,DoNe751,Sylas,Dark014,Samira,Rougé,Bard,highly ambitious
5469190956,win,Ranked Solo,2021-09-20 20:45:35,30m 8s,9,2,4,6.50:1,Double Kill,MVP,Aphelios,Diamond 3,empty,Kennen,Marcin Lebuda,Jarvan IV,FLG Suspicious,Twisted Fate,Sliapmots,Aphelios,FNC Upset13,Thresh,FNC Hylissangg,Fiora,Warudo1,Hecarim,Doaenel Rebirth,LeBlanc,Mister Pearl,Lucian,TGM Schnorres,Janna,Censer boy
5468683987,win,Ranked Solo,2021-09-20 06:04:58,26m 42s,16,5,5,4.20:1,MVP,empty,Lucian,Diamond 1,empty,Lulu,Zolazy,Zed,LFT Anonymouss,Master Yi,Austrian Yi,Lucian,FNC Upset13,Rakan,Hand Dipper Kano,Tryndamere,KMROPGPS,Amumu,Jgissoeasy,Sylas,Peponaki,Aphelios,Peaceful Lodik,Bard,Fischer99
5468647988,win,Ranked Solo,2021-09-20 05:24:50,16m 0s,8,3,4,4.00:1,Double Kill,empty,Aphelios,Master,empty,Yone,Chaos Senpai,Talon,xFlavour4youGirl,Riven,Curse abuser,Anivia,Bannis De LoL,Nautilus,Spaceberry,Malphite,Hi Plum Here,Lee Sin,SWIR PALETA ,Ryze,Quicksie,Aphelios,FNC Upset13,Thresh,Hand Dipper Kano
5468231345,win,Tutorial 1,2021-09-20 02:13:54,0m 15s,0,0,0,0.00:1,empty,empty,Miss Fortune,empty,empty,Miss Fortune,FNC Upset13,empty,empty
5467480432,win,Ranked Solo,2021-09-19 20:39:06,16m 32s,7,2,3,5.00:1,Double Kill,empty,Kai'Sa,Master,empty,Aatrox,Gunkus Maximus,Kayn,Momo Statham,Ryze,KALKI FULL GALOP,Kai'Sa,FNC Upset13,Rell,FNC Hylissangg,Gangplank,TFTTop1Gamer,Hecarim,GX Krobonn,Aurelion Sol,Mad Desïre,Tristana,Moeless,Nami,Kyanna
5466807465,lose,Ranked Solo,2021-09-19 05:30:54,27m 47s,6,9,10,1.78:1,empty,empty,Lucian,Diamond 1,empty,Malphite,João Campello,Zed,FB Rames,Katarina,Moniannat,Ezreal,Opa Knackƒaust,Soraka,Baloongen,Sion,JEFETZXZ,Viego,ShuräOfÄshinä,Yone,dotty,Lucian,FNC Upset13,Nami,Yami Sukehiro
5464975739,win,Ranked Solo,2021-09-18 02:44:40,15m 40s,5,1,6,11.00:1,Double Kill,empty,Lucian,Diamond 2,empty,Gnar,123213,Kindred,TSM Spicson,Taliyah,TSM Bjergzon,Lucian,FNC Upset13,Rakan,FNC Hylissangg,Yone,Idyllicy,Qiyana,so grateful,Orianna,zafccp,Jinx,jasper pdofill,Janna,Ødın
5465010726,win,Ranked Solo,2021-09-18 02:18:17,24m 55s,13,5,6,3.80:1,Double Kill,empty,Lucian,Diamond 1,empty,Gnar,epicnicegamer,Kha'Zix,ttv Adribro,Vladimir,411SAVETHATS41T,Miss Fortune,SAe Chryssey,Janna,proelium magus,Sion,jasper pdofill,Qiyana,TSM Spicson,Sylas,TSM Bjergzon,Lucian,FNC Upset13,Zilean,FNC Hylissangg
5464899148,lose,Ranked Solo,2021-09-18 01:42:25,3m 19s,0,0,0,0.00:1,empty,empty,Aphelios,Diamond 4,empty,Dr. Mundo,Scottie Pippen,Nidalee,RANK 1 MENTALITY,Anivia,Kodzυken,Aphelios,FNC Upset13,Thresh,FNC Hylissangg,Yone,Jisoo Fan Nr One,Master Yi,fsfsfsdfsfsf,Jinx,venοm 1,Vayne,jasper pdofill,Lulu,clutchnH
5464914503,win,Ranked Solo,2021-09-18 01:26:29,22m 14s,20,1,2,22.00:1,Triple Kill,MVP,Draven,Diamond 4,empty,Sett,2Spooky4Mo,Viego,tadao ling,Lucian,Peponaki,Ziggs,lllllIllIllllIll,Bard,Mμhαmmαd Ali,Gwen,Adorable N1 Fan,Jarvan IV,2021Worlds0048,Yone,justin221,Draven,FNC Upset13,Thresh,FNC Hylissangg
5464893095,lose,Ranked Solo,2021-09-18 00:54:15,3m 20s,0,0,0,0.00:1,empty,empty,Aphelios,Diamond 3,empty,Fiora,Adorable N1 Fan,Sejuani,2021Worlds0048,Qiyana,Minjang,Draven,kcen flesru,Leona,lllllIllIllllIll,Zac,Zachy,Viego,ShuräOfÄshinä,Rumble,Silenceuuu 3,Aphelios,FNC Upset13,Braum,FNC Hylissangg
5464080993,lose,Ranked Solo,2021-09-17 05:31:39,32m 54s,13,7,6,2.71:1,Double Kill,ACE,Vayne,Diamond 1,empty,Karma,zapp,Master Yi,2021Worlds0006,LeBlanc,Kagemitsu,Vayne,FNC Upset13,Rell,FNC Hylissangg,Gangplank,Nipples Twisted,Graves,0G VERSION,Kassadin,nesiseka,Kai'Sa,Seiju,Nautilus,mvp or ace xd
5463955003,lose,Ranked Solo,2021-09-17 04:47:47,31m 16s,4,4,10,3.50:1,ACE,empty,Lucian,Diamond 1,empty,Tryndamere,nesiseka,Ekko,0G VERSION,Katarina,BEASTonMID,Caitlyn,Flokerr,Soraka,TIFΑ,Jax,FeelMyLamppost,Shyvana,Banned,Yasuo,dazur duzur,Lucian,FNC Upset13,Braum,FNC Hylissangg
5463908810,lose,Ranked Solo,2021-09-17 04:07:25,24m 42s,9,7,2,1.57:1,Double Kill,ACE,Twitch,Diamond 3,empty,Jayce,Stringer BeII,Diana,astharoth fan,Pantheon,T H A D E E S 1,Twitch,FNC Upset13,Rakan,FNC Hylissangg,Tahm Kench,Microz,Hecarim,SavagePark,Viktor,DONT TOUCH ROACH,Ezreal,dazur duzur,Yuumi,Snacherna
5463768032,win,Ranked Solo,2021-09-17 02:49:07,23m 34s,13,4,13,6.50:1,Quadra Kill,MVP,Kai'Sa,Diamond 2,empty,Garen,LOVEA,Shaco,spdr1,Riven,lntelektualac,Kai'Sa,FNC Upset13,Amumu,FNC Hylissangg,Ornn,Dovakin6324,Rumble,F15HCAKE,Yasuo,bvffi,Aphelios,ovuvuevuevuevue,Xerath,henntan17
5463228549,win,Ranked Solo,2021-09-16 20:40:51,18m 13s,13,1,7,20.00:1,Double Kill,empty,Twitch,Diamond 4,empty,Jayce,Sigmα Grindset,Kha'Zix,21x9,Katarina,polémique,Aphelios,Saitoo,Nami,lIllllIllllIlllI,Gnar,EZLBKVAA,Ekko,everything to me,Irelia,Halija,Twitch,FNC Upset13,Rell,FNC Hylissangg
5462539945,win,Ranked Solo,2021-09-16 06:02:16,30m 2s,18,6,11,4.83:1,Triple Kill,MVP,Twitch,Diamond 4,empty,Irelia,1onian blade,Rengar,everything to me,LeBlanc,ZoIUIoZ,Twitch,FNC Upset13,Rakan,FNC Hylissangg,Aatrox,WoBuNengShu,Evelynn,Midłane Goku,Zed,kunkunde,Ezreal,2021Worlds0048,Leona,Princess Dove
5462544802,win,Ranked Solo,2021-09-16 05:25:34,25m 37s,16,6,9,4.17:1,Triple Kill,empty,Twitch,Diamond 4,empty,Sett,Sigmα Grindset,Lee Sin,Stuvini,Cassiopeia,NEL Hydrogen,Lucian,abpcxlz,Nami,Boar Sïn Merlin,Wukong,Weakside Pengito,Graves,everything to me,Syndra,Emir of Dubai,Twitch,FNC Upset13,Rakan,FNC Hylissangg
5462474616,lose,Ranked Solo,2021-09-16 04:50:36,3m 16s,0,0,0,0.00:1,empty,empty,Twitch,Diamond 3,empty,Karma,Hushy,Vladimir,Shuoezlin,Zed,everything to me,Jinx,Melwin,Seraphine,Princess Dove,Aatrox,Sigmα Grindset,Kha'Zix,lilly time,Pyke,FNC Hylissangg,Twitch,FNC Upset13,Cassiopeia,NEL Hydrogen
5462388721,win,Ranked Solo,2021-09-16 04:36:26,22m 33s,10,4,11,5.25:1,Double Kill,MVP,Twitch,Diamond 4,empty,Cho'Gath,Dhuosnos,Karthus,Acathexis,Tryndamere,Censer boy,Lucian,strive for power,Maokai,Young Leosia UwU,Malphite,BurgerFIipper420,Kayn,everything to me,Corki,NEL Hydrogen,Twitch,FNC Upset13,Amumu,FNC Hylissangg
5462312335,win,Ranked Solo,2021-09-16 02:39:34,13m 34s,8,1,2,10.00:1,Double Kill,MVP,Kalista,Diamond 3,empty,Camille,camille gaming,Master Yi,Censer boy,Lulu,Voodoo Valentino,Kalista,FNC Upset13,Rell,FNC Hylissangg,Yasuo,strive for power,Shaco,SozXD,Vladimir,Scarlett Smith,Ashe,fat fam,Yuumi,Acathexis
5461359694,win,Ranked Solo,2021-09-15 05:41:29,22m 41s,7,1,11,18.00:1,MVP,empty,Lucian,Diamond 4,empty,Riven,Devil Haru,Lee Sin,Cest pas moa,Anivia,4es Nemesis,Kai'Sa,ΗoYeon Jung,Lulu,excursion1,LeBlanc,Snacherna,Zed,SavagePark,Qiyana,Immortuttu,Lucian,FNC Upset13,Braum,FNC Hylissangg
