gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5505544001,win,Ranked Solo,2021-10-14 20:37:24,22m 16s,5,4,10,3.75:1,empty,empty,Aatrox,Master,empty,Aatrox,Shrimp Shark,Ekko,knv2,Yone,TwitchTV xAKEN,Miss Fortune,Achuu,Maokai,θΘθΘθ,Dr. Mundo,00StarLord00,Viego,Tigazz,Annie,MansterV,Ezreal,MSF WooIite,Pyke,wow cold
5502220484,lose,Ranked Solo,2021-10-12 07:42:46,35m 58s,11,5,8,3.80:1,Double Kill,ACE,Vladimir,Master,empty,Aatrox,Have a niice day,Lee Sin,Like a n1nja,Zoe,RKT Maςaquiñø,Draven,Abner,Nami,do me wrong,Graves,nangman topsolo,Kha'Zix,Olunn,Vladimir,Shrimp Shark,Xerath,Jukester,Bard,SheSho
5501986500,lose,Ranked Solo,2021-10-12 06:50:17,22m 9s,6,4,1,1.75:1,ACE,empty,Twisted Fate,Master,empty,Aatrox,Have a niice day,Ekko,xRachedx,Twisted Fate,Shrimp Shark,Kalista,Xenxo,Thresh,S10 l R1,Sett,big noob xd lol,Graves,Dawning Sun,Sylas,DecentKing,Lucian,IcelandWalrus,Nami,ETT 2Trick
5497357236,win,Ranked Solo,2021-10-09 04:45:11,20m 35s,12,6,3,2.50:1,Triple Kill,MVP,Yasuo,Diamond 1,empty,Jax,Ràidër,Talon,mw2 no russian,Katarina,iLL SZYMONiLL4W,Tristana,Robính00D,Orianna,Cigáno Bijec CZ,Yasuo,Shrimp Shark,Evelynn,ananizi siktim,Cassiopeia,prev,Ezreal,Milica,Rakan,roy purdy1
5497411310,win,Ranked Solo,2021-10-09 04:16:54,22m 59s,7,0,3,Perfect,Double Kill,MVP,Fiora,Master,empty,Fiora,Shrimp Shark,Shaco,SPL Yukuro,Ryze,calm mind ,Soraka,03032013,Gragas,wow cold,Graves,Marcin Lebuda,Nunu & Willump,Bruno el cabruno,Anivia,Me go Beep Boop,Samira,Revoker,Nami,Nashíro
5497226251,win,Ranked Solo,2021-10-09 03:45:15,34m 9s,15,5,7,4.40:1,Triple Kill,MVP,Sylas,Master,empty,Irelia,Red Winter,Talon,JG CHIEF,Sylas,Shrimp Shark,Kalista,hgotdsxz,Thresh,NECKST BIG THING,Aatrox,flyfIy,Shyvana,Final Prince,Udyr,GXR Monk,Jinx,IcyRick,Braum,LM07
5496947980,lose,Ranked Solo,2021-10-09 00:01:45,25m 29s,5,9,1,0.67:1,ACE,empty,Kennen,Master,empty,Shen,Riley B,Qiyana,TC Hú Táo,Irelia,agdang,Karthus,ett vilt lejon,Pyke,Jaridot13,Kennen,Shrimp Shark,Zed,NattyNatt,Cassiopeia,PEWPEWPEWPEWPEWP,Miss Fortune,DEVN,Amumu,Pyrkα
5496787246,win,Ranked Solo,2021-10-08 22:35:20,28m 3s,7,3,8,5.00:1,Double Kill,MVP,Azir,Master,empty,Camille,Lingwi,Lee Sin,yeppocok,Azir,Shrimp Shark,Vayne,Davidssonxxx,Karma,Regostern,Jax,Baby Tarz1,Lillia,LngLng,Tryndamere,jgl role,Ziggs,Lari,Pyke,Siskauskas
5496694683,win,Ranked Solo,2021-10-08 21:54:13,19m 0s,8,2,1,4.50:1,Double Kill,MVP,Yasuo,Master,empty,Sylas,Oggman,Nocturne,1Z1Z,Yasuo,Shrimp Shark,Caitlyn,Davidssonxxx,Nami,A41G Kampex,Sett,im waitin Canyon,Rek'Sai,RekSaiyajin,Irelia,squan,Twitch,fraud syndrome,Lulu,WιndNα
5496094878,win,Ranked Solo,2021-10-08 08:16:08,20m 10s,2,2,6,4.00:1,empty,empty,Fiora,Master,empty,Fiora,Shrimp Shark,Kindred,Cast,Anivia,james unexpected,Ezreal,Dekkon,Pyke,wow cold,Graves,Kafuu chin0,Nidalee,naneun wang ida,Yasuo,Cypiisuo,Kog'Maw,GROS FIAK MIAM,Thresh,BL Crow
