gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5474069786,lose,Ranked Solo,2021-09-25 03:26:13,28m 3s,3,5,2,1.00:1,empty,empty,Irelia,Challenger,empty,Lee Sin,디알엑스 킹겐,Zac,역시폭군,Irelia,자장면잠봉당수육,Gwen,평범한 숟가락,Sylas,하 루 가절 반 ,Kennen,Kimwinter,Poppy,아크샨밴의 신,LeBlanc,divd,Draven,BRO Hena,Thresh,KT Way
5474055551,win,Ranked Solo,2021-09-25 02:51:07,32m 34s,8,3,5,4.33:1,empty,empty,Aatrox,Grandmaster,empty,Kennen,깨달음을얻은남자,Nidalee,Gen G Quid,Aatrox,자장면잠봉당수육,Aphelios,El Matador 7 9,Thresh,BigFour44,Vladimir,디알엑스 킹겐,Master Yi,아크샨밴의 신,Twisted Fate,권 지 인,Lucian,Gen G Ruler,Sylas,심리 건들지마
5474050296,win,Ranked Solo,2021-09-25 02:01:19,17m 42s,6,2,4,5.00:1,empty,empty,Vi,Grandmaster,empty,Vi,자장면잠봉당수육,Lee Sin, 엘 림,Gragas,미소의눈동자,Kai'Sa,이기고오쉽당,Lulu,포식자,Jayce,Zxkkwhy,Nidalee,N0T Angry,Irelia,Gen G Quid,Aphelios,El Matador 7 9,Leona,KT Way
5473589386,win,Ranked Solo,2021-09-25 01:12:55,27m 0s,13,3,17,10.00:1,Double Kill,MVP,Diana,Grandmaster,empty,Qiyana,제드팀 구글 검색,Diana,자장면잠봉당수육,Fiora,운이 좋았던 날,Ezreal,RiHoo,Amumu,쿠 리,Sett,Lure or die ,Jarvan IV,JD fans,Irelia,IRELKlNG,Ziggs,엄청예민한상태,Sylas,하 루 가절 반 
5473600576,lose,Ranked Solo,2021-09-25 00:27:32,17m 31s,3,4,1,1.00:1,ACE,empty,LeBlanc,Grandmaster,empty,Kennen,간다라쿤다,Taliyah,Kimwinter,Yone,05프로하고싶어요,Draven,항상배고픈코그모,Yuumi,Dan mu he ton,LeBlanc,자장면잠봉당수육,Kayn,xhr,Vex,칼과 창 방패,Ziggs,당신은게임을왜함,Karma,심리 건들지마
5471781257,win,Ranked Solo,2021-09-24 03:36:04,26m 35s,9,4,8,4.25:1,Double Kill,MVP,Vi,Grandmaster,empty,Mordekaiser,Gen G Burdol,Talon,nxzdwss,Lulu,LunaLina,Kindred,Twitch아라드,Nami,SugarD,Fiora,77GameZting,Rumble,Sutkressuree,Vi,자장면잠봉당수육,Draven,누쇤퍅,Blitzcrank,치쯔스틱
5471737944,win,Ranked Solo,2021-09-24 02:52:22,27m 8s,7,5,6,2.60:1,empty,empty,Sett,Grandmaster,empty,Gragas,Netify,Lee Sin,KT Castle,Sett,자장면잠봉당수육,Lucian,KT R ADC,Nami,BRO Jeong Hoon,Quinn,발러야 밥먹자,Jarvan IV,BIack Baby,Akali,wdvvadwap,Miss Fortune,DK Kingdom,Thresh,Let me sup
5471675224,lose,Ranked Solo,2021-09-24 02:12:25,26m 58s,4,3,5,3.00:1,ACE,empty,Sylas,Challenger,empty,Jayce,KT PerfecT2,Poppy,아크샨밴의 신,Zoe,Gen G Quid,Aphelios,BRO Hena,Gragas,Let me sup,Lee Sin,FA Decky,Talon,Talk n luv,Sylas,자장면잠봉당수육,Miss Fortune,DK Kingdom,Braum,KT Castle
5471670780,lose,Ranked Solo,2021-09-24 01:34:15,30m 27s,6,9,9,1.67:1,Double Kill,ACE,Irelia,Challenger,empty,Jayce,Gen G Burdol,Karthus,아크샨밴의 신,Yasuo,Gen G Quid,Miss Fortune,DK Kingdom,Thresh,Let me sup,Gragas,FA Decky,Zac,T1 Ellim,Irelia,자장면잠봉당수육,Lucian,하 루 가절 반 ,Maokai,Destiny
5471576312,win,Ranked Solo,2021-09-24 00:55:38,17m 38s,5,1,5,10.00:1,Double Kill,MVP,Diana,Grandmaster,empty,Graves,xiao adc,Zed,a little story,Ryze,Co24,Lucian,SPG BaeKHo,Karma,하 루 가절 반 ,Gnar,BJ갈배,Diana,자장면잠봉당수육,Sylas,새콤달콤 하 다,Kalista,hong he wo de,Maokai,Destiny
5471026804,win,Ranked Solo,2021-09-23 22:08:10,18m 48s,8,1,5,13.00:1,empty,empty,Diana,Grandmaster,empty,Aatrox,사 용 수,Diana,자장면잠봉당수육,Tryndamere,으 하하 맛 있 어,Lucian,bao1,Nami,BRO Yaharong,Akali,미소의눈동자,Graves,Gen G Quid,Ryze,권 지 인,Ezreal,SPG BaeKHo,Galio,Emilia tan
5470981063,lose,Ranked Solo,2021-09-23 21:41:07,24m 40s,6,7,4,1.43:1,ACE,empty,Talon,Grandmaster,empty,Quinn,살퀸레,Lee Sin,IndifferenToT,Anivia,으 하하 맛 있 어,Miss Fortune,bao1,Amumu,밤몽길,Irelia,샤오 쑤,Talon,자장면잠봉당수육,Ryze,사 용 수,Samira,SPG BaeKHo,Leona,xiao adc
5470859459,lose,Ranked Solo,2021-09-23 20:52:54,34m 13s,5,9,6,1.22:1,Double Kill,empty,Irelia,Grandmaster,empty,Sett,Sutkressuree,Karthus,GOODBOYBD,Talon,시간의 숲,Vayne,cer,Nami,SugarD,Gragas,DangerousBoy ady,Taliyah,DK Lucid,Irelia,자장면잠봉당수육,Jhin,Ottogl,Blitzcrank,Practice
5470836798,lose,Ranked Solo,2021-09-23 20:04:53,3m 13s,0,0,1,Perfect,empty,empty,Tryndamere,Grandmaster,empty,Fiora,sword god14,Heimerdinger,PhasedKiller,Kha'Zix,데아시두스이어링,Kalista,kwqejksad,Blitzcrank,Let me sup,Jayce,KT Castle,Kindred,GOODBOYBD,Ziggs,fuzhu carry,Tryndamere,자장면잠봉당수육,Rakan,한 줄의 기억
5470732886,win,Ranked Solo,2021-09-23 18:37:37,19m 11s,7,2,5,6.00:1,MVP,empty,Irelia,Grandmaster,empty,Gwen,강하다 별,Talon,load zW4gmC84FLc,Qiyana,Permaban10661117,Miss Fortune,hao yun bao bei,Amumu,페퍼 파퍼,Wukong,77GameZting,Lillia,Rumor22,Irelia,자장면잠봉당수육,Ezreal,메 피,Bard,Purpo지니
5470615939,win,Ranked Solo,2021-09-23 17:50:39,29m 4s,7,7,6,1.86:1,Double Kill,empty,Sylas,Grandmaster,empty,Sylas,자장면잠봉당수육,Talon,byz,Jayce,갱값하는미드,Cassiopeia,킬러톱,Maokai,xiaoShu ovo,Zed,Z2D04,Lee Sin,load zW4gmC84FLc,Azir,Gen G Quid,Lucian,28 08 2001,Lulu,Let me sup
5470514628,lose,Ranked Solo,2021-09-23 16:14:49,25m 25s,5,7,5,1.43:1,ACE,empty,Irelia,Grandmaster,empty,Qiyana,강의 구글 제드팀,Taliyah,D알엑스 표식,Irelia,자장면잠봉당수육,Yasuo,Azhy,Trundle,Dan mu he ton,Fiora,hggbexrloo,Talon,nodfan,Fizz,갱붕이,Miss Fortune,rekresreb,Leona,Shadow Winsome
5470439578,lose,Ranked Solo,2021-09-23 15:37:12,26m 51s,3,9,11,1.56:1,empty,empty,Lee Sin,Grandmaster,empty,Jayce,Tangyuando,Viego,T1 Ellim,Cassiopeia,Chang Min ,Tristana,wyzyz,Rakan,Dan mu he ton,Kennen,포동포동아기물개,Lee Sin,자장면잠봉당수육,Ryze,Talk n luv,Kai'Sa,bai si yyds,Poppy,전서방 닭갈비
5469522095,win,Ranked Solo,2021-09-22 23:05:32,28m 23s,11,3,17,9.33:1,Double Kill,MVP,Diana,Grandmaster,empty,Aatrox,미소의눈동자,Rek'Sai,우울적울컥,Sett,Tangyuando,Lucian,Gen G Ruler,Galio,호잇이,Yasuo,검색 구글 제드팀,Diana,자장면잠봉당수육,Yone,Yorick,Kai'Sa,bao1,Amumu,옆동산외계인
5459706003,lose,Ranked Solo,2021-09-18 19:18:23,25m 40s,2,11,4,0.55:1,empty,empty,Viego,Grandmaster,empty,Fiora,h ke pa,Graves,번뜩이는 플레이,Viego,자장면잠봉당수육,Lucian,항상배고픈코그모,Lulu,Happy Cats,Jayce,KT PerfecT,Gragas,FA Decky,Akshan,권 지 인,Ezreal,cer,Amumu,FTC
5458562988,win,Ranked Solo,2021-09-18 03:05:04,30m 17s,5,7,10,2.14:1,empty,empty,Talon,Grandmaster,empty,Camille,미소의눈동자,Talon,자장면잠봉당수육,Ryze,00000000002,Miss Fortune,zxcsazxcazdz,Lulu,FTC,Graves,모두모두항복하길,Lillia,Gen G Clid,Kog'Maw,아크샨밴의 신,Lucian,viper3,Nami,SPG BaeKHo
5458478123,win,Ranked Solo,2021-09-18 02:15:46,20m 20s,5,1,8,13.00:1,Double Kill,empty,Yone,Grandmaster,empty,Rumble,04 JUGKING li,Lee Sin,a little story,Yone,자장면잠봉당수육,Kalista,Gen G Ruler,Gragas,BRO Delight,Gnar,Gen G Burdol,Nidalee,hai cha de yuan,Kennen,갱붕이,Miss Fortune,항상배고픈코그모,Pantheon,xhr
5458395073,win,Ranked Solo,2021-09-18 01:43:25,16m 3s,10,2,3,6.50:1,Double Kill,MVP,Irelia,Grandmaster,empty,Irelia,자장면잠봉당수육,Lee Sin,Xiaohao9,Sylas,용호야,Lucian,28 08 2001,Nautilus,szygszn,Mordekaiser,Tryndamere777,Jarvan IV,06 05 19,Ryze,00000000002,Draven,El Matador 7 9,Nami,옆동산외계인
5458332495,win,Ranked Solo,2021-09-18 00:51:37,28m 11s,8,3,4,4.00:1,MVP,empty,Yone,Challenger,empty,Gragas,BRO Delight,Viego,아크샨밴의 신,Ryze,fa 01 top,Aphelios,어제보단잘하자,Thresh,Destiny,Jayce,KT PerfecT,Lillia,Gen G Clid,Yone,자장면잠봉당수육,Ziggs,El Matador 7 9,Braum,Lehends
5458256421,win,ARAM,2021-09-18 00:16:46,23m 29s,19,14,21,2.86:1,Quadra Kill,empty,Lucian,empty,empty,Blitzcrank,Boom7,Seraphine,백전백패의사나이,Malphite,공격적으로해요,Urgot,대인유도지뢰,Twitch,TangTangTangBang,Skarner,SK텔레콤평단30만,Morgana,BBT Mata,Lucian,자장면잠봉당수육,Shaco,부캐원하는계정,Viego,신당동 쌀떡볶이
5458270803,win,Ranked Solo,2021-09-17 23:47:02,16m 23s,6,2,1,3.50:1,Double Kill,empty,Tryndamere,Grandmaster,empty,Jax,디알엑스 킹겐,Graves,항상배고픈코그모,Qiyana,검색 구글 제드팀,Ziggs,bai si yyds,Taliyah,BRO Delight,Tryndamere,자장면잠봉당수육,Volibear,700125,Gragas,FA Decky,Aphelios,irasu1,Rakan,곽곽보성
5458075937,win,Ranked Solo,2021-09-17 23:25:09,15m 22s,4,0,0,Perfect,empty,empty,Lissandra,Grandmaster,empty,Sejuani,BRO Delight,Graves,jingshen qiang,LeBlanc,양념형,Aphelios,irasu1,Karma,xiaoqiupup,Yone,Pz ZZang,Hecarim,     la ji game,Lissandra,자장면잠봉당수육,Lulu,Fiora,Maokai,FTC
5457311420,win,Ranked Solo,2021-09-17 18:51:26,22m 6s,9,1,2,11.00:1,Double Kill,MVP,Irelia,Challenger,empty,Gwen,Liiv gyuvee,Graves,D알엑스 표식,LeBlanc,BRO Yaharong,Jhin,BRO Chieftain,Rakan,디알엑스 제트,Fiora,BIack Baby,Jarvan IV,우울적울컥,Irelia,자장면잠봉당수육,Lucian,BRO Hena,Lulu,asdasdsdfv
5457226580,win,Ranked Solo,2021-09-17 18:17:24,23m 39s,18,0,10,Perfect,Double Kill,MVP,Galio,Challenger,empty,Gragas,BRO Hoya,Zed,디알엑스 제트,LeBlanc,디알엑스 킹겐,Aphelios,젠지 다이스,Lulu,레넥톤전용6,Quinn,살퀸레,Taliyah,D알엑스 표식,Galio,자장면잠봉당수육,Kai'Sa,asdasdsdfv,Amumu,BRO TaNa
5456305983,win,Ranked Solo,2021-09-17 02:58:28,46m 11s,9,11,13,2.00:1,Double Kill,empty,Talon,Grandmaster,empty,Kennen,Trisak,Taliyah,Gen G Clid,Qiyana,못할 때도 있지,Aphelios,미북이,Leona,EatDIE EATdie,Cassiopeia,사막낙타,Talon,자장면잠봉당수육,Lee Sin,Sutkressuree,Ziggs,Yun Shun,Pyke,나는 준일하다
5456360776,win,Ranked Solo,2021-09-17 01:47:25,23m 51s,9,4,11,5.00:1,Double Kill,MVP,Sylas,Grandmaster,empty,Camille,BRO Hoya,Xin Zhao,BRO Chieftain,Katarina,Emilia tan,Kai'Sa,DK Kingdom,Alistar,qiang,Graves,KT PerfecT,Trundle,T1 Gumayusi,Sylas,자장면잠봉당수육,Lucian,튀자튀자아,Amumu,Let me sup
5456257634,lose,Ranked Solo,2021-09-17 01:16:57,21m 11s,3,6,3,1.00:1,empty,empty,Graves,Grandmaster,empty,Akshan,BRO Loopy,Talon,나는변신할것이다,Gragas,KT PerfecT,Lucian,42141321,Lulu,승지부기,Kennen,LSB DDahyuk,Graves,자장면잠봉당수육,Sylas,BZZZIII,Aphelios,zxcsazxcazdz,Karma,기차나나나나
5456230227,win,Ranked Solo,2021-09-17 00:24:20,23m 6s,10,4,6,4.00:1,Double Kill,empty,Sylas,Grandmaster,empty,Irelia,Trisak,Nidalee,nodfan,Lissandra,wdvvadwap,Jinx,RiHoo,Nami,HLE Bautt,Jayce,Gen G Burdol,Graves,T1 Roach,Sylas,자장면잠봉당수육,Varus,하 루 가절 반 ,LeBlanc,질려고게임함
5454784736,lose,Ranked Solo,2021-09-16 02:25:40,22m 29s,5,5,6,2.20:1,ACE,empty,Ezreal,Grandmaster,empty,Zed,율천고 최현우,Lee Sin,무지성큐돌리기,Kennen,T1 Canna,Jhin,원딜연습중입니닷,Xerath,의문의제라스장인,Shen,ScyIIa,Jarvan IV,DWG Bubbling,Katarina,wdvvadwap,Ezreal,자장면잠봉당수육,Amumu,tlvekdlrlrh
