gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5510896401,lose,Ranked Solo,2021-10-14 22:44:04,28m 54s,5,7,5,1.43:1,empty,empty,Ekko,Master,empty,Camille,only L0VE you,Ekko,화원 아기,Talon,탈론쓰레기챔프,Samira,18x10 JG,Amumu,YESHENRENJING,Kennen,blwy1,Lee Sin,Mangja,Akshan,2021 10 31,Miss Fortune,Lauv mean it,Yuumi,북극곰 아프다
5510839114,lose,Ranked Solo,2021-10-14 22:01:17,25m 24s,4,8,3,0.88:1,empty,empty,Xin Zhao,Master,empty,Graves,xiao ke tang,Talon,jsaofjasoifjsap,Sylas,간지나게살자,Lucian,11111313344,Leona,xiao adc,Tryndamere,Kingen,Xin Zhao,화원 아기,Ryze,XiaoHuaSheng7,Xayah,아 나이뜨,Bard,ilili1i1
5510785175,lose,Ranked Solo,2021-10-14 21:27:26,16m 20s,0,7,2,0.29:1,empty,empty,Galio,Master,empty,Irelia,https www,Talon,맘 편히 자고싶다,Galio,화원 아기,Xayah,아 나이뜨,Nami,YeQing Xiyue,Fiora,악녀에 대하여,Ekko,THINGHO7,Zed,전설이 될 남자,Aphelios,Ottogl,Thresh,당신이화가날정도
5510717984,win,Ranked Solo,2021-10-14 20:57:54,26m 32s,7,5,11,3.60:1,empty,empty,Lee Sin,Master,empty,Akali,zxczxcasdaxd,Lee Sin,화원 아기,Singed,오빠거긴방귀구멍,Xayah,아 나이뜨,Nautilus,1128321,Fiora,라인전이기면패배,Poppy,좀 재미 있어 요,Vex,무조건이겨야함,Aphelios,zzzzzzzzzzzz111,Thresh,고등학생
5510635561,lose,Ranked Solo,2021-10-14 20:26:02,21m 5s,1,7,2,0.43:1,empty,empty,Ekko,Master,empty,Jax,xu hao long,Ekko,화원 아기,LeBlanc,무조건이겨야함,Lucian,Twitch 지댕Ol,Blitzcrank,널 좋아해왕성,Lulu,badqwer,Lee Sin,좀 재미 있어 요,Akshan,critique,Xayah,아 나이뜨,Thresh,고등학생
5510632322,lose,Ranked Solo,2021-10-14 19:57:15,16m 8s,3,7,2,0.71:1,empty,empty,Ekko,Master,empty,Ornn,타락한 숟가락,Ekko,화원 아기,Akshan,무조건이겨야함,Aphelios,이현택1,Thresh,1128321,Graves,1241235115551535,Nidalee,Gen G Winner,Talon,qfghj,Vayne,2017 07 12 ,Leona,초코땡이
5510344126,win,Ranked Solo,2021-10-14 18:58:39,31m 22s,14,4,16,7.50:1,Triple Kill,MVP,Graves,Master,empty,Irelia,Decimation,Graves,화원 아기,Zoe,장임박,Miss Fortune,어쩌라고여진짜,Taric,KT R SUP,Sett,alasseo,Sejuani,xiao adc,Galio,기 정 fan,Aphelios,fggjv,Leona,12848923
5510257007,lose,Ranked Solo,2021-10-14 18:05:15,27m 32s,1,10,5,0.60:1,empty,empty,Graves,Master,empty,Quinn,속고만살았나보다,Lee Sin,르갈진핑의,LeBlanc,억까당한사람,Ziggs,현상금걸린사람,Maokai,클레드 교과서,Kennen,Luv Lauv,Graves,화원 아기,Garen,복수를 위하여,Kai'Sa,도륜이,Leona,15 Qian C
5510263599,lose,Ranked Solo,2021-10-14 17:29:28,21m 45s,4,8,7,1.38:1,empty,empty,Lee Sin,Master,empty,Gragas,그라가스할래요,Graves,오리지널찰떡쿠키,Qiyana,정재만,Miss Fortune,Petra RaI,Pyke,Serious game,Jayce,Mu nian,Lee Sin,화원 아기,Zoe,Decimation,Kog'Maw,Kog Maw hello,Nautilus,Danrenguiz
5506374708,lose,Ranked Solo,2021-10-11 23:04:05,24m 1s,3,3,4,2.33:1,ACE,empty,Graves,Master,empty,Kennen,소병하추,Qiyana,Daisy thy,Galio,CRINGEEEEEEEEEEE,Jinx,리그오브레전드ll,Nami,loveme7,Darius,Yang Hua,Graves,화원 아기,Garen,Twitch 보다,Miss Fortune,당신이화가날정도,Lulu,Gen G Lospa
