gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5505484850,lose,Ranked Solo,2021-10-14 20:48:04,28m 35s,7,4,9,4.00:1,ACE,empty,Jhin,Master,empty,Kennen,qPdAngelo,Zed,Český námořník,Ryze,SHHEEEESH,Jhin,IcelandWalrus,Galio,stuck in low,Graves,R0o2,Lee Sin,Star is coming,Sylas,sign me already,Lucian,something 2 lose,Nami,honor my adc
5504837024,lose,Ranked Solo,2021-10-14 06:35:15,28m 11s,4,7,3,1.00:1,Double Kill,empty,Jhin,Master,empty,Gwen,LEOMESAQ,Qiyana,Οbsess,Graves,Talamasca,Jhin,IcelandWalrus,Braum,Exhausted Mango,Jayce,training acc 1,Viego,MightyXDragon v2,Veigar,KBR TunisiaKing,Draven,Mental Himalaya,Leona,Sêal
5504729712,win,Ranked Solo,2021-10-14 05:45:15,25m 57s,6,5,13,3.80:1,empty,empty,Lee Sin,Master,empty,Aatrox,IegnA,Lillia,Robin0,Kled,Leedge,Miss Fortune,Pοl,Nami,Efias,Sion,dn1she,Lee Sin,IcelandWalrus,Taliyah,Loftician,Lucian,Jesklaa,Janna,class clown
5504549127,lose,Ranked Solo,2021-10-14 04:54:59,46m 39s,22,9,9,3.44:1,Double Kill,empty,Jhin,Master,empty,Riven,Vertigo vincet,Shaco,Loook Behind you,Ryze,PST Alex,Jhin,IcelandWalrus,Xerath,1k LP mid inc,Veigar,Dark014,Talon,Chief Keef,Poppy,nio top acc,Sivir,Polkα,Rakan,scamber
5504490123,win,Ranked Solo,2021-10-14 03:49:31,32m 1s,5,5,10,3.00:1,Double Kill,empty,Ezreal,Master,empty,Graves,nio top acc,Zed,Fade7,Galio,Violet Sky,Ezreal,IcelandWalrus,Xerath,colden1,Malphite,dn1she,Hecarim,Mid prio pls ,Akshan,Jin Mu Wοn,Miss Fortune,ZY Zelda,Amumu,DENDENDENDEN
5504504699,win,Ranked Solo,2021-10-14 03:10:04,24m 24s,2,4,4,1.50:1,empty,empty,Jayce,Master,empty,Jayce,IcelandWalrus,Lee Sin,zzzzzzzzzz123,Zoe,Pro Uno Player,Lucian,Gwendy Stacy,Nami,nigelf32,Yorick,Kuro Tony,Kha'Zix,brhoch wa3r,Twisted Fate,i like marksman,Ezreal,FYN Jackson,Bard,BotIsLavaPathTop
5504410194,lose,Ranked Solo,2021-10-14 02:35:13,20m 23s,1,6,2,0.50:1,empty,empty,Draven,Master,empty,Jax,VITB Raven,Talon,37373737373737,Aurelion Sol,Infinting,Draven,IcelandWalrus,Yuumi,VGIA Kasing,Camille,Daptrix,Zac,Ρuru,Vex,Kourosh Azizam,Miss Fortune,Mistil,Nami,dridro
5504386337,win,Ranked Solo,2021-10-14 02:08:48,23m 45s,10,5,7,3.40:1,Double Kill,empty,Aphelios,Master,empty,Riven,Jían,Ekko,Rxle,Sylas,TSM FTX Poewned,Jhin,livingthefullest,Rell,Paixdia,Renekton,Princess Jani,Rek'Sai,panties sniƒfer,Katarina,tempvfutpgbwjgrl,Aphelios,IcelandWalrus,Alistar,Percûssor
5502029941,lose,Ranked Solo,2021-10-12 07:26:34,29m 8s,11,8,8,2.38:1,Triple Kill,ACE,Vayne,Master,empty,Vayne,IcelandWalrus,Talon,Sigma Pathing,Ahri,Ebolynn,Ezreal,Dekkon,Yuumi,Reborn Love,Graves,lI Werlyb Il,Hecarim,PoIicja997,Rumble,on me,Lucian,Gwendy Stacy,Sona,SOLEILINTENSE
5501986500,win,Ranked Solo,2021-10-12 06:50:17,22m 9s,14,2,6,10.00:1,Double Kill,MVP,Lucian,Master,empty,Aatrox,Have a niice day,Ekko,xRachedx,Twisted Fate,Shrimp Shark,Kalista,Xenxo,Thresh,S10 l R1,Sett,big noob xd lol,Graves,Dawning Sun,Sylas,DecentKing,Lucian,IcelandWalrus,Nami,ETT 2Trick
