gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5476385051,win,Ranked Solo,2021-09-26 02:34:35,25m 31s,3,3,4,2.33:1,Double Kill,empty,Draven,Grandmaster,empty,Graves,KT Castle,Lee Sin,죽고다시태어나다,Sylas,단군의청춘부재,Lucian,초보원딜러,Lulu,KT Way,Sett,kaixin1dian,Xin Zhao,우울적울컥,Kassadin,LunaLina,Draven,항상배고픈코그모,Nami,DK Bible
5476249628,lose,Ranked Solo,2021-09-26 01:44:30,15m 47s,2,5,2,0.80:1,empty,empty,Draven,Grandmaster,empty,Aatrox,KT Castle,Zed,미소의눈동자,Yone,단군의청춘부재,Draven,항상배고픈코그모,Rakan,Let me sup,Rumble,04 JUGKING li,Qiyana,Cuzz,Viego,권 지 인,Syndra,Keinee,Leona,awsdrfgyhjik
5476150765,lose,Ranked Solo,2021-09-26 00:28:57,25m 11s,12,5,6,3.60:1,Double Kill,empty,Tryndamere,Challenger,empty,Sylas,502 Error,Lee Sin,N0T Angry,Vex,Talk n luv,Draven,T1 Gumayusi,Camille,이기고오쉽당,Gnar,깨달음을얻은남자,Ekko,난 워낙 노빠꾸라,Cassiopeia,SPG BaeKHo,Tryndamere,항상배고픈코그모,Alistar,q7mm
5475999722,lose,Ranked Solo,2021-09-25 23:46:25,26m 24s,9,9,9,2.00:1,Double Kill,empty,Lucian,Grandmaster,empty,Lucian,항상배고픈코그모,Karthus,byz,Yone,Pz ZZang,Draven,T1 Gumayusi,Pyke,bai si yyds,Camille,미소의눈동자,Lee Sin,우울적울컥,Sylas,Zxkkwhy,Ezreal,Gen G Ruler,Nami,Let me sup
5475972972,win,Ranked Solo,2021-09-25 23:13:59,22m 42s,7,3,7,4.67:1,Double Kill,empty,Draven,Challenger,empty,Gnar,깨달음을얻은남자,Ekko,난 워낙 노빠꾸라,Pantheon,05프로하고싶어요,Miss Fortune,Gen G Ruler,Leona,11baby,Sylas,502 Error,Rek'Sai,우울적울컥,Malzahar,Let me sup,Draven,항상배고픈코그모,Thresh,로이갓전용노예
5475685089,lose,Ranked Solo,2021-09-25 21:22:18,24m 32s,7,8,9,2.00:1,Double Kill,empty,Draven,Grandmaster,empty,Jax,77GameZting,Evelynn,xiao adc,Yone,Gen G Quid,Kai'Sa,pingwozhijiedian,Alistar,fuzhu carry,Camille,피자호팡,Diana,단군의청춘부재,Kassadin,몽키 D 짱구,Draven,항상배고픈코그모,Leona,빙밍잉
5475593615,lose,Ranked Solo,2021-09-25 20:26:39,18m 53s,0,7,2,0.29:1,empty,empty,Draven,Grandmaster,empty,Irelia,im1v5,Jarvan IV,JD fans,LeBlanc,GGGori,Ezreal,젠지 다이스,Karma,DK Bible,Kennen,DK Chasy,Talon,와인 한잔 주쎄요,Galio,supi,Draven,항상배고픈코그모,Yuumi,fuzhu carry
5475434577,win,Ranked Solo,2021-09-25 19:46:06,23m 7s,13,3,8,7.00:1,Double Kill,MVP,Draven,Grandmaster,empty,Jax,77GameZting,Karthus,멘탈하난좋아 ,Akshan,권 지 인,Kai'Sa,Slayder,Gragas,전서방 닭갈비,Kennen,사 용 수,Ekko,DK Lucid,Sett,DK Pullbae,Draven,항상배고픈코그모,Leona,wyzyz
5475441423,lose,Ranked Solo,2021-09-25 19:10:42,3m 10s,0,1,1,1.00:1,empty,empty,Ezreal,Master,empty,Poppy,asdzxclwqdp,Lee Sin,u cant die,Sylas,헌  언,Lucian,DLRUQHWKK,Lulu,안타까운 세상,Sett,zzyz,Ekko,18 년 여름 여행,Riven,LIVENKING,Ezreal,항상배고픈코그모,Maokai,Practice
5475039417,win,Ranked Solo,2021-09-25 18:40:05,33m 16s,5,5,9,2.80:1,Double Kill,empty,Ezreal,Grandmaster,empty,Lucian,DK Chasy,Viego,미소의눈동자,Zoe,Indexy,Kai'Sa,Gen G Ruler,Nautilus,Destiny,Quinn,카사돌,Karthus,숟뀨락,Yasuo,Shadow FA 03,Ezreal,항상배고픈코그모,Karma,로이갓전용노예
