gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5505806955,win,Ranked Solo,2021-10-15 00:24:38,24m 42s,10,4,5,3.75:1,Quadra Kill,empty,Aatrox,Master,empty,Aatrox,Im fine thx you,Qiyana,This will pass,Galio,iDømi,Kai'Sa,tututututu caaau,Lulu,CleverClive,Urgot,UrgoIncognito,Zed,Erring,Viktor,tête à fromage,Twitch,Pinky windy,Rakan,gHarvey
5505339985,win,Ranked Solo,2021-10-14 19:37:07,21m 9s,2,6,3,0.83:1,empty,empty,Irelia,Master,empty,Irelia,Im fine thx you,Graves,dibu123,Sylas,2Cups,Lucian,Shnack,Yuumi,Aydin,Tryndamere,FrostSize,Sejuani,Joekie,Jayce,Kimchi3,Tristana,420DANY69,Leona,bIöde hoe
5504907025,win,Ranked Solo,2021-10-14 07:32:49,15m 15s,4,3,4,2.67:1,MVP,empty,Irelia,Master,empty,Gangplank,2021Worlds0176,Zed,awqewqeasdds,LeBlanc,NIX kev1n,Lucian,Sh3riff,Morgana,strip weathers,Irelia,Im fine thx you,Poppy,mute all is win,Kassadin,sxrenity,Jhin,CrimzOnSlayer,Karma,Οbsess
5504893669,lose,Ranked Solo,2021-10-14 07:10:46,27m 5s,1,16,2,0.19:1,empty,empty,Irelia,Master,empty,Gangplank,Venøur,Lillia,sof,Qiyana,White Whales,Miss Fortune,GALA mashallah,Soraka,KBR TunisiaKing,Irelia,Im fine thx you,Ekko,2 soxE,Yasuo,BROHAN AND SEKKI,Ezreal,998 ZAMULEK,Nami,Esskeetit69
5504871441,win,Ranked Solo,2021-10-14 06:36:30,15m 29s,9,2,2,5.50:1,Double Kill,empty,Gwen,Master,empty,Gwen,Im fine thx you,Xin Zhao,euw op gg,Diana,Planlèss,Miss Fortune,qssbbbbb,Janna,NoIngameChatDiff,Camille, Practice room,Talon,mute all is win,Sylas,2Cups,Aphelios,GALA mashallah,Thresh,Nico Senpaii
5504765853,win,Ranked Solo,2021-10-14 06:15:10,30m 34s,17,9,7,2.67:1,Double Kill,MVP,Tryndamere,Master,empty,Karthus,Net1,Talon,Lil Ûzi Vert,Katarina,mikel jakson ,Miss Fortune,Click ad acc,Rakan,CA2731,Tryndamere,Im fine thx you,Lee Sin,Kobben,Fizz,PST Alex,Jinx,flex ch eboy,Alistar,Karni
5504709232,lose,Ranked Solo,2021-10-14 05:36:55,24m 2s,7,9,0,0.78:1,ACE,empty,Irelia,Master,empty,Vayne,Sambrotta,Rengar,siesta fanboy,Diana,SC Nazrat,Camille,Chop Water,Bard,I love Latinas,Irelia,Im fine thx you,Graves,Lil Ûzi Vert,LeBlanc,ASP MΞNΞSIS,Lucian,L0VE CASSI,Nami,Karni
5503342247,win,Ranked Solo,2021-10-13 03:54:07,18m 30s,2,3,2,1.33:1,empty,empty,Tryndamere,Master,empty,Tryndamere,Im fine thx you,Viego,BIueBuddha,Corki,Tripod,Miss Fortune,04adc,Rakan, Błade,Malphite,Nooyk,Diana,This will pass,Yasuo,MadDaashy,Aphelios,PEDRARIO,Amumu,hvzqtdqts
5503295942,win,Ranked Solo,2021-10-13 03:26:16,26m 8s,10,4,7,4.25:1,Triple Kill,MVP,Aatrox,Master,empty,Shen,LOL ember L9,Ekko,This will pass,Yone,MadDaashy,Kai'Sa,Mistil,Thresh,DynamicQ Only,Aatrox,Im fine thx you,Nocturne,HoLeeKebab Sadge,Karthus,xumäS,Twitch,TwTvDuoAbuse,Yuumi,KIT sxysurferboy
5503240342,win,Ranked Solo,2021-10-13 02:53:12,23m 14s,14,1,3,17.00:1,Quadra Kill,MVP,Graves,Master,empty,Graves,Im fine thx you,Udyr,Stopfeedanimals,Tryndamere,xαky,Jhin,Shnack,Zyra,BotIsLavaPathTop,Fiora,Vertigo vincet,Olaf,lDlXICIZl,LeBlanc,fenz1zz,Aphelios,shycarryyy,Thresh,VER Forsaken
5502425843,lose,Ranked Solo,2021-10-12 11:17:21,26m 0s,6,8,5,1.38:1,ACE,empty,Hecarim,Master,empty,Vayne,nekr0shade,Nocturne,Vol,Cho'Gath,FNC Jeko,Miss Fortune,             zwc,Braum,CT 0292,Hecarim,Im fine thx you,Ekko,Taikki,Yasuo,S1ayter,Draven,ROAR Frezzer,Rell,1roNN
5502473805,lose,Ranked Solo,2021-10-12 10:44:47,18m 13s,2,8,1,0.38:1,empty,empty,Fiora,Master,empty,Graves,TESTOMASCHINE,Elise,lDlXICIZl,Zed,car crashh,Vayne,nekr0shade,Braum,1roNN,Fiora,Im fine thx you,Xin Zhao,Mi annoio sempre,LeBlanc,Katare,Samira,S1ayter,Rell,CT 0292
5502452955,lose,Ranked Solo,2021-10-12 10:13:00,20m 14s,2,7,4,0.86:1,empty,empty,Irelia,Master,empty,Irelia,Im fine thx you,Graves,Mi annoio sempre,Galio,Łet none survive,Aphelios,Odi11 style,Lulu,Nilfgaardiân,Garen,arvgod,Talon,BEELlT,LeBlanc,Katare,Ezreal,Glαssy Sky,Karma,xShádezz
5502461345,win,Ranked Solo,2021-10-12 09:43:31,22m 55s,5,9,10,1.67:1,empty,empty,Irelia,Master,empty,Irelia,Im fine thx you,Kha'Zix,DahVysss,Sylas,Mrozkμ,Draven,HalvorErEklegutt,Yuumi,WW Macias,Jax,menninkäine,Graves,huge performanz ,Akali,Paul227,Taliyah,CannonMinion4u,Nautilus,stuck in low
5502218653,lose,Ranked Solo,2021-10-12 09:11:58,35m 59s,11,15,8,1.27:1,Triple Kill,empty,Tryndamere,Master,empty,Malphite,menninkäine,Talon,Stellar Abir,Yasuo,S1ayter,Karthus,Pérshing,Yuumi,ETT 2Trick,Tryndamere,Im fine thx you,Jarvan IV,Joekie,Zed,Άcε,Senna,Salvied,Taliyah,highly ambitious
5502266151,lose,Ranked Solo,2021-10-12 08:28:15,12m 5s,2,9,0,0.22:1,ACE,empty,Sylas,Master,empty,Pantheon,S1ayter,Xin Zhao,Stellar Abir,Karma,Samsonsung,Aphelios,pan ni shi nian,Nami,unhappy11,Fiora,qPdAngelo,Jarvan IV,Joekie,Sylas,Im fine thx you,Lucian,L9 BARACK OBAMA,Yuumi,nοob boy
5501240615,win,Ranked Solo,2021-10-11 19:46:54,36m 19s,6,16,7,0.81:1,Double Kill,empty,Irelia,Master,empty,Graves,strongside joe,Zed,Άcε,Galio,Bloοd and Guts,Lucian,K Λ M l,Nami,Sulleika,Irelia,Im fine thx you,Xin Zhao,Monsieur Oui,Viktor,Leviit,Draven,Black Sabbath,Rakan,Aarôn sup acc
5501099011,lose,Ranked Solo,2021-10-11 19:05:22,28m 32s,8,6,3,1.83:1,Triple Kill,empty,Sylas,Master,empty,Aatrox,Loosen Up,Gwen,Norwegian Tarzan,Ekko,Nitrooo,Kai'Sa,tututututu caaau,Amumu,CBT ENJ0YER,Lucian,CANT STØP ME NOW,Shaco,BOXINTHEFOG,Zed,Άcε,Sylas,Im fine thx you,Thresh,tyberzen
