gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5474171884,win,Ranked Solo,2021-09-25 03:32:09,19m 5s,7,4,2,2.25:1,empty,empty,Lucian,Master,empty,Kassadin,cjsrlwk,Master Yi,마스터 이,Sylas,Be unhappy,Samira,젤리먹는고라니,Rakan,JYFzz,Tryndamere,asdasdafasf0802,Gragas,수 없이 어긋나,Qiyana,mu ze xi,Lucian,bie mo wo,Soraka,페이커전용소라카
5474039087,lose,Ranked Solo,2021-09-25 03:06:35,22m 20s,1,10,4,0.50:1,empty,empty,Vex,Diamond 1,empty,Rengar,부쉬안유미,Gragas,낭만 이지용,Fizz,진재승의 햄버거,Samira,연애포기 삐약이,Maokai,우하헤힝,Darius,asdasdafasf0802,Talon,grinder,Vex,bie mo wo,Ziggs,Kaihua de,Soraka,       o a  O 멍
5474023464,win,Ranked Solo,2021-09-25 02:19:27,18m 41s,4,9,2,0.67:1,empty,empty,Qiyana,Diamond 1,empty,Tryndamere,asdasdafasf0802,Nidalee,저능아새끼칼차단,Qiyana,bie mo wo,Kog'Maw,곡사포 코그모,Lulu,날아라피그미,Vayne,AXSUSDT,Taliyah,잼 밥,Zoe,반집승부사,Lucian,송내역 와플,Nami,왕 다
5463146442,win,ARAM,2021-09-20 03:18:19,11m 58s,9,5,10,3.80:1,Double Kill,empty,Kai'Sa,empty,empty,Vayne,하 헷,Zac,10VE,Lee Sin,선비하튜탱탱,Malzahar,별 반짝,Viktor,겨울빛서리,Viego,assda,Lucian,Arao,Jayce,U Chi Yo,Ashe,막내한솔,Kai'Sa,bie mo wo
5458468260,win,Ranked Solo,2021-09-18 02:15:17,20m 16s,9,3,2,3.67:1,Double Kill,empty,Graves,Diamond 1,empty,Graves,bie mo wo,Zed,평온하게 살다1,Ryze,i hate coward,Ezreal,xiguazhi,Rakan,long yan jing er,Yone,뜨 랩 ,Ekko,여신 한지민,Tryndamere,Ich,Caitlyn,Twitch Kimmallae,Soraka,팀운에멘탈터진나
5458472871,win,Ranked Solo,2021-09-18 01:45:32,25m 55s,8,7,4,1.71:1,empty,empty,Jax,Master,empty,Tahm Kench,알라부,Viego,YouTube변세윤,Cassiopeia,이판은정글탓이야,Kai'Sa,콩은검,Sett,캥거루왕주머니,Jax,bie mo wo,Lillia,평온하게 살다1,Qiyana,weiweiruoruo,Jinx,Twitch Kimmallae,Ekko,mini1110
5458323065,lose,Ranked Solo,2021-09-18 00:55:03,28m 27s,6,10,9,1.50:1,ACE,empty,Tahm Kench,Master,empty,Vayne,Luffy Zoro Ace,Nidalee,장꾸유,Nocturne,qkralfm,Lucian,hsonE,Blitzcrank,자북이,Tahm Kench,bie mo wo,Viego,asdasdafasf0802,Graves,HashtagWin,Kai'Sa,겜하면서머리안씀,Pyke,평온하게 살다1
5458271063,win,Ranked Solo,2021-09-18 00:09:57,38m 19s,10,11,5,1.36:1,empty,empty,Tryndamere,Master,empty,Kled,핑핑아 울지마,Taliyah,DOJERI,Graves,그브그브그브그브,Aphelios,약속의3코어,Thresh,실키1,Tryndamere,bie mo wo,Ekko,평온하게 살다1,Qiyana,Permaban10660769,Ezreal,IG1749193239Q,Karma,악튜브구독좋아요
5457526475,win,Ranked Solo,2021-09-17 21:15:08,15m 20s,3,2,1,2.00:1,MVP,empty,Jax,Diamond 1,empty,Kennen,Future Knight,Kayn,Anti Carry,Viktor,와 벌렁벌렁하나,Jhin,예우엠,Leona,후일담,Jax,bie mo wo,Xin Zhao,모찌찹쌀,Irelia, youraa,Samira,CasTella Lips,Amumu,wenyi yqy
5457463935,lose,Ranked Solo,2021-09-17 20:25:33,32m 11s,6,15,3,0.60:1,empty,empty,Tryndamere,Master,empty,Tryndamere,bie mo wo,Ekko,자유로운영혼1,Yone, youraa,Miss Fortune,흒 우,Leona,제발열심히해줘요,Zac,돌잡이때자크잡음,Zed,도륜이,LeBlanc,CREE,Caitlyn,수면소년,Morgana,박슬온
