gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5476317701,lose,Ranked Solo,2021-09-26 01:44:02,17m 13s,1,10,1,0.20:1,empty,empty,Aatrox,Grandmaster,empty,Fiora,yeebaby,Ekko,wuliaodexianshi,Akshan,기 정 fan,Lucian,a1da2d,Yuumi,큐 지,Aatrox,따봉 람머스,Talon,Tar7an,Sylas,나아 무서워,Aphelios,여긴지옥일까,Thresh,Cherry Bloss0m
5476272238,lose,Ranked Solo,2021-09-26 01:19:31,24m 17s,4,8,4,1.00:1,empty,empty,Aatrox,Grandmaster,empty,Aatrox,따봉 람머스,Lee Sin,Tar7an,Sylas,기 정 fan,Ezreal,KT R SUP,Bard,펭귄수호자 바드,Jax,wuliaodexianshi,Talon,a new beginn1ng,Kled,스 칼,Ziggs,28 08 2001,Amumu,10102021
5476207125,lose,Ranked Solo,2021-09-26 00:49:38,16m 9s,0,8,0,0.00:1,empty,empty,Mordekaiser,Grandmaster,empty,Sett,fashion여쟈,Lee Sin,Tar7an,Sylas,2021 10 31,Lucian,Sadman1,Thresh,Graffitiii,Mordekaiser,따봉 람머스,Xin Zhao,앤 쥐,Tryndamere,a new beginn1ng,Jhin,363363363,Tahm Kench,용덕이자동차
5475753480,win,Ranked Solo,2021-09-25 22:01:23,30m 2s,4,11,10,1.27:1,empty,empty,Aatrox,Grandmaster,empty,Aatrox,따봉 람머스,Graves,KT R JGL,LeBlanc,Firework37,Lucian,Ottogl,Lulu,wananpyh,Jayce,공부하기시러요,Jarvan IV,NeverLand,Zoe,노 빅,Samira,돼지와함께춤을a,Leona,363363363
5475696559,win,Ranked Solo,2021-09-25 21:26:02,21m 7s,5,3,6,3.67:1,Double Kill,empty,Camille,Master,empty,Camille,따봉 람머스,Jarvan IV,Dahuangren1,Akali,wdvvadwap,Kai'Sa,wu tiao jian,Thresh,wananpyh,Shen,dpfmvlel,Talon,nxzdwss,Sylas,2021 10 31,Lucian,L J CHANG,Yuumi,woooooyu
5474997792,lose,Ranked Solo,2021-09-25 18:10:30,16m 22s,4,4,2,1.50:1,ACE,empty,Sylas,Master,empty,Katarina,늙은할아버지,Graves,비가 오고 나면,Lulu,서창훈,Kai'Sa,The Arrival,Leona,DWG Bubbling,Aatrox,qoalzm,Zac,02년생 자크,Sylas,따봉 람머스,Miss Fortune,엄청나대단해,Thresh,꼬맹준
5473758517,win,Ranked Solo,2021-09-25 01:46:37,15m 28s,2,1,3,5.00:1,empty,empty,Malphite,Master,empty,Jayce,jingdaijieshu,Nidalee,The Arrival,Zed,재드킹,Draven,카트라이더11,Zac,02년생 자크,Malphite,따봉 람머스,Lee Sin,Serious game,Sylas,Lee weon bin,Lucian,abczxd,Gragas,나비님
5473802076,win,Ranked Solo,2021-09-25 01:20:13,19m 21s,13,4,5,4.50:1,Double Kill,MVP,Aatrox,Grandmaster,empty,Sylas,Lee weon bin,Lee Sin,함구무언1,Gnar,BJ갈배,Ezreal,한 여름의 서리,Gragas,재훈이의 모함,Aatrox,따봉 람머스,Nidalee,Permaban10661334,Jayce,load L92k8UEM6QZ,Lucian,skwhadlrlffo,Lulu,메이 츄르 좋아해
5473564966,win,Ranked Solo,2021-09-25 00:51:22,28m 11s,14,3,5,6.33:1,MVP,empty,Sylas,Master,empty,Aatrox,jingdaijieshu,Talon,haoye1,Sylas,따봉 람머스,Lucian,Ottogl,Nami,잠수빈,Kennen,공부하기시러요,Hecarim,DWG Bubbling,Yone,Leminem,Miss Fortune,usakifan,Bard,EIeven2
5473198076,win,Ranked Solo,2021-09-24 22:32:19,24m 2s,10,4,11,5.25:1,Double Kill,empty,Camille,Master,empty,Camille,따봉 람머스,Lee Sin,나랑 깐부하까,LeBlanc,New ID,Tristana,stressboy,Maokai,Quiero ganar,Graves,BlackKnight8,Viego,Xcheng2,Ahri,아 나이뜨,Miss Fortune,돼지와함께춤을a,Leona,Square0ne
