gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5458335491,lose,Ranked Solo,2021-09-18 00:58:23,20m 47s,6,8,1,0.88:1,ACE,empty,Sett,Grandmaster,empty,Sett,EWrRS,Lillia,a new beginn1ng,Yone,BRO Loopy,Syndra,zxcsazxcazdz,Blitzcrank,BJ서준석사생팬,Zoe,KT VicLa,Lee Sin,3donghezecaoxian,Irelia,LSB DDahyuk,Kai'Sa,RiHoo,Poppy,칼과 창 방패
5458196008,lose,Ranked Solo,2021-09-18 00:26:59,36m 35s,7,8,7,1.75:1,Double Kill,ACE,Zed,Challenger,empty,Riven,오동1,Zed,EWrRS,Ekko,풍식2,Ezreal,Hakunaa Matata,Leona,Sutkressuree,Rumble,04 JUGKING li,Graves,load zW4gmC84FLc,Orianna,Pnpm,Kai'Sa,빵 얏,Gragas,FTC
5458017971,win,Ranked Solo,2021-09-17 23:43:24,30m 4s,7,11,11,1.64:1,empty,empty,Camille,Master,empty,Camille,EWrRS,Lillia,마음한켠이허전해,Irelia,langmanbusi,Draven,long yan jing yi,Sylas,woshissm,Akshan,은신 갈고리 부활,Jarvan IV,Tangyuando,Ryze,2021Marzss,Kai'Sa,빵 얏,Amumu,고등학생
5457149366,win,Ranked Solo,2021-09-17 17:26:04,18m 0s,5,1,4,9.00:1,MVP,empty,Camille,Grandmaster,empty,Graves,으갸갸갹갸갸각,Zac,부산여행 떠나기,Azir,EIderwood Azir,Aphelios,Betty9,Zilean,행복하게이기자구,Camille,EWrRS,Karthus,Makeri ta,Akshan,critique,Tristana,L J CHANG,Rell,fuzhu carry
5457133396,win,Ranked Solo,2021-09-17 16:53:20,28m 10s,11,4,10,5.25:1,empty,empty,Lee Sin,Grandmaster,empty,Irelia,IRELKlNG,Talon,부산여행 떠나기,Sylas,     la ji game,Lucian,irasu1,Nami,EatDIE EATdie,Tryndamere,Tryndamere777,Lee Sin,EWrRS,Zoe,GGGori,Kalista,Lure or die ,Galio,Practice
5456398599,win,Ranked Solo,2021-09-17 03:41:17,29m 22s,12,5,12,4.80:1,MVP,empty,Camille,Grandmaster,empty,Camille,EWrRS,Zed,요즘솔랭누가하냐,LeBlanc,BZZZIII,Lucian,가민준,Rakan,Lehends,Irelia,By 불비,Nidalee,Gen G Clid,Akshan,어리고싶다,Syndra,Yun Shun,Bard,승지부기
5456386686,win,Ranked Solo,2021-09-17 03:03:46,28m 52s,5,9,9,1.56:1,Double Kill,empty,Irelia,Grandmaster,empty,Aatrox,T1 Canna,Viego,xintaifangping,Sylas,Talk n luv,Ezreal,AD JJoon,Rakan,xiatingchan,Irelia,EWrRS,Talon,a new beginn1ng,Ryze,미치광이보노보노,Samira,가민준,Alistar,permaban991132
5456324302,win,Ranked Solo,2021-09-17 02:21:59,25m 39s,23,6,4,4.50:1,Quadra Kill,MVP,Irelia,Grandmaster,empty,Irelia,EWrRS,Kindred,EDGqx12312313,Lulu,LunaLina,Taliyah,SugarD,Thresh,permaban991132,Renekton,Slowly Song,Graves,WJDAKFDJWLFJQEK,LeBlanc,7777케이,Miss Fortune,챌 봇 감,Rakan,한 줄의 기억
5456330669,lose,Ranked Solo,2021-09-17 01:45:21,26m 11s,3,6,3,1.00:1,empty,empty,Tahm Kench,Grandmaster,empty,Tahm Kench,EWrRS,Lee Sin,포식자,LeBlanc,4cm,Lucian,폭탄치우기,Braum,SugarD,Graves,T1 Roach,Zac,xiao adc,Sylas,Tangyuando,Yasuo,검색 구글 제드팀,Rakan,permaban991132
5456246870,win,Ranked Solo,2021-09-17 01:11:53,24m 36s,11,3,4,5.00:1,MVP,empty,Irelia,Master,empty,Irelia,EWrRS,Lee Sin,kfo,LeBlanc,진쏘킴,Jinx,챌 봇 감,Thresh,나는이제원딜러,Kled,스 칼,Taliyah,594877,Qiyana,yyzx,Ziggs,badday1,Leona,permaban991132
5456281079,win,Ranked Solo,2021-09-17 00:24:56,15m 44s,0,3,2,0.67:1,empty,empty,Jarvan IV,Grandmaster,empty,Kennen,Gen G Rascal,Xin Zhao,yiyezhiqiu,Kassadin,LunaLina,Ezreal,원딜연습중입니닷,Bard,lure heart,Jarvan IV,EWrRS,Lee Sin,무지성큐돌리기,Twisted Fate,a new beginn1ng,Miss Fortune,Quiero ganar,Karma,고등학생
5456166257,win,Ranked Solo,2021-09-16 23:56:35,15m 16s,4,1,5,9.00:1,Double Kill,empty,Irelia,Grandmaster,empty,Camille,im1v5,Lee Sin,6yt7hbu,Ryze,무지성큐돌리기,Kai'Sa,Mangja,Blitzcrank,Quiero ganar,Irelia,EWrRS,Nidalee,미드잘하는정글러,Zed,Rumor22,Miss Fortune,T1 Gumayusi,Amumu,ScyIIa
5456019576,lose,Ranked Solo,2021-09-16 23:29:50,26m 36s,3,4,13,4.00:1,ACE,empty,Jarvan IV,Master,empty,Jayce,10102021,Ekko,우리깐부잖아1,Corki,혜지명1,Ashe,Ottogl,Thresh,kukuking,Jarvan IV,EWrRS,Zed,운명canwin,Twisted Fate,진쏘킴,Aphelios,BAA Su,Lulu,wananpyh
5455480452,lose,Ranked Solo,2021-09-16 18:37:24,28m 24s,12,5,8,4.00:1,Double Kill,ACE,Lee Sin,Grandmaster,empty,Yone,DK Ira,Lee Sin,EWrRS,Syndra,그땐 그저 좋았다,Aphelios,lllllnll,Yuumi,데스노트,Zilean,험악한분위기조성,Jarvan IV,Serious game,Azir,뮤즈아쿠아니지동,Samira,T10 Berserker,Leona,qkfzlfl
5455285668,win,Ranked Solo,2021-09-16 17:55:38,22m 14s,17,5,9,5.20:1,Triple Kill,MVP,Irelia,Master,empty,Camille,Chengnianren,Ekko,love beijixing,Caitlyn,시촌동생,Lucian,전설이 될 남자,Yuumi,EIeven2,Irelia,EWrRS,Karthus,데스노트,Tryndamere,전 세 종,Varus,xx7dz,Karma,I백년언약I
5455261703,win,Ranked Solo,2021-09-16 17:22:04,23m 32s,2,2,13,7.50:1,empty,empty,Viego,Master,empty,Gnar,Luv Lauv,Xin Zhao,who do you love,Katarina,나도 행복하자,Ezreal,10102021,Shen,쉔과나의연결고리,Fiora,guocuozz,Viego,EWrRS,Galio,우따따따따따뚜겐,Twitch,T10 Berserker,Bard,홍상현 암살부대
