gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5505484850,win,Ranked Solo,2021-10-14 20:48:04,28m 35s,5,4,6,2.75:1,empty,empty,Lee Sin,Master,empty,Kennen,qPdAngelo,Zed,Český námořník,Ryze,SHHEEEESH,Jhin,IcelandWalrus,Galio,stuck in low,Graves,R0o2,Lee Sin,Star is coming,Sylas,sign me already,Lucian,something 2 lose,Nami,honor my adc
5505349025,lose,Ranked Solo,2021-10-14 19:34:31,28m 34s,10,7,8,2.57:1,Double Kill,ACE,Irelia,Diamond 1,empty,Jayce,HU7CHY,Ekko,Ye Xiu3,Yasuo,DaLaurenz,Karthus,juice WRLD 666 x,Rakan,Paolocannone,Irelia,Star is coming,Jarvan IV,Lesteq,Kassadin,GOODNIGHTATYCHI,Samira,Fermer la gueule,Thresh,Guïrke
5505375116,win,Ranked Solo,2021-10-14 18:39:59,27m 27s,15,2,3,9.00:1,Double Kill,MVP,Graves,Master,empty,Graves,Star is coming,Lillia,SGE SevenArmy,Cassiopeia,Demon Pun1sher,Yasuo,A41G Varry,Rakan,skain24,Vladimir,need farm pls,Lee Sin,DahVysss,Yone,Mrozkμ,Lucian,League Enjoyer 1,Lulu,USE Dreamer Ace
5504851265,win,Ranked Solo,2021-10-14 06:40:37,21m 40s,10,4,7,4.25:1,Triple Kill,empty,Graves,Master,empty,Camille,TOYOTA 86 TRUENO,Evelynn,adoppteR,Yone,Marcy,Lucian,Odi11 style,Blitzcrank,Naisuuuuuuuuuuuu,Graves,Star is coming,Kha'Zix,asyc is a dog,Ryze,MAJOR FestWho,Ezreal,Nemky,Thresh,Inverted Enoch
5504814480,win,Ranked Solo,2021-10-14 06:10:44,25m 3s,11,4,8,4.75:1,Double Kill,MVP,Irelia,Master,empty,Katarina,tempvfutpgbwjgrl,Hecarim,Špatný hráč1,Yone,2021Worlds0176,Vayne,Juanjo Pelines,Lulu,ușoR,Irelia,Star is coming,Qiyana,Celestica,Kassadin,GOODNIGHTATYCHI,Ezreal,Dekkon,Janna,NoIngameChatDiff
5504717402,win,Ranked Solo,2021-10-14 05:30:32,25m 32s,12,2,3,7.50:1,Triple Kill,MVP,Graves,Master,empty,Graves,Star is coming,Rumble,on me,Yone,MAJOR FestWho,Miss Fortune,ad895091,Nami,iDømi,Sett,Vallheim Ier,Qiyana,LeChase,Seraphine,itachi eyes,Jinx,Viel Glück,Rell,scamber
5503686446,win,Ranked Solo,2021-10-13 07:46:31,28m 19s,12,3,6,6.00:1,Double Kill,MVP,Camille,Master,empty,Yone,89 fds 126,Zac,David Šrom,Akali,Nugget Nibbler,Draven,maussko,Yuumi,G2 ViggoEdits,Camille,Star is coming,Udyr,PickFast,Ziggs,brhoch wa3r,Ezreal,FYN Jackson,Lux,UnlookyPoopy
5502059084,win,Ranked Solo,2021-10-12 07:09:44,15m 23s,3,1,2,5.00:1,MVP,empty,Vladimir,Master,empty,Jayce, Practice room,Zed,LFT Lindbęrg,Azir,Dym le Chagrin,Ezreal,ToasterM8,Bard,CT 0292,Tristana,SQCRISTIAAN,Taliyah,highly ambitious,Vladimir,Star is coming,Jhin,TwTv daudr9,Nautilus,Exhausted Mango
5500848361,lose,Ranked Solo,2021-10-11 07:29:59,20m 35s,7,8,1,1.00:1,ACE,empty,Irelia,Master,empty,Yone,Daisy Lesa,Jarvan IV,xShádezz,Fizz,car crashh,Lucian,2021Worlds0053,Nami,Keria fanboy acc,Irelia,Star is coming,Zed,Οbsess,Rumble,on me,Draven,kcvawsreiuyopdgz,Seraphine,roy purdy1
5499859691,lose,Ranked Solo,2021-10-10 20:52:27,33m 10s,7,9,4,1.22:1,empty,empty,Irelia,Master,empty,Katarina,Blazen,Nunu & Willump,entroρy,Camille,FIX SOL0Q,Lucian,Viktorio,Nami,T de Tochas,Irelia,Star is coming,Jarvan IV,xShádezz,Annie,Annie el Labwa,Miss Fortune,blonde mina,Karma,Benaset
