gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5476249628,lose,Ranked Solo,2021-09-26 01:44:30,15m 47s,3,4,2,1.25:1,empty,empty,Zed,Grandmaster,empty,Aatrox,KT Castle,Zed,미소의눈동자,Yone,단군의청춘부재,Draven,항상배고픈코그모,Rakan,Let me sup,Rumble,04 JUGKING li,Qiyana,Cuzz,Viego,권 지 인,Syndra,Keinee,Leona,awsdrfgyhjik
5475999722,win,Ranked Solo,2021-09-25 23:46:25,26m 24s,16,4,7,5.75:1,Double Kill,MVP,Camille,Grandmaster,empty,Lucian,항상배고픈코그모,Karthus,byz,Yone,Pz ZZang,Draven,T1 Gumayusi,Pyke,bai si yyds,Camille,미소의눈동자,Lee Sin,우울적울컥,Sylas,Zxkkwhy,Ezreal,Gen G Ruler,Nami,Let me sup
5475039417,lose,Ranked Solo,2021-09-25 18:40:05,33m 16s,6,4,1,1.75:1,empty,empty,Viego,Grandmaster,empty,Lucian,DK Chasy,Viego,미소의눈동자,Zoe,Indexy,Kai'Sa,Gen G Ruler,Nautilus,Destiny,Quinn,카사돌,Karthus,숟뀨락,Yasuo,Shadow FA 03,Ezreal,항상배고픈코그모,Karma,로이갓전용노예
5474180141,lose,Ranked Solo,2021-09-25 03:11:34,16m 2s,4,9,0,0.44:1,Double Kill,ACE,Jax,Master,empty,Jax,미소의눈동자,Olaf,젱 글,Katarina,구글 롤 제드팀,Ezreal,Soul Shooter66,Leona,죠 팡,Camille,KT VicLa,Lee Sin,미드잘하는정글러,Vex,화원 아기,Jhin,Navy Mood,Anivia,Huya zhubohe
5474050296,win,Ranked Solo,2021-09-25 02:01:19,17m 42s,5,1,3,8.00:1,Double Kill,MVP,Gragas,Grandmaster,empty,Vi,자장면잠봉당수육,Lee Sin, 엘 림,Gragas,미소의눈동자,Kai'Sa,이기고오쉽당,Lulu,포식자,Jayce,Zxkkwhy,Nidalee,N0T Angry,Irelia,Gen G Quid,Aphelios,El Matador 7 9,Leona,KT Way
5473732754,lose,Ranked Solo,2021-09-25 01:29:25,28m 49s,3,8,3,0.75:1,empty,empty,Irelia,Grandmaster,empty,Sett,Yorick,Viego,T1 Ellim,Sylas,BRO Yaharong,Lucian,아이린,Seraphine,Kimwinter,Irelia,미소의눈동자,Lillia,xhr,Yasuo,Gen G Quid,Draven,이기고오쉽당,Zac,역시폭군
5473576341,lose,Ranked Solo,2021-09-25 00:49:27,16m 17s,4,2,0,2.00:1,ACE,empty,Irelia,Grandmaster,empty,Lillia,Yorick,Qiyana,Shadow HamBak ,LeBlanc,BRO Yaharong,Draven,T1 Gumayusi,Pyke,Kimwinter,Irelia,미소의눈동자,Taliyah,xhr,Yone,Gen G Quid,Ezreal,이기고오쉽당,Nautilus,Seize the day11
5473432862,lose,Ranked Solo,2021-09-24 23:09:31,3m 17s,1,1,0,1.00:1,empty,empty,Irelia,Grandmaster,empty,Trundle,Yorick,Zed,Shadow HamBak ,Sylas,Talk n luv,Aphelios,항상배고픈코그모,Blitzcrank,0008000,Irelia,미소의눈동자,Ekko,xhr,Riven,오동1,Thresh,누쇤퍅,Syndra,교육잘받은도구
5472309440,lose,Ranked Solo,2021-09-24 17:25:00,16m 14s,1,2,1,1.00:1,ACE,empty,Akali,Grandmaster,empty,Akali,미소의눈동자,Xin Zhao,우울적울컥,Sylas,으갸갸갹갸갸각,Kalista,Lure or die ,Leona,krole,Riven,Azhy,Ekko,xhr,Yone,05프로하고싶어요,Lucian,어딘가좀아픈사람,Rakan,Honpi
5471696129,lose,Ranked Solo,2021-09-24 02:26:14,28m 32s,8,7,5,1.86:1,Double Kill,ACE,Irelia,Grandmaster,empty,Kennen,T1 Roach,Viego,T1 Ellim,Lissandra,Shadow FA 03,Kindred,Twitch아라드,Nautilus,심리 건들지마,Irelia,미소의눈동자,Ekko,Xiaohao9,Qiyana,못할 때도 있지,Ezreal,하 루 가절 반 ,Gragas,Kimwinter
