gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5474055551,lose,Ranked Solo,2021-09-25 02:51:07,32m 34s,1,3,8,3.00:1,empty,empty,Sylas,Grandmaster,empty,Kennen,깨달음을얻은남자,Nidalee,Gen G Quid,Aatrox,자장면잠봉당수육,Aphelios,El Matador 7 9,Thresh,BigFour44,Vladimir,디알엑스 킹겐,Master Yi,아크샨밴의 신,Twisted Fate,권 지 인,Lucian,Gen G Ruler,Sylas,심리 건들지마
5473738258,lose,Ranked Solo,2021-09-25 02:00:45,32m 53s,4,4,5,2.25:1,ACE,empty,Ezreal,Grandmaster,empty,Poppy,포동포동아기물개,Gragas,우울적울컥,Sett,칼과 창 방패,Lucian,mentaI game,Rakan,Honpi,Gnar,KT PerfecT,Qiyana,byz,Akali,권 지 인,Ezreal,심리 건들지마,Karma,krole
5473587384,lose,Ranked Solo,2021-09-25 01:15:52,37m 59s,5,5,6,2.20:1,empty,empty,Lucian,Grandmaster,empty,Gangplank,디알엑스 킹겐,Diana,우울적울컥,Irelia,권 지 인,Lucian,심리 건들지마,Braum,krole,Gragas,으갸갸갹갸갸각,Zed,아크샨밴의 신,Poppy,칼과 창 방패,Jhin,bai si yyds,Leona,Dan mu he ton
5473600576,lose,Ranked Solo,2021-09-25 00:27:32,17m 31s,2,5,2,0.80:1,empty,empty,Karma,Grandmaster,empty,Kennen,간다라쿤다,Taliyah,Kimwinter,Yone,05프로하고싶어요,Draven,항상배고픈코그모,Yuumi,Dan mu he ton,LeBlanc,자장면잠봉당수육,Kayn,xhr,Vex,칼과 창 방패,Ziggs,당신은게임을왜함,Karma,심리 건들지마
5471801151,win,Normal,2021-09-24 03:44:23,31m 4s,8,10,17,2.50:1,Double Kill,empty,Irelia,empty,empty,Ornn,갈 곳을 잃었다,Talon,이해완료,Aurelion Sol,tcty,Ezreal,하양콩,Nautilus,Club PLUS LABEL,Irelia,심리 건들지마,Shyvana,미친 과학자 직스,Fizz,눈나이렐지마,Aphelios,망태3,Blitzcrank,동생사랑한다
5471679365,lose,Ranked Solo,2021-09-24 03:04:29,29m 13s,8,7,13,3.00:1,Triple Kill,ACE,Senna,Grandmaster,empty,Wukong,77GameZting,Zed,     la ji game,Sylas,Gen G Quid,Ashe,BRO Hena,Seraphine,옆동산외계인,Irelia,샤오 쑤,Taliyah,아크샨밴의 신,Qiyana,못할 때도 있지,Jhin,항상배고픈코그모,Senna,심리 건들지마
5471696129,win,Ranked Solo,2021-09-24 02:26:14,28m 32s,4,4,16,5.00:1,empty,empty,Nautilus,Grandmaster,empty,Kennen,T1 Roach,Viego,T1 Ellim,Lissandra,Shadow FA 03,Kindred,Twitch아라드,Nautilus,심리 건들지마,Irelia,미소의눈동자,Ekko,Xiaohao9,Qiyana,못할 때도 있지,Ezreal,하 루 가절 반 ,Gragas,Kimwinter
5471682691,win,Ranked Solo,2021-09-24 01:52:57,30m 36s,3,5,27,6.00:1,empty,empty,Yuumi,Grandmaster,empty,Graves,blwy1,Viego,load zW4gmC84FLc,Irelia,디알엑스 제트,Xerath,의문의제라스장인,Rakan,DFM GAENG,Sett,간다라쿤다,Ekko,승리가필요한인간,Zoe,가민준,Ezreal,El Matador 7 9,Yuumi,심리 건들지마
5471517684,win,Ranked Solo,2021-09-24 01:07:03,23m 39s,7,4,18,6.25:1,empty,empty,Karma,Grandmaster,empty,Riven,오동1,Nidalee,T1 F0rest,Tryndamere,DK ShowMaker,Aphelios,bao1,Karma,심리 건들지마,Irelia,샤오 쑤,Ekko,미소의눈동자,Qiyana,Permaban10661117,Draven,T1 Gumayusi,Sett,El Matador 7 9
5471573072,lose,Ranked Solo,2021-09-24 00:31:12,15m 39s,1,3,3,1.33:1,ACE,empty,Sejuani,Grandmaster,empty,Gnar,BJ갈배,Talon,으갸갸갹갸갸각,Anivia,으 하하 맛 있 어,Samira,hong he wo de,Sejuani,심리 건들지마,Fiora,이도류,Viego,im1v5,Nunu & Willump,팀개못하면누누함,Draven,T1 Gumayusi,Gragas,awsdrfgyhjik
