gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5503791278,lose,Ranked Solo,2021-10-13 08:45:12,28m 46s,5,10,8,1.30:1,empty,empty,Qiyana,Master,empty,Graves,TOG lupi,Lee Sin,Blitzy77,LeBlanc,Kourosh Azizam,Vayne,nekr0shade,Xerath,Νight Drive,Darius,hi im alfarouk,Qiyana,Orange Killer,Ryze,cortisone abuser,Lucian,Robính00D,Nautilus,Senkuu 999
5499834944,win,Ranked Solo,2021-10-10 19:48:27,15m 19s,11,0,4,Perfect,Double Kill,MVP,Viego,Master,empty,Riven,qPdAngelo,Viego,Orange Killer,Vel'Koz,MANE ReNo,Ezreal,DeCypher1,Yuumi,Luukk,Sett,Mâuntér ,Qiyana,àlea iacta est,Xerath,BYS Lessy,Kai'Sa,SC SimBz,Bard,Téh
5497343717,lose,Ranked Solo,2021-10-09 04:29:19,25m 37s,5,9,4,1.00:1,ACE,empty,Qiyana,Master,empty,Volibear,Xynteki,Kha'Zix,fatefully,Corki,Violet Sky,Kai'Sa,endd,Braum,eLS Kioz0m,Poppy,trust me bros,Qiyana,Orange Killer,Sylas,gtrik,Ashe,Lang Zi Yan,Karma,strip weathers
5496974621,win,Ranked Solo,2021-10-08 23:34:56,23m 58s,20,3,10,10.00:1,MVP,empty,Qiyana,Master,empty,Graves,VRA PandaUj,Karthus,Jοhann Liebert,Yone,Facen,Jinx,take a moment,Nami,ETT 2Trick,Shen,Êblan,Qiyana,Orange Killer,Zoe,DeCypher1,Lucian,Tall Skill,Janna,uwu asmr
5496687940,win,Ranked Solo,2021-10-08 22:35:57,28m 5s,7,5,11,3.60:1,empty,empty,Qiyana,Master,empty,Urgot,UrgoIncognito,Ekko,Murabito B,Zed,Ban Inugami Pls,Jhin,Facen,Leona,StormFury,Akali,cenk kocak fan,Qiyana,Orange Killer,Sylas,Tsiperakos,Tristana,Robiski,Alistar,Ayusedtobegood
5495359588,win,Ranked Solo,2021-10-07 23:15:23,16m 16s,9,0,6,Perfect,Double Kill,empty,Lee Sin,Master,empty,Aatrox,Kecsketej07,Zac,theocacao,Yone,nashe,Tristana,RZN Unique ,Lulu,Kurczak Bagienny,Urgot,AngryBros,Lee Sin,Orange Killer,Twisted Fate,wo hen qinfen,Miss Fortune,AsesinolEUW,Rakan,IZI Nolan
5495304572,lose,Ranked Solo,2021-10-07 22:39:43,40m 39s,17,5,14,6.20:1,Double Kill,ACE,Ekko,Master,empty,Jax,Vulpes Incúlta,Lee Sin,Stellar Abir,Kayle,yone and kayle,Karthus,ˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉ,Senna,XELEGION,Riven,qPdAngelo,Ekko,Orange Killer,Tryndamere,JacquesWebsterII,Miss Fortune,Chucky le moine ,Amumu,CraneLoL
5495281519,win,Ranked Solo,2021-10-07 21:38:02,15m 20s,6,2,4,5.00:1,Double Kill,empty,Kindred,Master,empty,Camille,FeelMyLamppost,Kindred,Orange Killer,Kassadin,svns,Miss Fortune,Sαn,Soraka,na strwsoume tpt,Malphite,z0vulon,Udyr,Dragonite Lv99,Vladimir,baxeler,Jhin,LFT Giubi,Karma,Avatar Marty
5494913533,win,Ranked Solo,2021-10-07 07:50:32,15m 54s,2,1,3,5.00:1,empty,empty,Miss Fortune,Master,empty,Riven,      Its Me Jr ,Evelynn,SUN DISC MAN,Vex,wexquasèxort,Yasuo,Just cold,Gragas,acaweamsdacqwqwe,Aatrox,Vergnügen ,Ekko,Like a n1nja,Anivia,Rodolfo El Buzo,Miss Fortune,Orange Killer,Rakan,CT 0292
5494839645,lose,Ranked Solo,2021-10-07 07:26:37,27m 9s,5,9,6,1.22:1,empty,empty,Graves,Master,empty,Yasuo,Yikes a Yas Main,Rek'Sai,DaTrace,Rumble,honhonhon,Aphelios,MoDo Goodbye,Lulu,CraneLoL,Yone,use top,Graves,Orange Killer,Syndra,sexyanimecatgirl,Lucian,2219413,Nami,Peto1
