gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5505563238,win,Ranked Solo,2021-10-14 21:01:10,43m 55s,8,1,9,17.00:1,MVP,empty,Graves,Master,empty,Gangplank,Vizícsacsi,Graves,Kafuu chin0,Syndra,RKT Maςaquiñø,Seraphine,ROAR Menterlist,Rakan,Aglaro,Vayne,SlaviN jj 7,Ekko,Showkz,Orianna,AΙan,Miss Fortune,xDrop,Karma,Oursehavil
5505427033,win,Ranked Solo,2021-10-14 19:35:51,27m 57s,13,4,4,4.25:1,Quadra Kill,MVP,Kennen,Master,empty,Kennen,Kafuu chin0,Jarvan IV,Chucky le moine ,Yone,play for me orFF,Lucian,FLIP FliiZee,Nami,F tier supp,Camille,LEOMESAQ,Kha'Zix,brhoch wa3r,Sylas,PD Lynx,Seraphine,RoxanneV2,Rakan,SUP Toxic Keskin
5504886731,win,Ranked Solo,2021-10-14 07:29:16,21m 53s,9,5,3,2.40:1,Double Kill,empty,Graves,Master,empty,Graves,Kafuu chin0,Lee Sin,mr poIska,Vladimir,baxeler,Miss Fortune,proxious,Xerath,DEMON XERATH,Master Yi,REVERSEHEHEXD,Diana,Like a n1nja,Zed,XXXXX Q0001,Caitlyn,Thebausffs,Taric,millionair gap
5504520012,win,Ranked Solo,2021-10-14 04:01:00,36m 43s,8,4,8,4.00:1,Double Kill,MVP,Graves,Master,empty,Gnar,ddddddbbbbbb,Graves,Kafuu chin0,Zoe,Twitch Ag0nyPain,Jhin,Arktoso,Brand,4856379,Kayle,menninkäine,Lee Sin,redminers123,Twisted Fate,GS Bolulu,Kog'Maw,fjoompbun,Lulu,Fisherman
5504462043,win,Ranked Solo,2021-10-14 02:49:47,27m 56s,5,2,9,7.00:1,MVP,empty,Olaf,Master,empty,Ornn,TwTv Makkro0,Rek'Sai,Kunisame,Graves,awful season,Draven,666 reverse 999,Yuumi,G2 ViggoEdits,Gwen,BotMakeMeWeep,Olaf,Kafuu chin0,Taliyah,Violet Sky,Miss Fortune,Mèo Con Athena,Leona,stuck in low
5504103946,win,URF,2021-10-13 21:19:26,15m 19s,20,5,7,5.40:1,Double Kill,empty,Graves,empty,empty,Graves,Kafuu chin0,Caitlyn,BigNutsTiger,Singed,597Gangmember,Riven,Don Gerri,Teemo,ProjektTerror,Kennen,Nasa Hart Xplain,Kayle,SioxerNikita,Jinx,Miss Suppona,Sona,R y Cafeína,Sylas,jakobano
5504121684,win,ARAM,2021-10-13 21:00:58,12m 24s,13,8,17,3.75:1,Triple Kill,empty,Lucian,empty,empty,Lillia,Tjæu,Pyke,Prophez,Samira,IanJax,Zoe,GraphyteeZ,Caitlyn,drycry,Lucian,Kafuu chin0,Rakan,Tradinsunn,Master Yi,BIIRBER,LeBlanc,SEKOGI,Volibear,Eldyr
5503949045,win,Ranked Solo,2021-10-13 20:15:28,23m 9s,10,1,13,23.00:1,MVP,empty,Lee Sin,Master,empty,Tahm Kench,HotThotGG,Talon,AhmadMZW,Ryze,XOF NEDE,Lucian,Tall Skill,Leona,QTKT,Volibear,twtv goblineuw,Lee Sin,Kafuu chin0,Twisted Fate,Bethersham,Miss Fortune,BŁiNK,Rakan,Tommygun69
5503955909,win,Ranked Solo,2021-10-13 19:37:07,25m 33s,4,3,9,4.33:1,empty,empty,Graves,Master,empty,Irelia,Expriment is key,Gwen,Norwegian Tarzan,Syndra,MAJOR FestWho,Samira,Pursuît,Rell,F tier supp,Graves,Kafuu chin0,Fiddlesticks,Revalito,Cassiopeia,DeCypher1,Miss Fortune,Chucky le moine ,Amumu,OCD Panic
5503782137,win,Ranked Solo,2021-10-13 08:44:50,20m 58s,7,5,9,3.20:1,empty,empty,Graves,Master,empty,Graves,Kafuu chin0,Udyr,PickFast,Zoe,Ryuin,Miss Fortune,qssbbbbb,Brand,4856379,Yone,Hina Amane,Kindred,Sigma Pathing,Syndra,Secret Weapοn,Draven,Endlessz,Janna,rikv
