gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5469856737,lose,Ranked Solo,2021-09-23 03:37:37,31m 5s,7,7,3,1.43:1,Double Kill,ACE,Tristana,Master,empty,Poppy,족밑밧족밑저,Karthus,Karthus King,Graves,화원 아기,Aphelios,little hamburger,Thresh,heeseong,Tristana,Shirakami Fubuk1,Talon,제드팀 하원,Lux,szpt,Ashe,xixixlxix,Braum,당신이화가날정도
5469813113,win,Ranked Solo,2021-09-23 02:43:35,33m 3s,13,7,6,2.71:1,Double Kill,empty,Tristana,Grandmaster,empty,Tristana,Shirakami Fubuk1,Volibear,abczxd,Orianna,1998zhg,Jinx,28 08 2001,Morgana,Kwon TW,Gnar,초보강아지,Ekko,sao ma do duoc,Kled,스 칼,Lucian,Rumor22,Braum,늪에 빠지다1
5469748984,lose,Ranked Solo,2021-09-23 01:43:42,15m 15s,1,7,2,0.43:1,empty,empty,Tristana,Master,empty,Irelia,Nation Blue,Karthus,3donghezecaoxian,Tristana,Shirakami Fubuk1,Miss Fortune,blue bday,Gragas,jiaojiao,Jax,time or time,Lee Sin,sao ma do duoc,LeBlanc,걸그룹노래맞추기,Lucian,asdafsdfd,Pyke,파이크 아크샨
5469764523,win,Ranked Solo,2021-09-23 01:13:12,19m 30s,4,2,3,3.50:1,Double Kill,empty,Tristana,Master,empty,Camille, gnij oaix,Lee Sin,Permaban10660771,Lulu,우수한 치어리더,Kai'Sa,멜 로 닝,Braum,당신이화가날정도,Tristana,Shirakami Fubuk1,Warwick,Ke Jun Da,Sylas,파이크 아크샨,Miss Fortune,숟호신,Gragas,jiaojiao
5469677856,win,Ranked Solo,2021-09-23 00:35:45,29m 32s,17,7,3,2.86:1,Double Kill,MVP,Tristana,Master,empty,Graves,피들스틱KING,Talon,전상득,Kog'Maw,UMBBBBBBBBB,Jhin,Pooh n Bene,Maokai,Twitch TV 진고,Tristana,Shirakami Fubuk1,Jarvan IV,먼 여행을 떠나,Orianna,애기야 안녕,Ziggs,Slayder,Shaco,펜니르
5469583234,lose,Ranked Solo,2021-09-22 23:08:28,22m 55s,2,6,9,1.83:1,empty,empty,Rakan,Grandmaster,empty,Aatrox,샤오 쑤,Zac,부산여행 떠나기,Qiyana,새콤달콤 하 다,Ziggs,여긴지옥이분명해,Rakan,Shirakami Fubuk1,Gwen,im1v5,Zed,온 재,Sylas,Slowly Song,Jhin,Gen G Rascal,Blitzcrank,치쯔스틱
5469438316,lose,Ranked Solo,2021-09-22 22:36:20,17m 52s,4,7,1,0.71:1,empty,empty,Tristana,Grandmaster,empty,Irelia,룬 곰,Fiddlesticks,피들스틱KING,Garen,복수를 위하여,Samira,usakifan,Maokai,당신은게임을왜함,Darius,hfubVHDVuAWVF ,Graves,h ke pa,Jayce,Turned to leave,Tristana,Shirakami Fubuk1,Galio,98ktesa
5469432427,lose,Ranked Solo,2021-09-22 22:11:03,21m 31s,6,7,4,1.43:1,ACE,empty,Ezreal,Grandmaster,empty,Jayce,리얼쿠쿠루쿠쿠쿸,Ekko,운명canwin,Corki,2021Marzss,Ezreal,Shirakami Fubuk1,Nautilus,응애응애1212,Camille,Turned to leave,Lee Sin,FA Young JG,Galio,badqwer,Miss Fortune,Slayder,Seraphine,너 뭐하는거냐
5469161816,win,Ranked Solo,2021-09-22 19:51:47,28m 42s,6,5,10,3.20:1,empty,empty,Tryndamere,Grandmaster,empty,Tryndamere,Shirakami Fubuk1,Jarvan IV,미드님화이팅,Lissandra,Lee weon bin,Kai'Sa,참치마요 맛있다,Rakan,363363363,Irelia,i am Decade,Talon,부산여행 떠나기,Sylas,새콤달콤 하 다,Ziggs,Riris1,Pyke,앤 쥐
5468717865,win,Ranked Solo,2021-09-22 19:18:16,15m 33s,1,1,4,5.00:1,empty,empty,Gnar,Grandmaster,empty,Graves,Permaban10642500,Nidalee,Taehyoung,Gnar,Shirakami Fubuk1,Jinx,Riris1,Thresh,yangyu XD,Aatrox,운이 좋았던 날,Ekko,OHwiN,Tryndamere,DWG Ghost,Vayne,포퉁이,Braum,Road1
5468619622,win,Ranked Solo,2021-09-22 18:42:30,24m 11s,5,10,9,1.40:1,empty,empty,Tristana,Grandmaster,empty,Tristana,Shirakami Fubuk1,Lee Sin,20200902start,Orianna,1998zhg,Kai'Sa,pilotl0l,Galio,Cherry Bloss0m,Fiora,doleimepa,Taliyah,love beijixing,Irelia,탈론쓰레기챔프,Vayne,조댁근1,Amumu,언젠가만나게되는
5468632772,win,Ranked Solo,2021-09-22 18:10:18,25m 32s,4,4,7,2.75:1,Double Kill,empty,Tristana,Master,empty,Jax,Yang Hua,Taliyah,오빠거긴방귀구멍,Yone,으하핫자유다,Ezreal,조댁근1,Lux,szpt,Tristana,Shirakami Fubuk1,Talon,전상득,Zoe,Permaban10660769,Miss Fortune,숟호신,Amumu,Cherry Bloss0m
5468566664,win,Ranked Solo,2021-09-22 17:38:12,23m 25s,3,5,6,1.80:1,empty,empty,Renekton,Master,empty,Renekton,Shirakami Fubuk1,Taliyah,오빠거긴방귀구멍,Yone,빌었어,Aphelios,산초 바란 강두,Blitzcrank,아랄아랄아랄해,Camille,우승할건데,Elise,NeverLand,Sylas,평화로운 행동대장 에그타르트,Lucian,숟호신,Thresh,Cherry Bloss0m
5468512293,lose,Ranked Solo,2021-09-22 17:08:37,16m 8s,1,6,2,0.50:1,empty,empty,Jayce,Grandmaster,empty,Jayce,Shirakami Fubuk1,Ekko,wetfan,Lucian,7777케이,Kai'Sa,zxcsazxcazdz,Amumu,kukuking,Jax,고생했다 이현666,Qiyana,Jzzcjmzh,Sylas,파나경,Draven,zszzz,Leona,햄스터쳇바퀴인생
5467479361,lose,Ranked Solo,2021-09-22 03:50:55,15m 54s,0,6,1,0.17:1,empty,empty,Ezreal,Grandmaster,empty,Poppy,워웍뿌삐,Lillia,hai cha de yuan,Gnar,BJ갈배,Ezreal,Shirakami Fubuk1,Karma,응애응애1212,Kennen,im1v5,Talon,jingshen qiang,Zac,언니우기,Lucian,viper3,Nami,당신이화가날정도
5467414290,lose,Ranked Solo,2021-09-22 02:41:02,20m 19s,0,5,6,1.20:1,empty,empty,Jhin,Master,empty,Nocturne,jgnt,Gwen,Special Card,Tryndamere,kfo,Jhin,Shirakami Fubuk1,Shaco,펜니르,Irelia,Sutkressuree,Nidalee,짜 룽,Akali,마이구밍사주세요,Xayah,아 나이뜨,Braum,G4MBLEER
5467357416,lose,Ranked Solo,2021-09-22 02:05:58,29m 15s,2,7,6,1.14:1,empty,empty,Kennen,Master,empty,Kennen,Shirakami Fubuk1,Talon,제드팀 하원,Graves,Permaban10642500,Ziggs,hopeisdangerous,Nautilus,superlative tool,Gangplank,fashion여자,Poppy,Iove poppy,Sylas,borenzhuan,Lucian,젤라 귀여워,Lulu,큐 지
5467312858,win,Ranked Solo,2021-09-22 01:25:01,21m 22s,8,4,4,3.00:1,Double Kill,MVP,Tristana,Grandmaster,empty,Tristana,Shirakami Fubuk1,Taliyah,늪에 빠지다1,Tryndamere,Sweet L1fe,Kai'Sa,zzzzzzzs,Amumu,Graffitiii,Jax,BMX1234,Nidalee,싸움 기피증,Zed,애달프다,Lucian,애기야 안녕,Lulu,큐 지
5467301985,lose,Ranked Solo,2021-09-22 00:46:46,23m 30s,1,9,8,1.00:1,empty,empty,Kennen,Grandmaster,empty,Graves,BMX1234,Lee Sin,늪에 빠지다1,Twisted Fate,a new beginn1ng,Draven,Slayder,Leona,Square0ne,Kennen,Shirakami Fubuk1,Xin Zhao,cxzdtnksz,Ivern,오직데이지만믿음,Lucian,순진한 고양이,Braum,Cherry Bloss0m
5466189887,lose,Ranked Solo,2021-09-21 18:53:46,23m 15s,2,5,3,1.00:1,empty,empty,Kennen,Grandmaster,empty,Kennen,Shirakami Fubuk1,Lee Sin,woshifeji,Zoe,현주입니다,Lucian,조댁근1,Lulu,TwitchTV석빵빈,Jayce,Hakunaa Matata,Ekko,lucky boy2,Irelia,전설이 될 남자,Aphelios,28 08 2001,Braum,니제사밥꼭꼭묵으
5465119174,win,Ranked Solo,2021-09-21 03:34:08,21m 18s,12,5,13,5.00:1,Double Kill,MVP,Tristana,Master,empty,Tristana,Shirakami Fubuk1,Karthus,Makeri ta,Qiyana,마이구밍사주세요,Samira,잠이없다,Amumu,라 코,Irelia,샤오 쑤,Graves,무조건이겨야함,Syndra,langmanbusi,Miss Fortune,Emma Slave,Anivia,Huya zhubohe
5465156501,lose,Ranked Solo,2021-09-21 03:04:49,16m 53s,3,2,2,2.50:1,empty,empty,Jax,Master,empty,Jax,Shirakami Fubuk1,Fiddlesticks,옘 뱅,Kassadin,피의 군주 정수민,Kai'Sa,suo lan,Taric,Pooh n Bene,Zilean,험악한분위기조성,Dr. Mundo,CITRU5,Tryndamere,웨나미슈,Vayne,Emma Slave,Leona,죠 팡
5465055466,win,Ranked Solo,2021-09-21 02:31:58,20m 37s,2,4,2,1.00:1,empty,empty,Jax,Grandmaster,empty,Jax,Shirakami Fubuk1,Poppy,워웍뿌삐,Katarina,마이구밍사주세요,Lucian,Rumor22,Nami,고등학생,Tryndamere,샤오 쑤,Taliyah,jingshen qiang,Irelia,Aileri,Miss Fortune,사신몬,Pantheon,hyc0505
5465092156,lose,Ranked Solo,2021-09-21 02:04:31,15m 23s,0,6,0,0.00:1,empty,empty,Aatrox,Master,empty,Aatrox,Shirakami Fubuk1,Lillia,대박슨발록,Akali,Aileri,Samira,너 뭐하는거냐,Amumu,EatDIE EATdie,Rumble,재간동실이,Lee Sin,hyc0505,Ryze,Slowly Song,Vayne,Permaban10660928,Soraka,51사단공병짬찌
5465120300,lose,Ranked Solo,2021-09-21 01:42:02,3m 14s,0,0,0,0.00:1,empty,empty,Jhin,Master,empty,Shen,zxczxcasdaxd,Xin Zhao,망토와단검,Zoe,정글안할건데,Jinx,폭탄치우기,Thresh,우수한 치어리더,Xerath,Slowly Song,Viego, youwillsucceed,Tryndamere,BMX1234,Jhin,Shirakami Fubuk1,Blitzcrank,Cherry Bloss0m
5464973891,lose,Ranked Solo,2021-09-21 01:13:58,24m 26s,3,3,5,2.67:1,empty,empty,Tristana,Master,empty,Gangplank,xiaoxiongtop,Graves,sao ma do duoc,LeBlanc,H Agent,Kai'Sa,little hamburger,Braum,1128321,Tristana,Shirakami Fubuk1,Nidalee,Makeri ta,Lissandra,BenedizionE,Ezreal,그거죽는건데,Amumu,중꾹인
5464898614,lose,Ranked Solo,2021-09-21 00:32:25,12m 41s,2,4,0,0.50:1,empty,empty,Tristana,Grandmaster,empty,Kassadin,전상득,Nunu & Willump,Makeri ta,Blitzcrank,3donghezecaoxian,Tristana,Shirakami Fubuk1,Ezreal,im trash,Cassiopeia,라데시 너어,Graves,무조건이겨야함,Azir,EIderwood Azir,Irelia,Trisak,Seraphine,Slowly Song
5464687347,win,Ranked Solo,2021-09-20 22:49:59,21m 37s,2,4,33,8.75:1,empty,empty,Rakan,Grandmaster,empty,Sylas,BZZZIII,Olaf,3donghezecaoxian,Singed,이도류,Samira,향 깃,Rakan,Shirakami Fubuk1,Sett,워웍뿌삐,Ekko,wetfan,Jax,고생했다 이현666,Syndra,Slowly Song,Amumu,고등학생
5464541684,win,Ranked Solo,2021-09-20 21:32:35,24m 38s,3,3,9,4.00:1,empty,empty,Tristana,Grandmaster,empty,Kennen,돌이킬 수 있는,Xin Zhao,BRO Listo,Irelia,BZZZIII,Jinx,little hamburger,Amumu,고등학생,Tristana,Shirakami Fubuk1,Gragas,영겁무간,Lee Sin,i will pro,Aphelios,향 깃,Thresh,강하다 별
5464433018,win,Ranked Solo,2021-09-20 20:42:16,22m 38s,2,5,2,0.80:1,empty,empty,Tristana,Grandmaster,empty,Gnar,DangerousBoy ady,Lee Sin,늪에 빠지다1,Ryze,Slowly Song,Lucian,hopeisdangerous,Karma,하 루 가절 반 ,Tristana,Shirakami Fubuk1,Talon,매사에 긍정,Azir,EIderwood Azir,Cassiopeia,그거죽는건데,Nami,SugarD
5464386307,win,Ranked Solo,2021-09-20 20:09:43,24m 34s,6,1,4,10.00:1,Triple Kill,MVP,Tristana,Grandmaster,empty,Taric,DangerousBoy ady,Zed,늪에 빠지다1,Pantheon,앤 쥐,Cassiopeia,그거죽는건데,Alistar,Quiero ganar,Tristana,Shirakami Fubuk1,Lee Sin,Je vous aime,Tryndamere,Slowly Song,Ezreal,hong he wo de,Yuumi,SugarD
5464412399,lose,Ranked Solo,2021-09-20 19:38:51,15m 51s,1,2,1,1.00:1,empty,empty,Tristana,Master,empty,Tryndamere,Slowly Song,Rumble,Je vous aime,Tristana,Shirakami Fubuk1,Samira,hong he wo de,Maokai,이슬톡톡 좋아해,Shen,xiao adc,Talon,wetfan,Sylas,새콤달콤 하 다,Lucian,탄산수빠진탄산,Nami,SugarD
5464039435,win,Ranked Solo,2021-09-20 18:27:24,35m 2s,6,5,11,3.40:1,Double Kill,empty,Jhin,Grandmaster,empty,Graves,tan hua yi xian,Lee Sin,빌어줘 잘 되기를,Yone,구이신,Lucian,dalangcrash,Lulu,방서동주민,Tryndamere,샤오 쑤,Viego,youwiIIsucceed,Ekko,happygameII,Jhin,Shirakami Fubuk1,Lux,szpt
5463858797,win,Ranked Solo,2021-09-20 17:25:05,32m 18s,12,6,9,3.50:1,empty,empty,Tristana,Master,empty,Tristana,Shirakami Fubuk1,Kindred,love beijixing,Lulu,마이구밍사주세요,Ziggs,1128321,Amumu,차가운 차,Rumble,렁 래,Karthus,데스노트,Yone,현주입니다,Jhin,bai si yyds,Soraka,질판승리공식즐빡
5463863201,lose,Ranked Solo,2021-09-20 16:43:44,22m 28s,3,7,7,1.43:1,ACE,empty,Tristana,Grandmaster,empty,Pantheon,앤 쥐,Zed,Q shen,Kassadin,LunaLina,Ashe,북극곰 아프다,Braum,현주입니다,Tristana,Shirakami Fubuk1,Talon,피들스틱KING,LeBlanc,7777케이,Jinx,향 깃,Lulu,레넥톤전용6
5463716734,win,Ranked Solo,2021-09-20 16:03:50,22m 1s,1,2,12,6.50:1,empty,empty,Maokai,Master,empty,Singed,wwo wwo,Talon,wetfan,Zoe,조까안해,Draven,AF AiRu,Maokai,Shirakami Fubuk1,Vayne,이스포츠 프롬,Viego,Permaban10661117,Twisted Fate,리브 커리지,Kai'Sa,shangtougui,Soraka,질판승리공식즐빡
5463661823,lose,Ranked Solo,2021-09-20 15:29:23,24m 11s,0,8,2,0.25:1,empty,empty,Graves,Grandmaster,empty,Graves,Shirakami Fubuk1,Jarvan IV,JGJGJGJGJGJ,Fizz,그래서니티어뭐임,Ezreal,조댁근1,Galio,새콤달콤 하 다,Lulu,커피물조절장인,Lee Sin,썬더드래곤,Twisted Fate,조까안해,Lucian,pilotl0l,Braum,loveme7
5463597274,lose,Ranked Solo,2021-09-20 14:58:50,18m 11s,1,4,1,0.50:1,ACE,empty,Graves,Grandmaster,empty,Sett,칼과 창 방패,Ekko,운명canwin,Graves,Shirakami Fubuk1,Samira,xladnsrodufqkesp,Amumu,zzzzussss,Camille,BIack Baby,Taliyah,     la ji game,Galio,LaP1s,Lucian,wyzyz,Nami,IgNar
5463621917,win,Ranked Solo,2021-09-20 14:20:45,15m 45s,8,2,1,4.50:1,Double Kill,MVP,Sylas,Master,empty,Kennen,커피물조절장인,Nidalee,Spongebbob,Twisted Fate,리브 커리지,Ashe,북극곰 아프다,Braum,SugarD,Gnar,v나르샤v,Ekko,2021Marzss,Sylas,Shirakami Fubuk1,Ezreal,rekresreb,Nautilus,Betty9
5463465169,win,Ranked Solo,2021-09-20 13:26:04,22m 9s,6,3,8,4.67:1,empty,empty,Jhin,Grandmaster,empty,Fizz,그래서니티어뭐임,Taliyah,xccccccvb,Sett,xu hao long,Lucian,AD JJoon,Braum,원왕쟈,Dr. Mundo,꿀잼사과잼,Talon,love beijixing,Syndra,피루엣,Jhin,Shirakami Fubuk1,Bard,Purpo지니
5462517041,win,Ranked Solo,2021-09-19 23:19:32,20m 50s,7,0,5,Perfect,Double Kill,MVP,Tryndamere,Master,empty,Tryndamere,Shirakami Fubuk1,Lee Sin,100gY,Sylas,DK Lucid,Cassiopeia,그거죽는건데,Amumu,123213123,Fiora,Shadow Supreme,Nunu & Willump,갓누붕이,Ivern,오직데이지만믿음,Vayne,가락1,Braum,zzzzzzzs
5462449826,win,Ranked Solo,2021-09-19 22:51:32,22m 29s,2,1,6,8.00:1,MVP,empty,Ryze,Master,empty,Ryze,Shirakami Fubuk1,Lee Sin,dkkkkkkkkkkkk,Talon,meiyoutianfen,Ezreal,삼숭중,Alistar,아랄아랄아랄해,Kennen,CamilleToT,Olaf,분기충천등고자비,Zoe,으하핫자유다,Draven,Dgdb,Nami,잠수빈
5462450953,win,Ranked Solo,2021-09-19 22:08:56,22m 37s,1,0,3,Perfect,empty,empty,Jhin,Grandmaster,empty,Camille,섹파스,Xin Zhao,썬더드래곤,Zoe,퀸 세연,Jhin,Shirakami Fubuk1,Leona,햄스터쳇바퀴인생,Riven,wmfrpazz,Talon,늪에 빠지다1,LeBlanc,Slowly Song,Jinx,YouTube 짝강,Thresh,363363363
5462277326,win,Ranked Solo,2021-09-19 21:35:40,15m 39s,0,1,0,0.00:1,empty,empty,Graves,Master,empty,Irelia,김눌엉,Kayn,웨나미슈,Sylas,cago,Aphelios,예 nightfall,Thresh,Gen G Michi,Gnar,07년생 무뇌 탑,Graves,Shirakami Fubuk1,Syndra,lose jg,Jhin,녕 차,Fiddlesticks,피들서폿성공적
5462252315,lose,Ranked Solo,2021-09-19 21:13:03,18m 11s,6,3,0,2.00:1,Double Kill,ACE,Miss Fortune,Master,empty,Karma,썬더드래곤,Ivern,조광희,Jax,김눌엉,Miss Fortune,Shirakami Fubuk1,Leona,Square0ne,Mordekaiser,01 t0p,Lee Sin,dkkkkkkkkkkkk,Malphite,쉔드백,Xayah,xiguazhi,Rakan,햄스터쳇바퀴인생
5462202821,win,Ranked Solo,2021-09-19 20:30:07,21m 17s,9,2,3,6.00:1,Triple Kill,MVP,Jayce,Master,empty,Kennen,BMX1234,Talon,ScyIIa,Graves,전설이 될 남자,Kai'Sa,qssbbbbb,Lulu,qingsu fan,Jayce,Shirakami Fubuk1,Nidalee,xccccccvb,Kalista,a1da2d,Caitlyn,Asaka1,Lux,szpt
5462005261,lose,Ranked Solo,2021-09-19 18:45:14,25m 33s,5,3,5,3.33:1,ACE,empty,Miss Fortune,Master,empty,Gangplank,pdfgh,Xin Zhao,xccccccvb,Kassadin,멸망의인도자,Jinx,xiguazhi,Thresh,빅딜 이동하,Irelia,1241235115551535,Zac,02년생 자크,Twisted Fate,아케니아,Miss Fortune,Shirakami Fubuk1,Nautilus,ggttlplp190
5461942413,win,Ranked Solo,2021-09-19 17:33:29,21m 26s,3,2,4,3.50:1,empty,empty,Jhin,Master,empty,Gangplank,asdzxclwqdp,Lee Sin,방서동주민,Azir,고양이도좋아,Jhin,Shirakami Fubuk1,Bard,펭귄수호자 바드,Fiora,금요일에 만나요1,Taliyah,Sadman1,Ryze,상단할게요1,Ezreal,l3reeze,Thresh,wananpyh
5461785349,win,Ranked Solo,2021-09-19 16:59:29,28m 56s,9,3,8,5.67:1,empty,empty,Ezreal,Grandmaster,empty,Ornn,Jian ren bizui,Taliyah,Spongebbob,Irelia,늙은 이은성,Ezreal,Shirakami Fubuk1,Braum,펜니르,Gwen,xu hao long,Graves,군빵맨,Sett,로se,Miss Fortune,hopeisdangerous,Thresh,wananpyh
