gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5469797682,lose,Ranked Solo,2021-09-23 03:37:49,25m 6s,0,10,10,1.00:1,empty,empty,Trundle,Grandmaster,empty,Fiora,BIack Baby,Qiyana,a little story,Vladimir,Gen G Burdol,Ziggs,나는변신할것이다,Trundle,EatDIE EATdie,Riven,오동1,Zac,역시폭군,Diana,bu ping jia la,Yasuo,viper3,Gragas,옆동산외계인
5469873470,win,Ranked Solo,2021-09-23 02:45:40,23m 44s,4,3,7,3.67:1,Double Kill,empty,Yuumi,Grandmaster,empty,Gragas,으갸갸갹갸갸각,Viego,아크샨밴의 신,Twisted Fate,CIoudburst,Varus,튀자튀자아,Nami,심리 건들지마,Kennen,BIack Baby,Lee Sin,디알엑스 킹겐,Sylas,Gen G Burdol,Lucian,viper3,Yuumi,EatDIE EATdie
5469759539,lose,Ranked Solo,2021-09-23 02:05:17,29m 16s,3,3,11,4.67:1,empty,empty,Yuumi,Grandmaster,empty,Zoe,Slowly Song,Lee Sin,06 05 19,Sejuani,이도류,Draven,viper3,Braum,우주방패,Sett,디알엑스 킹겐,Viego,Next child,Ryze,단군의청춘부재,Lucian,원딜은무기력하다,Yuumi,EatDIE EATdie
5469706828,win,Ranked Solo,2021-09-23 01:26:04,16m 35s,3,2,6,4.50:1,empty,empty,Seraphine,Grandmaster,empty,Kennen,리얼쿠쿠루쿠쿠쿸,Lee Sin,제드팀 하원,Zed,ZED99,Miss Fortune,Mung,Seraphine,EatDIE EATdie,Jayce,간다라쿤다,Jarvan IV,단군의청춘부재,LeBlanc,Slowly Song,Lucian,42141321,Karma,깨달음을얻은남자
5469666967,lose,Ranked Solo,2021-09-23 00:21:27,20m 13s,3,6,5,1.33:1,Double Kill,empty,Braum,Master,empty,Kennen,Hakunaa Matata,Kindred,밀림 간 다,Galio,gggameee,Draven,AF AiRu,Rell,호두두,Gnar,초보강아지,Jarvan IV,족밑밧족밑저,LeBlanc,youtube 비브이,Lucian,xixixlxix,Braum,EatDIE EATdie
5468637219,lose,Ranked Solo,2021-09-22 18:30:28,23m 37s,2,6,14,2.67:1,empty,empty,Yuumi,Grandmaster,empty,Irelia,참치마요 맛있다,Ekko,who do you love,Galio,걍형욱,Lucian,디알엑스 태윤,Yuumi,EatDIE EATdie,Fiora,v나르샤v,Lee Sin,죽고다시태어나다,Sylas,7777케이,Ezreal,zszzz,Leona,11baby
5468621020,win,Ranked Solo,2021-09-22 17:54:48,18m 36s,2,4,13,3.75:1,empty,empty,Braum,Grandmaster,empty,Kennen,Tangyuando,Jarvan IV,06 05 19,Zoe,타락파워조이,Lucian,듀오강의코코팀,Braum,EatDIE EATdie,Poppy,워웍뿌삐,Graves,Permaban10643506,Twisted Fate,supi,Miss Fortune,wyzyz,Leona,xiaoqiupup
5467409504,lose,Ranked Solo,2021-09-22 02:24:43,22m 13s,0,4,3,0.75:1,empty,empty,Amumu,Grandmaster,empty,Tryndamere,im1v5,Nidalee,일산전영찬,Yasuo,검색 구글 제드팀,Ziggs,듀오강의코코팀,Rakan,Gen G Clid,Shen,06 05 19,Kha'Zix,처피뱅 카와이,Lucian,항상배고픈코그모,Kai'Sa,rekresreb,Amumu,EatDIE EATdie
5467363457,lose,Ranked Solo,2021-09-22 01:34:09,18m 18s,4,5,4,1.60:1,empty,empty,Amumu,Grandmaster,empty,Irelia,Gen G Ruler,Lee Sin,항상배고픈코그모,Galio,badqwer,Samira,가민준,Amumu,EatDIE EATdie,Aatrox,BIack Baby,Jarvan IV,Xiaohao9,Sylas,00000000002,Aphelios,BRO Hena,Bard,Destiny
5466177163,lose,Ranked Solo,2021-09-21 18:35:09,22m 5s,1,10,4,0.50:1,empty,empty,Amumu,Grandmaster,empty,Camille,YaoBuKeJiDeNi,Jarvan IV,Return To U,Sylas,im1v5,Jinx,평범한 숟가락,Lulu,세상이 날 억까해,Fiora,v나르샤v,Zed,a little story,Zoe,갱값하는미드,Jhin,KT R SUP,Amumu,EatDIE EATdie
