gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5499793294,win,Ranked Solo,2021-10-10 19:37:54,23m 40s,2,5,15,3.40:1,empty,empty,Rell,Master,empty,Shen,GO GET IT,Ekko,ATL SkewMond,Akali,midlane fighting,Miss Fortune,i like marksman,Amumu,yellowskin devil,Malphite,kayle 1v9,Kindred,معزة,Sylas,ShowMakerVillain,Kai'Sa,devil in details,Rell,YTSearch Hanabi
5498067585,win,Ranked Solo,2021-10-09 20:02:57,21m 44s,2,3,8,3.33:1,empty,empty,Rell,Master,empty,Aatrox,Maged2,Qiyana,1v9wheneveriwąnt,Aurelion Sol,Infinting,Kai'Sa,Draconiumlol,Rell,YTSearch Hanabi,Urgot,uggrot,Diana,onlyfans makony,Tryndamere,sebbylul,Seraphine,splendid kiss,Alistar,35 0nly
5497781747,win,Ranked Solo,2021-10-09 08:37:20,20m 39s,1,2,11,6.00:1,empty,empty,Thresh,Master,empty,Kennen,nujabes son,Olaf,pan ni shi nian,Cassiopeia,Demon Pun1sher,Miss Fortune,xumäS,Rakan,BL Crow,Malphite,Try to Win Pls,Hecarim,awqewqeasdds,Sylas,wincg,Aphelios,GS KABA ,Thresh,YTSearch Hanabi
5496413919,win,Ranked Solo,2021-10-08 19:52:24,25m 12s,1,3,14,5.00:1,empty,empty,Rell,Master,empty,Tryndamere,CPS Shoxx,Kha'Zix,ALIY4H,Orianna,HappyEmpire,Miss Fortune,Taba17,Amumu,Aglaro,Riven,SPX xcessive,Lee Sin,tes zhu0,Sylas,lwlwlwlwlw,Jinx,IcyRick,Rell,YTSearch Hanabi
5496143911,win,Ranked Solo,2021-10-08 08:14:18,23m 18s,4,3,15,6.33:1,empty,empty,Rell,Master,empty,Fiora,VGIA Th3Antonio,Talon,Edgy213721372137,Veigar,KBR TunisiaKing,Jhin,midlane fighting,Rell,YTSearch Hanabi,Yone,Sοlipsism,Riven,Final Prince,Corki,LT Colacao,Jinx,Chocklad Toppen,Thresh,KCaillou
5496007090,win,Ranked Solo,2021-10-08 07:04:29,20m 52s,1,3,10,3.67:1,empty,empty,Rell,Diamond 1,empty,Aatrox,NIX kev1n,Nidalee,asdgfdjui,Xerath,Jukester,Samira,lllllIllIllllIll,Rell,YTSearch Hanabi,Camille,douyin tony top,Ivern,AbeeJay,Graves,Makunouchi Alan,Draven,happy frog1,Nami,PARUS 3
5495920013,lose,Ranked Solo,2021-10-08 06:25:47,30m 30s,0,11,7,0.64:1,empty,empty,Rell,Master,empty,Fiora,Davitzon,Shaco,Mad Scìentist,Ryze,midlane fighting,Ezreal,Regostern,Bard,Suken,Sett,LittIe Trouble,Kindred,Sigma Pathing,Sylas,Unyielding Hero,Jhin,RunnerOnTheLoose,Rell,YTSearch Hanabi
5495321939,win,Ranked Solo,2021-10-07 21:56:29,22m 58s,2,5,8,2.00:1,empty,empty,Rell,Master,empty,Garen,Myw the king,Viego,BestCzechJungler,Azir,chomaker,Kai'Sa,CANT STØP ME NOW,Rell,YTSearch Hanabi,Aatrox,50547,Mordekaiser,Talamasca,Kayle,Illindeli,Vayne,Davidssonxxx,Leona,ChillThenWinBig
5495221180,win,Ranked Solo,2021-10-07 19:35:09,28m 36s,3,4,16,4.75:1,MVP,empty,Rell,Master,empty,Graves,2021McDonalds001,Lee Sin,Sn1lle,Lissandra,i deserve losing,Draven,no1 on1,Nami,Enchantress UwU,Riven,Egirl2010UwU,Kha'Zix,E D Ê N ,Rumble,Clebard humide,Kai'Sa,Beenie 11,Rell,YTSearch Hanabi
5494879117,win,Ranked Solo,2021-10-07 09:01:09,17m 5s,2,0,9,Perfect,Double Kill,empty,Rell,Master,empty,Poppy,zxvnmtzx,Qiyana,ramen abuser QAQ,Vex,TSO Chaki,Vayne,Selfless Syn,Bard,Nico Senpaii,Riven,Alvke,Rengar,potatoporcupine1,Veigar,KBR TunisiaKing,Kai'Sa,na strwsoume tpt,Rell,YTSearch Hanabi
5492051212,win,Ranked Solo,2021-10-05 20:04:12,25m 17s,1,6,17,3.00:1,empty,empty,Nautilus,Master,empty,Gwen,FluffyMonsta,Kha'Zix,AlphaAsFuk,Vex,sadfsaf,Akshan,K Λ M l,Nautilus,YTSearch Hanabi,Ornn,2021Worlds0301,Jarvan IV,Jungle Njutare,Twisted Fate,Maaz Patel,Tristana,DˉB,Braum,Hassse
5492027036,win,Ranked Solo,2021-10-05 19:30:37,23m 58s,3,5,14,3.40:1,empty,empty,Nautilus,Master,empty,Kennen,HeIsinki,Zed,Viikingr,Ornn,iDømi,Kog'Maw,Fætskí,Nami,Oceans Apart,Lillia,11240,Talon,Jungle Njutare,Karma,Hassse,Draven,duye,Nautilus,YTSearch Hanabi
5491253383,win,Ranked Solo,2021-10-05 03:26:22,26m 5s,3,9,11,1.56:1,empty,empty,Rell,Diamond 2,empty,Kled,ł B Y R O N ł,Evelynn,PERMA LOSERSQ,Irelia,akiri1,Ezreal,2021Worlds0169,Rell,YTSearch Hanabi,Riven,Μike Tyson,Kha'Zix,odablock jg acc,Twisted Fate,Jak0k0,Jhin,SubmıssiveKitten,Zyra,Chat off Zyra on
5491184479,win,Ranked Solo,2021-10-05 02:34:28,26m 20s,4,3,16,6.67:1,MVP,empty,Rell,Master,empty,Sett,no its raining,Kha'Zix,KamiK6,Vladimir,TwTv Kibbylol,Swain,IllusionOP,Rell,YTSearch Hanabi,Tahm Kench,Ziteem,Rek'Sai,Ping Chilling,Anivia,GM Edvard,Miss Fortune,Castanic,Nami,theFFM
