gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5467503917,win,Normal,2021-09-22 03:12:52,33m 44s,17,11,5,2.00:1,Triple Kill,MVP,Tryndamere,empty,empty,Dr. Mundo,떫븐사람,Amumu,열정닭,Tryndamere,아이마스 타카네,Vayne,nuguriizz,Lux,Togedemaru,Cassiopeia,똥때지 누리,Talon,날씨의 백승민,Zed,과 렁,Miss Fortune,픽스짱,Nautilus,노브랜드 3분카레
5467471275,win,Normal,2021-09-22 02:35:53,29m 14s,14,3,1,5.00:1,Double Kill,MVP,Aphelios,empty,empty,Ryze,붸이인충,Zed,우유20L,Wukong,홍택드,Sivir,뒹거어충,Lux,개또칭,Dr. Mundo,떫븐사람,Talon,nuguriizz,Twisted Fate,열정닭,Aphelios,아이마스 타카네,Lux,Togedemaru
5463608574,lose,Ranked Solo,2021-09-20 15:06:24,16m 15s,0,8,5,0.63:1,empty,empty,Nautilus,Master,empty,Camille,홍낙현,Lee Sin,보여줘라 자신을,LeBlanc,qldurtms,Ziggs,Rynforce,Karma,YESHENRENJING,Talon,탈론 장인을 꿈꾸,Graves,OutIow,Aurelion Sol,우디뀨,Syndra,Let go and fight,Nautilus,아이마스 타카네
5463504253,lose,Ranked Solo,2021-09-20 13:33:30,30m 9s,5,5,12,3.40:1,Double Kill,empty,Trundle,Master,empty,Rammus,병찬이구른댜,Trundle,아이마스 타카네,Ahri,백신 박수혁,Jinx,부르릉비켜나세여,Fiddlesticks,주식하는사람,Illaoi,1달에 3번,Ekko,Diving person,Irelia,rmao,Vayne,Emma Slave,Thresh,Baquette
5457235283,lose,Ranked Solo,2021-09-17 18:05:58,19m 18s,0,8,7,0.88:1,empty,empty,Amumu,Master,empty,Fiddlesticks,장인피들,Graves,오징어 게,Nocturne,효자동 효수동,Lucian,맘오랍비,Amumu,아이마스 타카네,Gnar,06 탑차이,Talon,yon gan niu niu,Fizz,병아리신석준,Ezreal,시촌동생,Leona,Permaban10660769
5457250505,win,Ranked Solo,2021-09-17 17:34:52,17m 30s,1,4,9,2.50:1,empty,empty,Amumu,Master,empty,Jayce, 세정 fann,Lee Sin,시촌동생,Katarina,써연누나 이쁘다,Kai'Sa,No Gankk No win,Shen,띠꺼우면들어와,Riven,Moeu,Ekko,자유로운영혼1,Akali,푸쿠이,Ezreal,맘오랍비,Amumu,아이마스 타카네
5457091289,lose,ARAM,2021-09-17 16:21:59,20m 26s,8,11,25,3.00:1,Double Kill,empty,Bard,empty,empty,Kayle,트위스이트페티드,Garen,부라보라이프,Jhin,HBDYW,Master Yi,꼬 긁,Fizz,왕배쿤,Irelia,Break Wave,Vladimir,이준입니다,Graves,송냥탁,Bard,아이마스 타카네,Darius,아 눤
5457067749,lose,ARAM,2021-09-17 15:58:53,14m 23s,8,7,11,2.71:1,Triple Kill,empty,Poppy,empty,empty,Samira,제네바1등채호,Jhin,O u O 꾸꾸로,Vel'Koz,써 배,Shyvana,어재원,Aatrox,가버지,Swain,이준입니다,Neeko,Jesse Carmichael,Darius,정글나서스장인,Poppy,아이마스 타카네,Sylas,아 눤
5456330376,lose,Ranked Solo,2021-09-17 01:20:01,3m 27s,0,0,0,0.00:1,empty,empty,Shaco,Master,empty,Sett,07년생 무뇌 탑,Graves,정점파이크유튜부,Nidalee,lIIIlIlllllIll,Shaco,아이마스 타카네,Ezreal,송내역 와플,Cassiopeia,불소리,Qiyana,선수계정,Zed,맛난거먹는사람,Jhin,04원딜,Taliyah,N냐옹N
5455179428,win,Ranked Solo,2021-09-16 17:07:41,23m 13s,2,3,13,5.00:1,empty,empty,Amumu,Diamond 1,empty,Gangplank,문 골,Nidalee,xstly1,Lucian,내꿈잘먹고잘자기,Miss Fortune,woi we hosi,Leona,옹 마,Heimerdinger,우주최강섹시딩거,Kindred,BRO Listo,Zoe,O0OO00OOO0,Aphelios,vdafsdaac,Amumu,아이마스 타카네
