gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5505853930,win,Ranked Solo,2021-10-15 00:05:59,24m 0s,0,1,2,2.00:1,empty,empty,Jax,Master,empty,Jax,HeIsinki,Kindred,knv2,Vladimir,BIeed for me,Miss Fortune,nrmn,Bard,H0m1,Graves,eu top1,Qiyana,Lurox,Azir,2021Worlds0019,Jhin,RoseLMonster,Swain,Kandoomagic
5505749303,lose,Ranked Solo,2021-10-14 23:36:09,30m 10s,8,4,5,3.25:1,ACE,empty,Jayce,Grandmaster,empty,Jayce,HeIsinki,Master Yi,Austrian Yi,Katarina,twtv NyroLoL,Miss Fortune,Yumagusi,Leona,Helpful Slipper,Kennen,Go Ha Go Ha,Gragas,357159,Zed,Red Winter,Vayne,LΣVl,Braum,gIockinmylap
5505398972,win,Ranked Solo,2021-10-14 19:54:28,31m 0s,4,5,8,2.40:1,empty,empty,Graves,Grandmaster,empty,Aatrox,Tollkühn,Diana,Keule183,Jayce,White Steel Eel,Lucian,x4T7,Janna,Clozerr,Graves,HeIsinki,Trundle,Whiteakitout,Kassadin,TwTv VintrezEu,Ezreal,SWENZUUUUUUUUUUU,Bard,Obstinatus
5505368245,win,Ranked Solo,2021-10-14 19:17:16,19m 55s,2,3,8,3.33:1,empty,empty,Graves,Master,empty,Graves,HeIsinki,Rengar,EKIPAF0ND,Sylas,Demon Pun1sher,Kai'Sa,nrmn,Janna,Clozerr,Camille,Tollkühn,Jarvan IV,Keule183,Vex,coza,Veigar,SWENZUUUUUUUUUUU,Rakan,skain24
5505336870,win,Ranked Solo,2021-10-14 18:52:24,23m 3s,5,0,6,Perfect,MVP,empty,Kennen,Grandmaster,empty,Kennen,HeIsinki,Lee Sin,357159,Zed,TwTv iljimaeLoL,Jinx,IcyRick,Leona,SHREDDER MATTO,Riven,Madzzz,Talon,Cinkrofffffffff,LeBlanc,Po Gap,Miss Fortune,LDLC Eika,Trundle,7B Senceless
5504847607,win,Ranked Solo,2021-10-14 07:29:10,20m 27s,6,3,2,2.67:1,empty,empty,Jax,Grandmaster,empty,Jax,HeIsinki,Xin Zhao,woshidoinb,Vex,Matthew L,Lucian,Guuuubs,Nami,BotIsLavaPathTop,Aatrox,chance no exist,Taliyah,kanaaa,Graves,jackisek,Miss Fortune,League Enjoyer 1,Lulu,songqingliu gdlk
5504853620,lose,Ranked Solo,2021-10-14 07:02:25,26m 4s,5,3,4,3.00:1,empty,empty,Camille,Master,empty,Yone,Joker z Płocka,Zed,LGBTQJPGMD,Lissandra,Mohe dance hall,Lucian,Dräven,Nami,BotIsLavaPathTop,Camille,HeIsinki,Jarvan IV,WeS Trizzy,LeBlanc,MID444444,Sylas,Red Winter,Yuumi,FYN Jackson
5504835957,win,Ranked Solo,2021-10-14 06:24:13,23m 42s,3,2,5,4.00:1,empty,empty,Graves,Master,empty,Graves,HeIsinki,Qiyana,MID444444,Zoe,GS Bolulu,Miss Fortune,goldento4st,Janna,Paolocannone,Kennen,nangman topsolo,Zed,Kapsztad,Tryndamere,Twitch Ag0nyPain,Ziggs,SWENZUUUUUUUUUUU,Rell,LQTWUXWEEX
5504811501,win,Ranked Solo,2021-10-14 05:52:47,24m 8s,3,4,7,2.50:1,Double Kill,empty,Graves,Grandmaster,empty,Graves,HeIsinki,Nocturne,1Z1Z,Diana,Canard Mandarin,Draven,VıNINE NERO,Galio,ad is bait,Camille,cursed property,Qiyana,sheøqlf,Ekko,Serendrip,Vex,Happy Mish,Rakan,LQTWUXWEEX
5504732046,lose,Ranked Solo,2021-10-14 05:15:33,35m 53s,4,3,4,2.67:1,empty,empty,Jax,Grandmaster,empty,Kayle,człowiek z gazu,Viego,Haþubu,Twisted Fate,phlaty,Xayah,avarice61,Senna,HoIyPhoenîx,Jax,HeIsinki,Qiyana,happy gαme,Xerath,GODZILLA66666666,Miss Fortune,Yumagusi,Leona,MORG3NSHTERN
