gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5469798991,lose,Ranked Solo,2021-09-23 04:08:53,29m 57s,3,10,9,1.20:1,empty,empty,Kennen,Master,empty,Kennen,Trisak,Zed,nxzdwss,Sylas,langmanbusi,Draven,usakifan,Nautilus,Serious game,Fiora,77GameZting,Lee Sin,난 언제나 부족해,Anivia,고점 높은 미드,Ezreal,참 몬났다,Amumu,돼지와함께춤을a
5469840050,win,Ranked Solo,2021-09-23 02:10:21,31m 1s,8,6,4,2.00:1,empty,empty,Kennen,Grandmaster,empty,Kennen,Trisak,Lee Sin,BIack Baby,Sylas,시간의 숲,Miss Fortune,어제보단잘하자,Gragas,love beijixing,Camille,간다라쿤다,Zed,온 재,Twisted Fate,KT VicLa,Jhin,42141321,Taliyah,심리 건들지마
5469765304,lose,Ranked Solo,2021-09-23 01:30:36,30m 46s,7,5,11,3.60:1,empty,empty,Jayce,Master,empty,Jayce,Trisak,Xin Zhao,DK Leaf,Nunu & Willump,팀개못하면누누함,Jinx,DWG Ghost,Thresh,off Myself,Graves,HLE Baut,Nidalee,wndus,Talon,화원 아기,Miss Fortune,zaqwsxcdeas,Morgana,love beijixing
5469524043,win,Ranked Solo,2021-09-22 23:11:39,24m 39s,5,3,4,3.00:1,empty,empty,Kennen,Grandmaster,empty,Graves,이도류,Viego,미드잘하는정글러,Zoe,강아지도 좋아,Kai'Sa,bai si yyds,Lulu,SHCH0,Kennen,Trisak,Qiyana,a little story,Galio,wulaidafa,Miss Fortune,RiHoo,Karma,Kimwinter
5469396933,win,Ranked Solo,2021-09-22 22:37:45,26m 40s,5,4,7,3.00:1,empty,empty,Jayce,Master,empty,Jayce,Trisak,Lee Sin,jingshen qiang,Galio,LaP1s,Ezreal,xx7dz,Ziggs,더블큐티준서버거,Kennen,Gen G Rascal,Graves,Z RyeoKR,Yone,2021 10 31,Samira,hong he wo de,Nautilus,98kix
5469168563,win,Ranked Solo,2021-09-22 20:18:01,19m 7s,8,3,6,4.67:1,Double Kill,empty,Ryze,Grandmaster,empty,Lulu,로이갓전용노예,Ekko,youwiIIsucceed,Yone,uppi,Lucian,이기고오쉽당,Yuumi,11baby,Tryndamere,Hakunaa Matata,Zed,나는변신할것이다,Ryze,Trisak,Kai'Sa,cxzqweasd,Karma,눈부시게빛날테니
5469161054,lose,Ranked Solo,2021-09-22 19:46:22,27m 34s,8,6,3,1.83:1,Double Kill,empty,Kennen,Grandmaster,empty,Fiora,77GameZting,Lee Sin,youwiIIsucceed,Zoe,마레리트,Kai'Sa,실패따위,Anivia,Huya zhubohe,Kennen,Trisak,Talon,bilibili wenmo,Zed,Naehyun,Ashe,북극곰 아프다,Bard,쭌이의 모험 
5468770438,win,Ranked Solo,2021-09-22 18:45:38,20m 49s,5,1,13,18.00:1,Double Kill,MVP,Sett,Grandmaster,empty,Irelia,Hakunaa Matata,Talon,Permaban10661334,Kassadin,LunaLina,Aphelios,Imaokai,Amumu,zzzzussss,Lee Sin,fa 01 top,Ekko,byz,Sett,Trisak,Miss Fortune,tnedifnoc syawla,Shen,xiao adc
5468577997,lose,Ranked Solo,2021-09-22 17:53:58,33m 1s,3,7,2,0.71:1,empty,empty,Sett,Grandmaster,empty,Sett,Trisak,Lee Sin,kaixin1dian,Syndra,IIIlllIIIlllIIII,Samira,zxcsazxcazdz,Amumu,우리 다 죽어,Irelia,YaoBuKeJiDeNi,Nidalee,depart,Qiyana,새콤달콤 하 다,Lucian,하 루 가절 반 ,Lulu,concesslon
5467465935,win,Ranked Solo,2021-09-22 03:08:12,17m 7s,10,1,2,12.00:1,Double Kill,MVP,Kennen,Master,empty,Katarina,마이구밍사주세요,Nidalee,EDGqx12312313,Vladimir,kfo,Miss Fortune,계란말이계란말이,Trundle,G4MBLEER,Kennen,Trisak,Jarvan IV,Serious game,Orianna,haohaozong,Lucian,shangtougui,Yuumi,큐 지
5467500479,win,Ranked Solo,2021-09-22 02:38:19,28m 3s,10,3,11,7.00:1,Double Kill,MVP,Ryze,Grandmaster,empty,Zoe,으갸갸갹갸갸각,Zed,곽곽보성,Zac,언니우기,Jinx,애기야 안녕,Zilean,SnowFlow2r,Jayce,Gen G Burdol,Jarvan IV,으라차차으라차차,Ryze,Trisak,Ezreal,메 피,Anivia,Huya zhubohe
5467357054,lose,Ranked Solo,2021-09-22 02:05:06,30m 34s,3,11,4,0.64:1,empty,empty,Jax,Grandmaster,empty,Jax,Trisak,Lee Sin,우울적울컥,Viktor,양념형,Ezreal,Sweet L1fe,Zilean,SnowFlow2r,Camille,간다라쿤다,Taliyah,a little story,Talon,시간의 숲,Lucian,hong he wo de,Nami,DFM GAENG
5467380408,lose,Ranked Solo,2021-09-22 01:23:02,23m 29s,4,6,3,1.17:1,empty,empty,Ryze,Master,empty,Warwick,워웍뿌삐,Lee Sin,함구무언1,Twisted Fate,a new beginn1ng,Miss Fortune,해강고 원딜,Anivia,Huya zhubohe,Irelia,oilf,Xin Zhao,3donghezecaoxian,Ryze,Trisak,Ezreal,RiHoo,Amumu,심술부리지않기
5467254554,win,Ranked Solo,2021-09-22 00:47:41,19m 50s,3,2,5,4.00:1,MVP,empty,Jayce,Grandmaster,empty,Jayce,Trisak,Shaco,멘탈잡자으쌰으쌰,Katarina,kata 1000,Ezreal,RiHoo,Anivia,Huya zhubohe,Sett,워웍뿌삐,Nidalee,젠지 영재,Pantheon,애달프다,Cassiopeia,라데시 너어,Blitzcrank,superlative tool
5467197689,win,Ranked Solo,2021-09-22 00:20:19,23m 18s,5,2,3,4.00:1,empty,empty,Jayce,Grandmaster,empty,Jax,guocuozz,Nidalee,일산전영찬,Akshan,현주입니다,Ezreal,28 08 2001,Shaco,멘탈잡자으쌰으쌰,Jayce,Trisak,Viego,load zW4gmC84FLc,LeBlanc,badqwer,Kog'Maw,애기야 안녕,Karma,superlative tool
5467130454,lose,Ranked Solo,2021-09-21 23:44:17,26m 19s,3,5,1,0.80:1,empty,empty,Irelia,Grandmaster,empty,Kennen,BIack Baby,Talon,kaixin1dian,Sylas,젠지 다이스,Kai'Sa,실패따위,Leona,햄스터쳇바퀴인생,Irelia,Trisak,Nidalee,일산전영찬,Ryze,갱값하는미드,Samira,폭탄치우기,Amumu,fuzhu carry
5467044068,win,Ranked Solo,2021-09-21 23:05:57,16m 25s,2,3,6,2.67:1,empty,empty,Malphite,Grandmaster,empty,Malphite,Trisak,Lee Sin,우울적울컥,Sylas,04년생 원숭이띠,Miss Fortune,메 피,Maokai,응애응애1212,Jayce,Hakunaa Matata,Xin Zhao,Score11,Nunu & Willump,팀개못하면누누함,Ziggs,폭탄치우기,Leona,Dnehraw
5466918943,lose,Ranked Solo,2021-09-21 22:42:33,15m 20s,4,5,0,0.80:1,Double Kill,empty,Jax,Grandmaster,empty,Camille,bei feng hu,Evelynn,날 건들지마날 ,Talon,검색 구글 제드팀,Aphelios,폭탄치우기,Karma,응애응애1212,Jax,Trisak,Graves,젠지 영재,Zoe,Crulser,Lucian,Gen G Ruler,Nautilus,메 피
5466785437,lose,Ranked Solo,2021-09-21 22:00:23,31m 17s,7,9,7,1.56:1,empty,empty,Sylas,Grandmaster,empty,Sylas,Trisak,Shaco,멘탈잡자으쌰으쌰,Irelia,IRELKlNG,Ziggs,엄청예민한상태,Thresh,Dnehraw,Kennen,Hakunaa Matata,Vi,자메이카흑인,Sett,Tangyuando,Kai'Sa,zxcsazxcazdz,Blitzcrank,내 목표 챌10층
5466647339,lose,Ranked Solo,2021-09-21 21:23:46,22m 32s,1,5,3,0.80:1,empty,empty,Jayce,Grandmaster,empty,Jayce,Trisak,Shaco,멘탈잡자으쌰으쌰,Sylas,Sutkressuree,Miss Fortune,Yun Shun,Nautilus,zszzz,Irelia,IRELKlNG,Nidalee,AF AiRu,Riven,순뀨박,Ezreal,zxcsazxcazdz,Leona,엄청예민한상태
5465138883,win,Ranked Solo,2021-09-21 03:39:47,28m 32s,5,7,10,2.14:1,Double Kill,empty,Kennen,Grandmaster,empty,Kennen,Trisak,Zac,역시폭군,Jayce,BRO Yaharong,Caitlyn,hong he wo de,Lux,szpt,Camille,참포도나무,Ekko,viper3,Tryndamere,디알엑스 제트,Ezreal,빵 얏,Seraphine,EatDIE EATdie
5464944620,win,Ranked Solo,2021-09-21 01:20:14,31m 14s,6,7,8,2.00:1,Double Kill,empty,Kennen,Challenger,empty,Malphite,Sutkressuree,Taliyah,FA Young JG,Tryndamere,Talk n luv,Aphelios,irasu1,Zac,역시폭군,Kennen,Trisak,Amumu,     la ji game,Irelia,디알엑스 제트,Jinx,항상배고픈코그모,Braum,튀자튀자아
5464898614,win,Ranked Solo,2021-09-21 00:32:25,12m 41s,8,3,0,2.67:1,MVP,empty,Irelia,Grandmaster,empty,Kassadin,전상득,Nunu & Willump,Makeri ta,Blitzcrank,3donghezecaoxian,Tristana,Shirakami Fubuk1,Ezreal,im trash,Cassiopeia,라데시 너어,Graves,무조건이겨야함,Azir,EIderwood Azir,Irelia,Trisak,Seraphine,Slowly Song
5464911916,lose,Ranked Solo,2021-09-21 00:10:32,26m 46s,8,4,3,2.75:1,ACE,empty,Kennen,Grandmaster,empty,Gnar,BJ갈배,Lee Sin,jingshen qiang,Ryze,단군의청춘부재,Lucian,로이갓전용노예,Nami,고등학생,Kennen,Trisak,Graves,Makeri ta,Sylas,badqwer,Aphelios,3donghezecaoxian,Rakan,DFM GAENG
5464823566,lose,Ranked Solo,2021-09-20 23:29:52,26m 17s,2,4,6,2.00:1,ACE,empty,Ryze,Grandmaster,empty,Ryze,Trisak,Lee Sin,3donghezecaoxian,Poppy,워웍뿌삐,Samira,돼지와함께춤을a,Blitzcrank,Cherry Bloss0m,Sylas,jingshen qiang,Olaf,youwiIIsucceed,Neeko,이도류,Aphelios,푹 쉬면서 해요 ,Thresh,고등학생
5464639243,lose,Ranked Solo,2021-09-20 22:48:24,15m 53s,0,4,4,1.00:1,ACE,empty,Jayce,Grandmaster,empty,Irelia,Gen G Dice,Taliyah,youwiIIsucceed,Kennen,커피물조절장인,Samira,im trash,Leona,KT R SUP,Sylas,샤오 쑤,Zed,영겁무간,Jayce,Trisak,Vayne,메 피,Anivia,Huya zhubohe
5464632978,lose,Ranked Solo,2021-09-20 22:25:01,22m 45s,1,6,6,1.17:1,empty,empty,Jax,Grandmaster,empty,Jax,Trisak,Elise,zhaozhaozhaoo,Akshan,현주입니다,Ezreal,Gen G Ruler,Rell,홈런볼 다 내꺼,Tryndamere,샤오 쑤,Vi,앤 쥐,LeBlanc,Bilibili soO,Kai'Sa,bai si yyds,Maokai,둠심 YouTube
