gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5469828064,win,Ranked Solo,2021-09-23 03:50:54,21m 8s,16,2,5,10.50:1,Quadra Kill,empty,Sylas,Grandmaster,empty,Ornn,Savage,Lee Sin,Gen G Clid,Sylas,Slowly Song,Lucian,El Matador 7 9,Karma,로이갓전용노예,Gnar,BJ갈배,Nidalee,Next child,Irelia,Aileri,Yasuo,검색 구글 제드팀,Gragas,im1v5
5469882856,win,Ranked Solo,2021-09-23 02:32:12,15m 14s,1,1,1,2.00:1,empty,empty,Renekton,Grandmaster,empty,Renekton,Slowly Song,Taliyah,밀림 간 다,Jax,77GameZting,Ezreal,항상배고픈코그모,Karma,로이갓전용노예,Aatrox,유튜브 엉덩국곰,Zed,온 재,Sylas,DK Pullbae,Lucian,어제보단잘하자,Nami,변화하다
5469759539,win,Ranked Solo,2021-09-23 02:05:17,29m 16s,0,6,10,1.67:1,empty,empty,Zoe,Grandmaster,empty,Zoe,Slowly Song,Lee Sin,06 05 19,Sejuani,이도류,Draven,viper3,Braum,우주방패,Sett,디알엑스 킹겐,Viego,Next child,Ryze,단군의청춘부재,Lucian,원딜은무기력하다,Yuumi,EatDIE EATdie
5469706828,lose,Ranked Solo,2021-09-23 01:26:04,16m 35s,0,2,0,0.00:1,empty,empty,LeBlanc,Grandmaster,empty,Kennen,리얼쿠쿠루쿠쿠쿸,Lee Sin,제드팀 하원,Zed,ZED99,Miss Fortune,Mung,Seraphine,EatDIE EATdie,Jayce,간다라쿤다,Jarvan IV,단군의청춘부재,LeBlanc,Slowly Song,Lucian,42141321,Karma,깨달음을얻은남자
5469559117,win,Ranked Solo,2021-09-22 23:48:59,33m 59s,0,5,4,0.80:1,empty,empty,Tryndamere,Grandmaster,empty,Taric,DangerousBoy ady,Shyvana,a new beginn1ng,Qiyana,새콤달콤 하 다,Syndra,기차나나나나,Alistar,김은지전용노예,Jayce,fashion여자,Zac,부산여행 떠나기,Tryndamere,Slowly Song,Jinx,wu tiao jian,Trundle,죽고다시태어나다
5469583234,win,Ranked Solo,2021-09-22 23:08:28,22m 55s,3,5,9,2.40:1,Double Kill,empty,Sylas,Grandmaster,empty,Aatrox,샤오 쑤,Zac,부산여행 떠나기,Qiyana,새콤달콤 하 다,Ziggs,여긴지옥이분명해,Rakan,Shirakami Fubuk1,Gwen,im1v5,Zed,온 재,Sylas,Slowly Song,Jhin,Gen G Rascal,Blitzcrank,치쯔스틱
5469465975,lose,Ranked Solo,2021-09-22 22:37:55,28m 9s,5,7,5,1.43:1,empty,empty,Mordekaiser,Grandmaster,empty,Irelia,샤오 쑤,Jarvan IV,Cuzz,Mordekaiser,Slowly Song,Caitlyn,여긴지옥이분명해,Thresh,Destiny,Camille,im1v5,Zed,     la ji game,Galio,몽키 D 짱구,Lucian,엄청예민한상태,Amumu,11baby
5469162967,lose,Ranked Solo,2021-09-22 19:57:22,27m 27s,6,4,12,4.50:1,ACE,empty,Syndra,Grandmaster,empty,Irelia,고생했다 이현666,Lee Sin,Talk n luv,Syndra,Slowly Song,Miss Fortune,엄청예민한상태,Leona,하 루 가절 반 ,Camille,운이 좋았던 날,Zed,byz,Ryze,KT Dove,Lucian,누쇤퍅,Alistar,교잘도
5468743158,win,Ranked Solo,2021-09-22 19:07:20,29m 44s,10,5,3,2.60:1,Double Kill,empty,LeBlanc,Master,empty,Irelia,YaoBuKeJiDeNi,Zed,kaixin1dian,Lissandra,노 빅,Ezreal,Navy Mood,Karma,SHCH0,Fiora,모두모두항복하길,Lee Sin,죽고다시태어나다,LeBlanc,Slowly Song,Lucian,NekoL,Nami,xiaoqiupup
5468638023,win,Ranked Solo,2021-09-22 18:26:26,15m 38s,2,0,4,Perfect,empty,empty,Zoe,Grandmaster,empty,Garen,규 보 리,Diana,부산여행 떠나기,Graves,alasseo,Ezreal,im1v5,Braum,희태시기,Darius,hfubVHDVuAWVF ,Lee Sin,abczxd,Zoe,Slowly Song,Aphelios,it calls echoes,Thresh,xiaoqiupup
