gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5505572988,win,Ranked Solo,2021-10-14 20:42:47,25m 46s,1,4,10,2.75:1,empty,empty,Yone,Grandmaster,empty,Riven,distant star,Nidalee,NO BYSTANDERS1,Yone,Viikingr,Miss Fortune,januaryneverends,Rakan,MORG3NSHTERN,Graves,No Surpr1ses,Hecarim,Kirei sama,Syndra,slowqq,Draven,2Axeszzzzzzzzz,Yuumi,SirNukesAlott
5505541388,win,Ranked Solo,2021-10-14 20:02:52,21m 46s,13,2,4,8.50:1,Double Kill,empty,Sylas,Master,empty,Gragas,Vortum,Lee Sin,Tigazz,Sett,Bloοd and Guts,Miss Fortune,RKT Maςaquiñø,Sona,Shubber,Jax,no think just do,Graves,Showkz,Sylas,Viikingr,Lucian,Achuu,Nami,Aglaro
5504590494,win,Ranked Solo,2021-10-14 03:46:52,25m 28s,4,5,8,2.40:1,empty,empty,Yone,Master,empty,Ornn,Byzza,Zed,NattyNatt,Akali,i like marksman,Kalista,Beenie 11,Rakan,Paixdia,Gwen,lennylennylenny,Mordekaiser,KIT Striker,Yone,Viikingr,Lucian,00N Chrisberg,Nami,Calmsky
5504122260,lose,Ranked Solo,2021-10-13 21:22:15,24m 34s,3,7,7,1.43:1,empty,empty,Sylas,Master,empty,Kennen,YQSH,Lee Sin,Icelandwinter,Sylas,Viikingr,Lucian,Legoši,Rell,gran yo,Garen,Cursed Juju,Jarvan IV,Tigazz,LeBlanc,DIV Final,Ezreal,Min Piraya Maya ,Yuumi,137137
5503534721,lose,Ranked Solo,2021-10-13 05:20:48,20m 41s,3,3,1,1.33:1,ACE,empty,Rumble,Master,empty,Fiora,lennylennylenny,Rek'Sai,RekSaiyajin,Sylas,Lithuanian Doinb,Miss Fortune,HeavenIsFalling,Nami,MazeRunner0xFF,Rumble,Viikingr,Viego,Play Scuttle Pls,Yasuo,Red Winter,Lucian,II Anyone,Bard,BroIia
5501399053,win,Ranked Solo,2021-10-12 00:41:12,25m 21s,2,4,12,3.50:1,empty,empty,Galio,Master,empty,Gnar,strongside joe,Talon,Winstont,Sylas,BabaGandalf,Ezreal,Bhad bhabie13,Yuumi,Cuboño,Riven,Sοlipsism,Qiyana,MightyXDragon v2,Galio,Viikingr,Kai'Sa,devil in details,Amumu,Boltox
5501168493,win,Ranked Solo,2021-10-11 19:16:53,24m 9s,5,2,5,5.00:1,Double Kill,MVP,Tryndamere,Master,empty,Tryndamere,Viikingr,Qiyana,xShádezz,Zoe,Pro Uno Player,Draven,420DANY69,Bard,I love Latinas,Tahm Kench,PapiTeero,Lillia,COPIUM ASORA ,Karma,SUP Toxic Keskin,Ezreal,Achuu,Rakan,Became Champion 
5500370660,win,Ranked Solo,2021-10-11 01:39:05,31m 57s,10,2,10,10.00:1,Triple Kill,empty,Sylas,Master,empty,Ryze,Ivama,Viego,BIueBuddha,Yone,Aetinoth,Lucian,suisei enjoyer,Braum,zezpez,Aatrox,AST CARLSEN,Nocturne,DoubleAiM,Sylas,Viikingr,Seraphine,1roNN,Bard,KIoen
5499709866,lose,Ranked Solo,2021-10-10 19:08:35,28m 9s,10,4,4,3.50:1,Double Kill,ACE,Yone,Master,empty,Rengar,Teskilat44,Nidalee,Mr Tickle,Yone,Viikingr,Ezreal,Davidssonxxx,Yuumi,OCD Panic,Darius,REVERSEHEHEXD,Diana,Dandom1,Cassiopeia,soloq is funn,Jinx,silkysmath,Braum,Venera Farting
5498037036,lose,Ranked Solo,2021-10-09 19:43:21,12m 35s,1,0,0,Perfect,empty,empty,Taliyah,Master,empty,Graves,étoile bleu ,Nidalee,Nathan der Weise,Annie,MansterV,Ezreal,Davidssonxxx,Yuumi,lucky luna,Yone,kaymint acc,Taliyah,Viikingr,Thresh,Keria test acc,Jinx,Chocklad Toppen,Lillia,Fede Top Acc
