gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5471783940,lose,Ranked Solo,2021-09-24 04:43:55,25m 55s,7,4,10,4.25:1,Double Kill,ACE,Ekko,Grandmaster,empty,Irelia,T1 Zeus,Qiyana,a little story,Sylas,샤오 쑤,Aphelios,평범한 숟가락,Gragas,im1v5,Jax,간다라쿤다,Ekko,     la ji game,Talon,전상득,Lucian,하 루 가절 반 ,Sett,우울적울컥
5471851702,lose,Ranked Solo,2021-09-24 04:04:20,26m 33s,5,7,5,1.43:1,empty,empty,Taliyah,Grandmaster,empty,Irelia,T1 Zeus,Taliyah,     la ji game,Syndra,kuyami,Miss Fortune,평범한 숟가락,Maokai,Practice,Wukong,im1v5,Zed,Next child,Galio,간다라쿤다,Lucian,하 루 가절 반 ,Nami,당신은게임을왜함
5471679365,win,Ranked Solo,2021-09-24 03:04:29,29m 13s,14,5,9,4.60:1,Double Kill,MVP,Zed,Grandmaster,empty,Wukong,77GameZting,Zed,     la ji game,Sylas,Gen G Quid,Ashe,BRO Hena,Seraphine,옆동산외계인,Irelia,샤오 쑤,Taliyah,아크샨밴의 신,Qiyana,못할 때도 있지,Jhin,항상배고픈코그모,Senna,심리 건들지마
5470029768,win,Normal,2021-09-23 13:56:22,40m 11s,4,16,6,0.63:1,empty,empty,Zed,empty,empty,Camille,산펠레그리노,Talon,열반과 해탈,Akali,노라요,Samira,구속적부심,Amumu,GloriousAquila,Ryze,우연히,Sylas,IIrrooGG,Zed,     la ji game,Draven,Icelandwinter,Lulu,siao hu dieh
5469648498,win,Ranked Solo,2021-09-23 00:48:04,38m 50s,8,6,14,3.67:1,empty,empty,Zed,Grandmaster,empty,Camille,bei feng hu,Nidalee,Cuzz,Riven,Jh2nhj2rjoh,Ashe,Yun Shun,Trundle,Dan mu he ton,Tryndamere,FA Decky,Zed,     la ji game,Kennen,T1 Zeus,Kai'Sa,하 루 가절 반 ,Thresh,변화하다
5469633680,lose,Ranked Solo,2021-09-22 23:55:27,15m 59s,4,4,2,1.50:1,ACE,empty,Zed,Grandmaster,empty,Jax,FA Decky,Talon,Cuzz,Ryze,단군의청춘부재,Aphelios,zszzz,Karma,곽곽보성,Camille,Hakunaa Matata,Zed,     la ji game,Fizz,DK ShowMaker,Lucian,하 루 가절 반 ,Nami,Dan mu he ton
5469513198,win,Ranked Solo,2021-09-22 22:58:20,15m 18s,3,2,9,6.00:1,MVP,empty,Karthus,Grandmaster,empty,Kennen,으갸갸갹갸갸각,Ekko,byz,Graves,Permaban10643506,Kalista,항상배고픈코그모,Thresh,Destiny,Tryndamere,Tryndamere777,Karthus,     la ji game,Talon,nodfan,Ashe,Yun Shun,Leona,11baby
5469465975,win,Ranked Solo,2021-09-22 22:37:55,28m 9s,10,4,6,4.00:1,empty,empty,Zed,Grandmaster,empty,Irelia,샤오 쑤,Jarvan IV,Cuzz,Mordekaiser,Slowly Song,Caitlyn,여긴지옥이분명해,Thresh,Destiny,Camille,im1v5,Zed,     la ji game,Galio,몽키 D 짱구,Lucian,엄청예민한상태,Amumu,11baby
5466300045,lose,Ranked Solo,2021-09-21 18:55:13,21m 18s,6,3,2,2.67:1,Double Kill,ACE,Graves,Grandmaster,empty,Quinn,카사돌,Nidalee,nodfan,Galio,퀸 세연,Ezreal,zszzz,Thresh,IgNar,Kennen,Aeeeeeeeee,Graves,     la ji game,Riven,오동1,Aphelios,irasu1,Lulu,디알엑스 태윤
5466184426,lose,Ranked Solo,2021-09-21 18:27:25,28m 58s,3,5,4,1.40:1,empty,empty,Nidalee,Challenger,empty,Jayce,으갸갸갹갸갸각,Nidalee,     la ji game,Lucian,20200902start,Aphelios,BRO Hena,Trundle,듀오강의코코팀,Riven,오동1,Ekko,Permaban10643506,Pantheon,Shadow HamBak ,Miss Fortune,문효준,Alistar,irasu1
5466080418,win,Ranked Solo,2021-09-21 17:04:23,21m 13s,7,6,3,1.67:1,empty,empty,Taliyah,Grandmaster,empty,Kennen,hggbexrloo,Graves,영겁무간,Qiyana,2021Marzss,Ziggs,듀오강의코코팀,Rakan,zzzusss,Jayce,01 t0p,Taliyah,     la ji game,Corki,엄청나대단해,Aphelios,평범한 숟가락,Blitzcrank,concesslon
