gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5509693944,lose,Ranked Solo,2021-10-14 01:15:19,23m 25s,5,7,4,1.29:1,Double Kill,empty,Lee Sin,Master,empty,Camille,빅딜 이동하,Xin Zhao,sakuradog,Vex,Noticed,Twitch,HLE QFT,Lulu,산속의 너구리,Aatrox,SugiKim,Lee Sin,1234564321,LeBlanc,gggameee,Draven,코뚱잉,Blitzcrank,Graffitiii
5500661083,lose,Ranked Solo,2021-10-09 13:53:00,10m 14s,0,2,0,0.00:1,empty,empty,LeBlanc,Master,empty,Jayce,wysjl,Lee Sin,42baby,Tryndamere,iMTblJbmam4,Ezreal,루치TV,Alistar,질판승리공식즐빡,Irelia,1강승윤1,Hecarim,나는 악마다1,LeBlanc,1234564321,Miss Fortune,이슬톡톡 좋아해,Amumu,제발열심히해줘요
5500515332,win,URF,2021-10-09 11:38:00,13m 38s,13,1,8,21.00:1,Double Kill,empty,Talon,empty,empty,Lillia,님들아 서렌점,Irelia,HMS 벨파스트,Sion,외계인엉덩이,Akali,매맞는 효원이,Vex,Diversus,Twitch,군대많이좋아졌네,Shaco,JUGKlNG8,Nami,국산 베인,Lee Sin,즐겜용계정임1,Talon,1234564321
5498905308,lose,Ranked Solo,2021-10-08 19:05:37,38m 22s,5,6,11,2.67:1,empty,empty,Syndra,Master,empty,Aatrox,Crazy angle ,Lee Sin,Go ell,Syndra,1234564321,Varus,나 은,Blitzcrank,작은물결,Sett,Feel change,Talon,Anni,LeBlanc,BZZZIII,Ezreal,이케시아식,Fiddlesticks,피들서폿성공적
5499010886,win,Ranked Solo,2021-10-08 18:19:52,20m 17s,7,3,5,4.00:1,Double Kill,empty,Sylas,Diamond 2,empty,Vladimir,goubaxixuegui,Lee Sin,오딘비제이빈스,Zoe,난 널,Kai'Sa,Envyyzz,Amumu,I HAVE N0 IDEA,Lulu,banh mi khong,Olaf,821031521886,Sylas,1234564321,Lucian,퍼펙트수퍼몽키볼,Yuumi,퍼펙트슈퍼몽키볼
5498716410,win,Ranked Solo,2021-10-08 17:43:47,19m 6s,7,1,2,9.00:1,MVP,empty,Syndra,Master,empty,Irelia,군대간 지성,Elise,Go ell,Vex,badqwer,Ezreal,https www,Thresh,98kiw,Fiora,77GameZting,Lee Sin,Shadow2002,Syndra,1234564321,Draven,YMSUP,Leona,1128321
5496708032,win,Ranked Solo,2021-10-07 06:48:08,25m 35s,5,8,7,1.50:1,empty,empty,Irelia,Master,empty,Riven,머루포도포도,Kha'Zix,사회적고립두기,Zoe,tmsnsdl,Ezreal,올차단바텀갱좀,Jarvan IV,못가못가,Warwick,수희0,Ekko,안개 가 낀 하늘,Irelia,1234564321,Ashe,Indexy,Sett,희포리
5496755376,lose,Ranked Solo,2021-10-07 04:50:28,20m 10s,3,3,1,1.33:1,empty,empty,Syndra,Master,empty,Akali,소병하추,Talon,부산여행 떠나기,Irelia,illliillliilll,Ezreal,DLRUQHWKK,Maokai,5분만이따가요,Graves,어리고싶다,Qiyana,lm Not Okay,Syndra,1234564321,Vayne,Orcosiz,Jarvan IV,못가못가
5496675134,lose,Ranked Solo,2021-10-07 04:22:55,26m 7s,3,6,7,1.67:1,empty,empty,LeBlanc,Master,empty,Aatrox,Shadow Ming9,Lee Sin,KT R JGL,Katarina,NS FIESTA,Miss Fortune,DLRUQHWKK,Jarvan IV,못가못가,Sejuani,Px8,Qiyana,부산여행 떠나기,LeBlanc,1234564321,Samira,KT R ADC,Leona,BewhY77
5493385959,win,Ranked Solo,2021-10-05 03:28:14,27m 35s,12,2,6,9.00:1,MVP,empty,LeBlanc,Master,empty,Irelia,죽고다시태어나다,Fiddlesticks,송 하 랑,LeBlanc,1234564321,Lucian,우울 한 시간,Amumu,zhaozhaozhaoo,Maokai,trash tree ,Qiyana,nxzdwss,Lissandra,눈부시게빛날테니,Miss Fortune,qwerjhlqwkethwzx,Leona,xiaocan  Sakura 
