gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5505560565,win,Ranked Solo,2021-10-14 20:05:00,22m 58s,10,3,8,6.00:1,Double Kill,MVP,Lucian,Grandmaster,empty,Graves,slapbooty453,Qiyana,NO BYSTANDERS1,Twisted Fate,Po Gap,Vayne,SPOLFCEI,Rakan,SGE Heimdall,Singed,SlNGED,Poppy,Expecto Patrounm,Tryndamere,Gorubo fan,Lucian,2021Worlds0171,Nami,UOL Doedalo
5504952369,win,Ranked Solo,2021-10-14 08:22:07,22m 42s,5,1,5,10.00:1,Double Kill,empty,Aphelios,Grandmaster,empty,Sion,Babus,Olaf,asdfghjklqwe,Ekko,HHNeverLucky v2,Aphelios,2021Worlds0171,Braum,CG Nio,Poppy,Poppuszka,Nidalee,Dinner first,Irelia,slowqq,Lucian,ZWYRØØ,Leona,ifollowthebeat
5504899292,win,Ranked Solo,2021-10-14 07:54:46,20m 20s,0,5,3,0.60:1,empty,empty,Aphelios,Grandmaster,empty,Zilean,TheDisconnect,Gragas,2021Worlds,Akshan,ION Marrow Ooze,Aphelios,2021Worlds0171,Thresh,Aesenar,Poppy,Poppuszka,Talon,bobber kong,Galio,Hantera1,Miss Fortune,Worsttt,Braum,Walid Georgey
5504905421,win,Ranked Solo,2021-10-14 07:28:55,26m 12s,5,6,4,1.50:1,Triple Kill,empty,Aphelios,Grandmaster,empty,Poppy,Poppuszka,Qiyana,bobber kong,Twisted Fate,Po Gap,Lucian,jdq,Lulu,Rückendeckung,Graves,Gabbo,Lillia,Whiteakitout,Sylas,fastFF,Aphelios,2021Worlds0171,Rakan,Targamas
5504920601,lose,Ranked Solo,2021-10-14 06:52:11,23m 17s,4,6,5,1.50:1,empty,empty,Ziggs,Grandmaster,empty,Gwen,huntiandi1,Rek'Sai,Roi DEMON,Veigar,GODZILLA66666666,Tristana,HoIyPhoenîx,Lulu,Heimskáut réfur,Poppy,Poppuszka,Talon,2021Worlds,Ziggs,2021Worlds0171,Karthus,twtchtvELOSANTA,Pyke,Venera Farting
5504824014,win,Ranked Solo,2021-10-14 06:21:56,36m 58s,13,6,7,3.33:1,Triple Kill,empty,Lucian,Grandmaster,empty,Graves,chance no exist,Talon,Sunflοwer,Lissandra,LDLC Eika,Ziggs,CR Lowfire,Sona,Qnoxs,Camille,vnodwdje,Lillia,Happy Alexx,Lee Sin,SHøWMAKéR,Lucian,2021Worlds0171,Yuumi,Obstinatus
5504686498,win,Ranked Solo,2021-10-14 05:20:35,27m 15s,10,7,12,3.14:1,Double Kill,empty,Lucian,Grandmaster,empty,Singed,SlNGED,Taliyah,Chamana1,Yone,2021Worlds0019,Lucian,2021Worlds0171,Nami,LQTWUXWEEX,Camille,cursed property,Graves,knv2,Seraphine,Serendrip,Jhin,januaryneverends,Rakan,Adım Barkın
5504629023,lose,Ranked Solo,2021-10-14 04:42:16,23m 16s,11,8,5,2.00:1,Double Kill,empty,Lucian,Grandmaster,empty,Heimerdinger,Crowno,Talon,Cinkrofffffffff,Twisted Fate,Zhìì,Lucian,2021Worlds0171,Rakan,W0jti,Urgot,Wufo,Lee Sin,blrzr,Tristana,Ruined Crazyadri,Kai'Sa,LΣVl,Rell,FGG
5503714800,win,Ranked Solo,2021-10-13 07:30:40,20m 34s,7,2,12,9.50:1,Double Kill,MVP,Lucian,Grandmaster,empty,Fiora,HARDBASSABUSER69,Lee Sin,blrzr,Akali,serin1,Draven,Frappii Jabami,Nautilus,Rückendeckung,Irelia,its dark enough,Talon,LSADSDD,Sylas,Teą,Lucian,2021Worlds0171,Thresh,Hantera1
5503639444,win,Ranked Solo,2021-10-13 06:54:51,22m 21s,13,5,3,3.20:1,Double Kill,empty,Aphelios,Grandmaster,empty,Fiora,lennylennylenny,Viego,more than everr,Sylas,Lithuanian Doinb,Draven,G 2 3 H 1 Z U ,Lux,židovskej cigan,Jayce,JBL ABUSER,Nidalee,LSADSDD,Twisted Fate,Paul227,Aphelios,2021Worlds0171,Thresh,Hantera1
