gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5509805179,lose,Ranked Solo,2021-10-14 04:15:41,16m 6s,2,3,1,1.00:1,empty,empty,Nami,Master,empty,Tryndamere,학습 애호가,Nidalee,qwefsfgg,Irelia,최민경환강,Lucian,shenmiwanjia,Nami,kxnmb,Graves,가혹한현실,Talon,04 10 07,LeBlanc,BiliBliKing,Jhin,FA 0neZang,Nautilus,Twitch 보다
5509823909,lose,Ranked Solo,2021-10-14 03:45:03,17m 4s,0,10,4,0.40:1,empty,empty,Lulu,Diamond 1,empty,Wukong,L1ps,Karthus,   Lay   waste,LeBlanc,BiliBliKing,Draven,학습 애호가,Thresh,Rhythm5,Jayce,Arasaka,Lee Sin,두꺼비압수,Swain,khw0,Lucian,Teddy99,Lulu,kxnmb
5508231431,lose,Ranked Solo,2021-10-13 00:27:55,26m 12s,2,11,12,1.27:1,empty,empty,Jhin,Diamond 1,empty,Graves,스컬지,Lee Sin,맘 편히 자고싶다,Ahri,푸 얌,Yasuo,NS GGori,Yuumi,미아에몽,Shen,쉔 하,Zed,Daisy thy,Pyke,정점파이크zzz,Jhin,kxnmb,Nautilus,gongjianshou98
5508125336,win,Ranked Solo,2021-10-12 23:46:53,27m 6s,3,4,19,5.50:1,empty,empty,Lulu,Master,empty,Tryndamere,xiao ke tang,Jax,사랑해 융쏘야,Sylas,무지성큐돌리기,Lucian,박수빈따까리,Rakan,아이도루다,Irelia,Shadow0303,Jarvan IV,Dahuangren1,Kennen,나그냥죽을래,Vayne,난여행,Lulu,kxnmb
5507955307,lose,Ranked Solo,2021-10-12 22:32:51,15m 37s,0,6,2,0.33:1,empty,empty,Miss Fortune,Diamond 2,empty,Renekton,레넥톤 장인,Ekko,DaYE,Akshan,복슬복슬겨드랑이,Kai'Sa,쉽게죽을순없지,Taliyah,이탈리야 전문점,Shen,잼민TV마크샌즈,Lee Sin,yqyx,Akali,womeiyouxin,Miss Fortune,kxnmb,Leona,rurifangsheng
5507683870,lose,Ranked Solo,2021-10-12 21:26:31,16m 10s,0,6,0,0.00:1,empty,empty,Jhin,Platinum 1,empty,Shen,황성민성민,Graves,plz delete yone,Ryze,꿈이큰남자 재현,Ezreal,Hikku,Blitzcrank,러브 유,Mordekaiser,중 출 왕,Lee Sin,Wan Xia,Zed,고수 제드,Jhin,kxnmb,Thresh,찬란한 도구
5507529076,lose,Ranked Solo,2021-10-12 20:47:09,10m 21s,0,1,0,0.00:1,empty,empty,Ashe,Diamond 1,empty,Riven,청춘의막을내리다,Kindred,Xenicss,Qiyana,학박댕서엉,Ashe,kxnmb,Lulu,어머니의 호구마,Sett,삼바추는 흰둥이,Graves,coffee jug,Gragas,므라기,Draven,OOO0OOO0OO,Maokai,xiaoShu ovo
5507185043,win,Ranked Solo,2021-10-12 15:58:16,25m 54s,4,6,14,3.00:1,empty,empty,Jhin,Master,empty,Wukong,난폭한 양,Karthus,1231241242312231,LeBlanc,badqwer,Miss Fortune,tqerasdzas,Seraphine,늘 여름,Aatrox,xytn,Lee Sin,맘 편히 자고싶다,Kassadin,so sorry mid gap,Jhin,kxnmb,Thresh,Moonzx
5507080929,lose,Ranked Solo,2021-10-12 12:28:08,15m 24s,3,4,2,1.25:1,empty,empty,Blitzcrank,Master,empty,Karthus,고 인 영,Xin Zhao,SeongHw4n,Zed,제드빡고수,Miss Fortune,Kog Maw hello,Leona,easy on me ,Xerath,live with that,Graves,mkdwmo,Vex,balbalbal,Kai'Sa,달콤하게영원한사랑을전할래,Blitzcrank,kxnmb
5507056318,win,Ranked Solo,2021-10-12 11:31:26,24m 8s,8,2,8,8.00:1,Double Kill,empty,Miss Fortune,Master,empty,Akali,불꽃성훈,Graves,SDX Forever,Rumble,zzzzong,Ashe,Kog Maw hello,Shen,qwerjhlqwkethwzx,Sett,NDCW1,Nidalee,SeongHw4n,Aatrox,SugiKim,Miss Fortune,kxnmb,Nautilus,핑크공듀성덕
5461995108,lose,Normal,2021-09-19 18:44:28,27m 3s,3,11,9,1.09:1,Double Kill,empty,Hecarim,empty,empty,Riven,칼 그리고 점화,Lee Sin,섹시ad,Sylas,illa ilia,Aphelios,눈을 내리자,Rell,team fire Shy,Jax,조임달,Hecarim,kxnmb,Fizz,칼바람한정페이커,Miss Fortune,복노스,Lux,아이한맨
5388775797,lose,Ranked Solo,2021-08-13 18:27:01,11m 11s,0,4,0,0.00:1,empty,empty,Aphelios,Master,empty,Sett,박치기공룡입니닷,Volibear,mnbvcxze,Syndra,화원 아기,Aphelios,kxnmb,Trundle,이슬톡톡 좋아해,Jax,99pw 9844544,Elise,호 신 ,Jayce,Nation Blue,Ashe,OOO0OOO0OO,Sona,tailaliao
5388741687,lose,Ranked Solo,2021-08-13 18:03:10,20m 42s,2,7,6,1.14:1,empty,empty,Varus,Grandmaster,empty,Lee Sin,DK Ira,Xin Zhao,0909dedie,Ryze,99pw 9844544,Varus,kxnmb,Nautilus,krole,Sett,i am Decade,Vi,자메이카흑인,Sylas,C6kamisatoayaka,Aphelios,의연하게대처하다,Thresh,Graffitiii
5388464223,win,Ranked Solo,2021-08-13 15:00:43,18m 26s,10,4,5,3.75:1,Triple Kill,MVP,Varus,Grandmaster,empty,Talon,켈 란,Kha'Zix,처피뱅 카와이,Orianna,LSB Prince,Aphelios,디어사이드,Braum,새우초밥계란초밥,Aatrox,jingdaijieshu,Jarvan IV,Zhuanxinzhizhi,Irelia,Aileri,Varus,kxnmb,Thresh,기모링딩동1
5387773598,lose,Ranked Solo,2021-08-13 03:57:39,17m 44s,3,4,6,2.25:1,empty,empty,Caitlyn,Master,empty,Rakan,DangerousBoy ady,Graves,Z RyeoKR,Zed,율천고 최현우,Ziggs,KT H4rp,Bard,Mocha,Shen,zhao si ma gun,Kindred,youwiIIsucceed,Vladimir,뭐야이게M,Caitlyn,kxnmb,Tahm Kench,DWG BeryL
5387711679,lose,Ranked Solo,2021-08-13 03:19:30,28m 12s,5,4,10,3.75:1,Double Kill,empty,Caitlyn,Master,empty,Sylas,뽀송뽀숑비숑,Viego,지루한 날들,Akshan,크린손,Twitch,T10 Berserker,Rakan,KT R SUP,Tryndamere,Gen G Ophelia,Lee Sin,정현심,Renekton,Gon123,Caitlyn,kxnmb,Tahm Kench,DWG Ghost
5387619683,win,Ranked Solo,2021-08-13 02:45:30,23m 5s,10,2,4,7.00:1,Quadra Kill,empty,Caitlyn,Grandmaster,empty,Tryndamere,Gen G Ophelia,Lee Sin,Permaban10661334,Kennen,Kratos ba,Caitlyn,kxnmb,Trundle,yikemi,Jayce,Shirakami Fubuk1,Viego,늪에 빠지다1,Syndra,lanlanqqq,Kalista,의연하게대처하다,Braum,왕 흠
5387656608,lose,Ranked Solo,2021-08-13 02:12:40,21m 1s,0,10,1,0.10:1,empty,empty,Caitlyn,Grandmaster,empty,Kennen,Gen G Rascal,Lee Sin,늪에 빠지다1,Galio,왕 흠,Caitlyn,kxnmb,Morgana,Winsome2,Rakan,DangerousBoy ady,Diana,opqqpo,Varus,42141321,Akshan,현주입니다,Thresh,krole
