gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5462238369,lose,Ranked Solo,2021-09-19 21:05:03,23m 9s,1,7,8,1.29:1,empty,empty,Leona,Grandmaster,empty,Gnar,Burdoll,Taliyah, 엘 림,Yasuo,은가뉴,Draven,jkjkjkjkk,Gragas,옆동산외계인,Pantheon,FA Decky,Talon,JUGKlNG,Lucian,20200902start,Ziggs,사랑하지 않아,Leona,freeze5
5461933974,win,Ranked Solo,2021-09-19 17:40:24,21m 36s,1,2,15,8.00:1,empty,empty,Leona,Grandmaster,empty,Kennen,나는변신할것이다,Talon,Permaban10661334,Zed,미북이,Lucian,irasu1,Senna,숟뀨락,Graves,Hakunaa Matata,Taliyah,     la ji game,Pantheon,nodfan,Kalista,Lure or die ,Leona,freeze5
5457668970,lose,Ranked Solo,2021-09-17 22:21:18,24m 0s,0,7,8,1.14:1,empty,empty,Karma,Grandmaster,empty,Akshan,critique,Lee Sin,죽고다시태어나다,Kennen,LSB DDahyuk,Kai'Sa,little hamburger,Karma,freeze5,Quinn,발러야 밥먹자,Viego,번뜩이는 플레이,Galio,시간의 숲,Ezreal,long yan jing yi,Soraka,행복하게이기자구
5457519810,win,Ranked Solo,2021-09-17 21:42:36,27m 6s,6,2,19,12.50:1,MVP,empty,Rell,Diamond 1,empty,Kennen,bei feng hu hu,Nidalee,Permaban10660771,Sett,langmanbusi,Ashe,난여행,Karma,난휴식,Fiora,ggttlplp021,Taliyah,sasohae,Irelia,Erilia,Kalista,로이갓전용노예,Rell,freeze5
5457393388,lose,Ranked Solo,2021-09-17 20:13:20,27m 44s,2,5,22,4.80:1,empty,empty,Rakan,Grandmaster,empty,Riven,오동1,Xin Zhao,i Kimchi,Orianna,KT Ucal,Kai'Sa,asdasdsdfv,Rakan,freeze5,Fiora,윤용호,Talon,Talk n luv,Galio,디알엑스 제트,Lucian,디알엑스 킹겐,Lulu,LSB Utility
5457376820,win,Ranked Solo,2021-09-17 19:31:05,22m 9s,7,4,17,6.00:1,Double Kill,empty,Nautilus,Grandmaster,empty,Gragas,리얼쿠쿠루쿠쿠쿸,Viego,mnbvcxze,Zoe,BRO Yaharong,Jinx,RiHoo,Nautilus,freeze5,Akali,윤용호,Talon,jingshen qiang,Irelia,load CxRCW2mKSIG,Lucian,KT 5kld,Nami,awsdrfgyhjik
5457360215,win,Ranked Solo,2021-09-17 18:48:16,26m 21s,2,3,11,4.33:1,empty,empty,Amumu,Grandmaster,empty,Jayce,KT PerfecT,Graves,mnbvcxze,Sylas,C6kamisatoayaka,Ezreal,항상배고픈코그모,Amumu,freeze5,Camille,BRO LukaLux,Talon,Talk n luv,Ryze,사 용 수,Draven,아이린,Thresh,밤몽길
5455855766,lose,Ranked Solo,2021-09-16 21:20:26,17m 52s,3,7,4,1.00:1,empty,empty,Amumu,Grandmaster,empty,Akshan,어리고싶다,Taliyah,T1 F0rest,Viego,NEED HER,Varus,depart,Sylas,질려고게임함,Lee Sin,Gen G Rascal,Ekko,mnbvcxze,Graves,kaixin1dian,Lucian,KT R ADC,Amumu,freeze5
5455728962,lose,Ranked Solo,2021-09-16 20:50:43,26m 3s,7,5,13,4.00:1,empty,empty,Sett,Grandmaster,empty,Riven,오동1,Nidalee,Next child,Pantheon,KT Dove,Kai'Sa,mnbvcxze,Sett,freeze5,Vayne,Gon123,Taliyah,젠지 영재,Tryndamere,미북이,Lucian,Gen G Dice,Amumu,Let me sup
5421071216,lose,Ranked Solo,2021-08-29 02:20:15,29m 30s,2,6,16,3.00:1,ACE,empty,Trundle,Grandmaster,empty,Rumble,04 JUGKING li,Jarvan IV,앤 쥐,Ryze,woshijty,Kalista,산중호걸 호랑,Trundle,freeze5,Renekton,bei feng hu hu,Lee Sin,mnbvcxze,Sylas,qweasdqweasdqw,Ezreal,으라차차으라차차,Sona,manmanO
5418512834,lose,Ranked Solo,2021-08-28 00:00:04,25m 1s,1,2,3,2.00:1,ACE,empty,Rakan,Grandmaster,empty,Jayce,lebwcw,Kha'Zix,처피뱅 카와이,Galio,시간의 숲,Ezreal,어딘가좀아픈사람,Rakan,freeze5,Graves,BRO TaNa,Viego,woshifeji,Syndra,DK Pullbae,Varus,hggbexrloo,Bard,Let me sup
5418263035,win,Ranked Solo,2021-08-27 23:12:18,26m 8s,3,4,10,3.25:1,Triple Kill,empty,Sett,Grandmaster,empty,Tryndamere,갱붕이,Nidalee,mnbvcxze,Lucian,디알엑스 킹겐,Jinx,DK Kingdom,Rakan,cer,Kennen,1Conor McGregor2,Xin Zhao,DjMAX 염라 SC,Heimerdinger,PhasedKiller,Varus,T1 Gumayusi,Sett,freeze5
