gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5504970677,win,Ranked Solo,2021-10-14 08:13:46,32m 24s,6,6,24,5.00:1,empty,empty,Yuumi,Grandmaster,empty,Gnar,KCKS,Lee Sin,jackisek,Azir,Jonah Falcon,Yasuo,Red Winter,Thresh,GK Mishal,Sett,ANB 9eetoo,Kayn,EUW VILLAIN,Sylas,happy gαme,Miss Fortune,Matthew L,Yuumi,songqingliu gdlk
5504847607,lose,Ranked Solo,2021-10-14 07:29:10,20m 27s,2,1,7,9.00:1,ACE,empty,Lulu,Grandmaster,empty,Jax,HeIsinki,Xin Zhao,woshidoinb,Vex,Matthew L,Lucian,Guuuubs,Nami,BotIsLavaPathTop,Aatrox,chance no exist,Taliyah,kanaaa,Graves,jackisek,Miss Fortune,League Enjoyer 1,Lulu,songqingliu gdlk
5504911863,lose,Ranked Solo,2021-10-14 07:00:16,24m 8s,2,8,13,1.88:1,empty,empty,Yuumi,Grandmaster,empty,Kennen,chance no exist,Talon,Cinkrofffffffff,Akshan,ION Marrow Ooze,Miss Fortune,Rharesh,Pyke,woshidoinb,Gragas,Suirotas,Lee Sin,gaengsin,Ekko,BMS KrDjoo,Seraphine,zoír,Yuumi,songqingliu gdlk
5504816694,win,Ranked Solo,2021-10-14 06:27:56,27m 3s,0,5,16,3.20:1,empty,empty,Leona,Grandmaster,empty,Singed,SlNGED,Lee Sin,Goldguns88,Sylas,Chamana1,Vayne,ad is bait,Leona,songqingliu gdlk,Graves,Im Carry machine,Qiyana,Mohe dance hall,Seraphine,Serendrip,Kai'Sa,Play Date To You,Taric,WiIIyrex Fanboy
5503710892,win,Ranked Solo,2021-10-13 07:03:17,25m 25s,3,2,24,13.50:1,empty,empty,Lulu,Grandmaster,empty,Volibear,Wufo,Jarvan IV,Keule183,Syndra,YouMakeMeSmile,Lucian,EDG Innaxe,Nami,Bloopey,Irelia,Bad timing xd,Talon,Expecto Patrounm,Vex,Play Date To You,Ezreal,PLAYERS PARADISE,Lulu,songqingliu gdlk
5503633471,win,Ranked Solo,2021-10-13 06:28:35,37m 43s,1,6,23,4.00:1,empty,empty,Leona,Grandmaster,empty,Kennen,huntiandi1,Shaco,Mad Scìentist,Zed,420WeabooSlayer,Miss Fortune,Guuuubs,Leona,songqingliu gdlk,Irelia,toLyeV,Kha'Zix,LMAO OmulFinn,Galio,I like galio,Lucian,Beenie 11,Nami,Christian Lenz
5501620077,win,Ranked Solo,2021-10-12 03:16:09,25m 35s,4,3,10,4.67:1,empty,empty,Ezreal,Master,empty,Graves,nangman topsolo,Nidalee,7MDN,Lissandra,Soendergaaard,Ezreal,songqingliu gdlk,Leona,Capitana Nugget,Lee Sin,NattyNatt,Jarvan IV,eškere ty lopato,Ekko,TSM fanboiii,Jhin,RufusGB,Gragas,robloxmaciek
5501108946,lose,Ranked Solo,2021-10-11 19:10:04,32m 21s,4,4,19,5.75:1,empty,empty,Leona,Grandmaster,empty,Gwen,Vortum,Udyr,Ploxy,Vex,Eyhro,Caitlyn,Davidssonxxx,Morgana,darkchri99,Camille,Relentless Ray,Xin Zhao,Roulette,Orianna,zafccp,Jhin,Chad Movement,Leona,songqingliu gdlk
5500808736,win,Ranked Solo,2021-10-11 07:41:40,33m 34s,3,10,20,2.30:1,empty,empty,Sett,Master,empty,Qiyana,YQSH,Lee Sin,A Seal,Sylas,Mrozkμ,Lucian,Lee Mιn hyeong,Sett,songqingliu gdlk,Riven,Mintsandish,Kha'Zix,ice cοld,Ryze,Its Me InDeed,Miss Fortune,Xenxo,Leona,Pyrkα
5500698798,lose,Ranked Solo,2021-10-11 06:21:35,27m 17s,5,5,11,3.20:1,Double Kill,ACE,Leona,Grandmaster,empty,Sylas,IAimToMisbehave,Ivern,Morfariusss,Zed,420WeabooSlayer,Jhin,EDGVIPEREDGVIPER,Leona,songqingliu gdlk,Kennen,borcigendale,Graves,jungle dream,Irelia,Venour,Draven,SWENZUUUUUUUUUUU,Nami,Kaseko
5500751994,lose,Ranked Solo,2021-10-11 05:49:11,34m 48s,0,5,14,2.80:1,empty,empty,Rakan,Master,empty,Zilean,Prince Disco,Graves,Kapsztad,Dr. Mundo,Zhìì,Miss Fortune,goldento4st,Amumu,ClickJJ,Aatrox,ANB 9eetoo,Lee Sin,jackisek,Twisted Fate,Mohe dance hall,Ziggs,shine on me,Rakan,songqingliu gdlk
5500655650,win,Ranked Solo,2021-10-11 05:06:38,29m 42s,9,5,26,7.00:1,empty,empty,Nami,Master,empty,Sion,Thebausffs,Kha'Zix,FYN Jackson,Kassadin,Rogan Cale,Lucian,goldento4st,Nami,songqingliu gdlk,Sett,ANB 9eetoo,Kayn,erased jgl,LeBlanc,Mαno,Tristana,HalvorErEklegutt,Alistar,Toro Adventures
