gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5505428590,lose,Ranked Solo,2021-10-14 19:57:18,28m 10s,5,6,9,2.33:1,Double Kill,empty,Talon,Grandmaster,empty,Riven,distant star,Lee Sin,NoPhilter,Veigar,Froggen,Ezreal,kaylem ad acc,Yuumi,357159,Shen,Invícta,Talon,2021Worlds,Twisted Fate,QYURRYUS1,Caitlyn,silkysmath,Karma,Dimil Q
5505071207,win,Ranked Solo,2021-10-14 08:41:19,23m 55s,9,1,10,19.00:1,Double Kill,MVP,Gragas,Grandmaster,empty,Camille,Xhen Doo,Gragas,2021Worlds,Yasuo,tibor,Lucian,Cóbb,Taric,WiIIyrex Fanboy,Jax,dofaminu,Karthus,Lothrıc,Irelia,Decay0,Miss Fortune,Guuuubs,Leona,Advienne
5504899292,win,Ranked Solo,2021-10-14 07:54:46,20m 20s,5,1,7,12.00:1,empty,empty,Gragas,Grandmaster,empty,Zilean,TheDisconnect,Gragas,2021Worlds,Akshan,ION Marrow Ooze,Aphelios,2021Worlds0171,Thresh,Aesenar,Poppy,Poppuszka,Talon,bobber kong,Galio,Hantera1,Miss Fortune,Worsttt,Braum,Walid Georgey
5504895472,win,Ranked Solo,2021-10-14 07:27:01,28m 44s,11,11,12,2.09:1,empty,empty,Talon,Grandmaster,empty,Graves,Nillee,Talon,2021Worlds,Twisted Fate,SlXTEN,Tristana,Kevin Stevens,Bard,euw tourist,Singed,Let me fling you,Ivern,Morfariusss,Akshan,DEAFHEAVEN 3,Brand,Cóbb,Pyke,Walid Georgey
5504920601,lose,Ranked Solo,2021-10-14 06:52:11,23m 17s,4,7,8,1.71:1,empty,empty,Talon,Grandmaster,empty,Gwen,huntiandi1,Rek'Sai,Roi DEMON,Veigar,GODZILLA66666666,Tristana,HoIyPhoenîx,Lulu,Heimskáut réfur,Poppy,Poppuszka,Talon,2021Worlds,Ziggs,2021Worlds0171,Karthus,twtchtvELOSANTA,Pyke,Venera Farting
5504833905,win,Ranked Solo,2021-10-14 06:22:40,35m 48s,16,10,13,2.90:1,Triple Kill,MVP,Viego,Grandmaster,empty,Poppy,Poppuszka,Viego,2021Worlds,Kassadin,CS Big Boss,Jhin,PLAYERS PARADISE,Janna,HA ΠOΔCOCE,Gwen,jg diff victim,Hecarim,RainbowBud,Zed,Smooth Guy,Miss Fortune,Matthew L,Rakan,x4T7
5504516370,win,ARAM,2021-10-14 03:14:28,15m 57s,15,8,19,4.25:1,Triple Kill,empty,Akali,empty,empty,Akali,2021Worlds,Jayce,lucathebazooka4,Pantheon,TenAoRyu,Taliyah,Jooel,Graves,100volt,Aatrox,JuanTabac3,Cho'Gath,Riyaa,Yasuo,TheMové,Lux,Lanubya,Vel'Koz,skarthebarbar
5503939911,win,ARAM,2021-10-13 18:26:15,16m 14s,17,7,14,4.43:1,Double Kill,empty,Samira,empty,empty,Samira,2021Worlds,Nidalee,lllIIIllllIl,Kindred,KNT ToxicTequila,Master Yi,Farhamm,Diana,Toxic Ricky,Jarvan IV,LeS2Li,Cho'Gath,Hiddenchat,Lillia,derMichelinmann,Aphelios,MusashiM,Mordekaiser,Xdeujon
5503721877,win,Ranked Solo,2021-10-13 07:19:06,27m 42s,13,3,9,7.33:1,Quadra Kill,empty,Graves,Grandmaster,empty,Aatrox,Venour,Graves,2021Worlds,Singed,Sorya,Ezreal,quack1,Karma,i purr 4 drututt,Rumble,Suirotas,Rengar,hubi v9,Cassiopeia,TheRoyalKanin,Lucian,Emtest,Nami,godzaimeris
5503569832,win,Ranked Solo,2021-10-13 06:41:11,20m 13s,16,1,7,23.00:1,Triple Kill,MVP,Gragas,Grandmaster,empty,Aatrox,CaÞs,Lee Sin,ifollowthebeat,Sylas,Po Gap,Vel'Koz,GOREDRINK STERAK,Nami,godzaimeris,Poppy,Poppuszka,Gragas,2021Worlds,Graves,TheRoyalKanin,Jhin,jdq,Rakan,very noob xd
