gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5470772410,win,Ranked Solo,2021-09-23 18:48:17,30m 57s,4,5,4,1.60:1,empty,empty,Zed,Grandmaster,empty,Kennen,커피물조절장인,Ekko,wushugexingcheng,Talon,시간의 숲,Lucian,유머1234,Lulu,hggbexrloo,Cassiopeia,킬러톱,Zed,mnbvcxze,Twisted Fate,Headshrinker,Ezreal,zszzz,Braum,리그오브레전드ll
5469705767,win,Ranked Solo,2021-09-23 01:26:00,26m 42s,6,0,7,Perfect,empty,empty,Qiyana,Grandmaster,empty,Tryndamere,Tryndamere777,Nidalee,일산전영찬,Pantheon,BJ갈배,Ziggs,Imaokai,Thresh,Practice,Sejuani,이도류,Qiyana,mnbvcxze,Orianna,잠만뽀미,Miss Fortune,엔 햐,Maokai,FTC
5462796746,lose,Ranked Solo,2021-09-20 00:07:32,20m 58s,4,5,2,1.20:1,Double Kill,empty,Viego,Grandmaster,empty,Kennen,포동포동아기물개,Viego,mnbvcxze,Renekton,DWG Bubbling,Jinx,향 깃,Lulu,255LV,Tryndamere,샤오 쑤,Kha'Zix,처피뱅 카와이,Talon,시간의 숲,Cassiopeia,라데시 너어,Sett,당신은게임을왜함
5462555432,lose,Ranked Solo,2021-09-19 23:16:38,24m 4s,3,7,7,1.43:1,empty,empty,Samira,Master,empty,Fiora,YaoBuKeJiDeNi,Lee Sin,chocolate butter,Zoe,모두 화이팅 하자,Samira,mnbvcxze,Rell,렐복치,Gnar,BJ갈배,Ekko,a little story,Irelia,Qufl,Ezreal,xiguazhi,Nami,수요일은다먹는날
5462368774,lose,Ranked Solo,2021-09-19 22:42:28,26m 7s,9,8,8,2.13:1,Double Kill,empty,Diana,Grandmaster,empty,Lulu,경민 봉준 재걸 Again,Nidalee,일산전영찬,Yasuo,은가뉴,Miss Fortune,디알엑스 태윤,Nami,옆동산외계인,Ryze,사 용 수,Diana,mnbvcxze,Tryndamere,bei feng hu,Ezreal,El Matador 7 9,Karma,Twitch아라드
5462297692,lose,Ranked Solo,2021-09-19 21:51:48,27m 56s,2,8,10,1.50:1,empty,empty,Nautilus,Grandmaster,empty,Sylas,워웍뿌삐,Lee Sin,승리가필요한인간,Yone,viper3,Aphelios,kwqejksad,Nautilus,mnbvcxze,Jayce,El Matador 7 9,Kayn, 엘 림,Zoe,BRO Yaharong,Jhin,impupupu,Alistar,디알엑스 태윤
5462252548,win,Ranked Solo,2021-09-19 21:12:24,16m 3s,10,0,6,Perfect,Double Kill,MVP,Viego,Grandmaster,empty,Jayce,T1 Canna,Nidalee,hyc0505,Renekton,DWG Bubbling,Samira,애기야 안녕,Amumu,종갈통,Kennen,포동포동아기물개,Viego,mnbvcxze,LeBlanc,잠만뽀미,Varus,방서동주민,Shen,쉔과나의연결고리
5462221429,win,Ranked Solo,2021-09-19 20:39:08,36m 10s,6,4,10,4.00:1,MVP,empty,Lee Sin,Master,empty,Kennen,1241235115551535,Kindred,woshifeji,Lulu,제드팀 하원,Lucian,Gen G Michi,Rakan,xiatingchan,Jayce,time or time,Lee Sin,mnbvcxze,Zoe,조댁근1,Ezreal,AD JJoon,Nami,363363363
5461857050,lose,Ranked Solo,2021-09-19 17:47:26,18m 29s,4,6,9,2.17:1,Double Kill,empty,Taliyah,Master,empty,Irelia,Noticed,Taliyah,mnbvcxze,Graves,Z RyeoKR,Kai'Sa,몽키 D 짱구,Maokai,뚝이칩,Sett,Trisak,Kayn,2007 xhr,Syndra,UMBBBBBBBBB,Jinx,어쩌라고여진짜,Thresh,Gaga baby
5460768528,lose,Ranked Solo,2021-09-19 02:21:43,16m 50s,2,5,5,1.40:1,empty,empty,Kai'Sa,Master,empty,Gnar,A2ST,Nunu & Willump,갓누붕이,Yasuo,Qufl,Kai'Sa,mnbvcxze,Gragas,SugarD,Kennen,Netify,Nidalee,a new beginn1ng,Qiyana,Permaban10661117,Lucian,viper3,Alistar,종갈통
5460794760,lose,Ranked Solo,2021-09-19 01:54:17,16m 16s,7,2,0,3.50:1,Double Kill,empty,Graves,Grandmaster,empty,Yone,우성우성,Graves,mnbvcxze,Lulu,서창훈,Aphelios,유머1234,Braum,SugarD,Lee Sin,A2ST,Karthus,EDGqx12312313,Qiyana,Permaban10661117,Kai'Sa,little hamburger,Leona,IgNar
5460688218,win,Ranked Solo,2021-09-19 01:17:20,20m 25s,8,0,2,Perfect,Triple Kill,MVP,Lee Sin,Master,empty,Irelia,BIack Baby,Ekko,muzan,Vladimir,T1 Canna,Miss Fortune,T1 Dodoup,Amumu,IgNar,Jayce,im1v5,Lee Sin,mnbvcxze,Zoe,갱값하는미드,Kai'Sa,little hamburger,Rakan,SugarD
5460741607,lose,Ranked Solo,2021-09-19 00:46:12,22m 31s,3,8,4,0.88:1,Double Kill,empty,Talon,Grandmaster,empty,Mordekaiser,ziyou,Graves,데아시두스이어링,Camille,운이 좋았던 날,Kindred,아프리카 아라드,Amumu, 엘 림,Twisted Fate,CIoudburst,Talon,mnbvcxze,Jax,FA Decky,Twitch,irasu1,Maokai,Destiny
5459675034,lose,Ranked Solo,2021-09-18 19:12:17,29m 3s,4,10,11,1.50:1,empty,empty,Talon,Grandmaster,empty,Akshan,C6kamisatoayaka,Rek'Sai,우울적울컥,Cassiopeia,DK Kingdom,Aphelios,irasu1,Amumu,KT Way,Poppy,칼과 창 방패,Talon,mnbvcxze,Galio,a little story,Jinx,T1 Gumayusi,Thresh,교육잘받은도구
5459626123,win,Ranked Solo,2021-09-18 18:18:10,23m 23s,2,4,9,2.75:1,empty,empty,Talon,Grandmaster,empty,Twisted Fate,CIoudburst,Graves,번뜩이는 플레이,Karma,사랑하지 않아,Lucian,zxcsazxcazdz,Leona,snzll,Jayce,Trisak,Talon,mnbvcxze,Karthus,멘탈하난좋아 ,Kai'Sa,항상배고픈코그모,Rakan,Seize the day11
5459525966,lose,Ranked Solo,2021-09-18 17:27:09,31m 20s,3,7,19,3.14:1,empty,empty,Rakan,Grandmaster,empty,Kennen,강하다 별,Lee Sin,사신몬,Tryndamere,Talk n luv,Ashe,irasu1,Rakan,mnbvcxze,Sett,bei feng hu,Viego,LSB DDahyuk,Akali,LSB Winter,Draven,kwqejksad,Nami,변화하다
5459429796,lose,Ranked Solo,2021-09-18 16:34:35,11m 34s,2,1,1,3.00:1,empty,empty,Graves,Grandmaster,empty,Jayce,BRO Yaharong,Graves,mnbvcxze,Ryze,LSB Winter,Kai'Sa,DK Kingdom,Leona,fuzhu carry,Sylas,Talk n luv,Talon,Permaban10661334,Tryndamere,fashion여자,Vayne,viper3,Blitzcrank,Let me sup
5458262890,win,Ranked Solo,2021-09-18 00:07:05,26m 48s,8,5,9,3.40:1,Double Kill,empty,Nidalee,Master,empty,Lulu,Fiora,Nidalee,mnbvcxze,Yone,애달프다,Aphelios,zszzz,Blitzcrank,Quiero ganar,Jarvan IV,Jian ren bizui,Graves,Star Supernova,Zoe,퀸 세연,Ashe,로이갓전용노예,Anivia,Huya zhubohe
5458102287,lose,Ranked Solo,2021-09-17 23:23:43,29m 9s,4,8,8,1.50:1,empty,empty,Viego,Master,empty,Fiora,폼 팡,Viego,mnbvcxze,Lissandra,12시간닷지는못해,Jhin,hopeisdangerous,Zilean,김규남 fan,Camille,공부하기시러요,Taliyah,YouTube 로어,Galio,갱값하는미드,Lucian,Mangja,Lulu,하나둘둘셋셋셋
5457875250,win,Ranked Solo,2021-09-17 22:42:56,16m 58s,6,1,3,9.00:1,empty,empty,Viego,Grandmaster,empty,Kennen,디알엑스 킹겐,Viego,mnbvcxze,Lulu,Fiora,Kindred,아라드,Karma,우주방패,Poppy,칼과 창 방패,Graves,아크샨밴의 신,Ryze,kaixin1dian,Lucian,로이갓전용노예,Nami,Mocha
5456400129,win,Ranked Solo,2021-09-17 03:40:02,17m 34s,10,4,5,3.75:1,Double Kill,empty,Diana,Master,empty,Gwen,pzz 1,Talon,Sukiiiu,Sylas,Slowly Song,Kai'Sa,ljq1,Leona,Slayder,Jax,Choln,Diana,mnbvcxze,Tryndamere,yiyibaobei,Samira,Gen G Envy,Amumu,TOSXD
5456346697,lose,Ranked Solo,2021-09-17 02:58:20,29m 26s,1,9,14,1.67:1,empty,empty,Nautilus,Master,empty,Sylas,im1v5,Zed,hai cha de yuan,Ryze,단군의청춘부재,Aphelios,shangtougui,Nautilus,mnbvcxze,Kennen,모두모두항복하길,Lee Sin,Cuzz,Fizz,BJ서준석사생팬,Ashe,bai si yyds,Rakan,독기품기
5456036787,win,Ranked Solo,2021-09-16 23:17:03,27m 37s,15,5,8,4.60:1,Double Kill,empty,Zed,Master,empty,Lissandra,28 08 2001,Talon,짐승잡종인간,Kog'Maw,CHAN SAY,Nunu & Willump,dansafakez,Lulu,장임박,Sett,hybabe,Zed,mnbvcxze,Ahri,걸그룹노래맞추기,Kalista,badday1,Rell,렐복치
5455855766,lose,Ranked Solo,2021-09-16 21:20:26,17m 52s,4,7,5,1.29:1,empty,empty,Ekko,Grandmaster,empty,Akshan,어리고싶다,Taliyah,T1 F0rest,Viego,NEED HER,Varus,depart,Sylas,질려고게임함,Lee Sin,Gen G Rascal,Ekko,mnbvcxze,Graves,kaixin1dian,Lucian,KT R ADC,Amumu,freeze5
5455728962,lose,Ranked Solo,2021-09-16 20:50:43,26m 3s,8,4,7,3.75:1,ACE,empty,Kai'Sa,Grandmaster,empty,Riven,오동1,Nidalee,Next child,Pantheon,KT Dove,Kai'Sa,mnbvcxze,Sett,freeze5,Vayne,Gon123,Taliyah,젠지 영재,Tryndamere,미북이,Lucian,Gen G Dice,Amumu,Let me sup
5455573004,lose,Ranked Solo,2021-09-16 19:17:28,37m 53s,3,13,7,0.77:1,Double Kill,empty,Viego,Grandmaster,empty,Shen,가마니 우럭따,Nidalee,Haru0304,Riven,오동1,Kai'Sa,DK Kingdom,Amumu,일산전영찬,Gnar,BJ갈배,Viego,mnbvcxze,Kassadin,LunaLina,Ezreal,디알엑스 킹겐,Lulu,suzhiwanjiaOvO
