gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5420276215,lose,Ranked Solo,2021-08-28 22:21:05,15m 52s,2,4,2,1.00:1,empty,empty,Graves,Grandmaster,empty,Jayce,Liiv Howling,Nidalee,롤듀오 코코팀,Yasuo,uppi,Akshan,권 지 인,Leona,잭 호,Jax,갱붕이,Graves,mnbvcxzs,Heimerdinger,PhasedKiller,Ashe,zszzz,Karma,Permaban10555153
5415131782,win,ARAM,2021-08-26 04:16:27,15m 47s,12,9,23,3.89:1,Double Kill,empty,Mordekaiser,empty,empty,Aatrox,샤베트,Katarina,천상최강의사나이,Kog'Maw,DWC8,Viego,e2c1ap,Fiddlesticks,마스터갔다온사람,Brand,IlIlIlllIIlI,Kindred,이새기들,Nami,flowstate,Wukong,만두가울면물만두,Mordekaiser,mnbvcxzs
5400800217,win,Ranked Solo,2021-08-19 03:33:34,28m 57s,6,5,11,3.40:1,MVP,empty,Graves,Grandmaster,empty,Gragas,im1v5,Graves,mnbvcxzs,Lee Sin,Fu4kTheworld,Xayah,weuyuhajshdk,Rakan,호잇이,Jayce,공부하기시러요,Nidalee,Juhana,Ryze,Gen G Karis,Jinx,Gen G Ruler,Morgana,항상배고픈코그모
5400656691,lose,Ranked Solo,2021-08-19 02:37:02,23m 56s,6,4,6,3.00:1,ACE,empty,Nidalee,Grandmaster,empty,Renekton,Gen G Quid,Nidalee,mnbvcxzs,Talon,에 넥,Ziggs,iiinging,Pantheon,쭌 베,Jax,Liiv OnFleek,Lee Sin,byz,Irelia,나는 준일하다,Syndra,구마유시,Leona,한영원
5400654702,lose,Ranked Solo,2021-08-19 02:04:53,15m 58s,3,2,1,2.00:1,ACE,empty,Lee Sin,Challenger,empty,Renekton,T1 Oner,Lee Sin,mnbvcxzs,Syndra,모두 화이팅 하자,Kalista,Gen G Ruler,Rakan,szygszn,Jax,Liiv OnFleek,Zac,역시폭군,Sett,iiinging,Aphelios,Gen G Envy,Braum,한영원
5400621776,lose,Ranked Solo,2021-08-19 01:35:42,21m 29s,6,6,1,1.17:1,empty,empty,Diana,Challenger,empty,Warwick,워웍뿌삐,Diana,mnbvcxzs,Lee Sin,Gen G Clid,Aphelios,BRO Hena,Leona,kcvawsreiuyopdgz,Renekton,오동1,Nidalee,Liiv Croco,Sylas,류병준입니다,Ashe,shenzhenshaoye,Lulu,Seize the day11
5400506617,lose,Ranked Solo,2021-08-19 00:50:43,15m 43s,1,4,1,0.50:1,empty,empty,Jarvan IV,Grandmaster,empty,Jarvan IV,mnbvcxzs,Karthus,laozishifanpai,Talon,에 넥,Syndra,항상배고픈코그모,Trundle,woshissm,Gwen,KT PerfecT2,Viego,a little story,Ekko,풍식2,Aphelios,이기고오쉽당,Braum,Seize the day11
5400481889,lose,Ranked Solo,2021-08-19 00:19:10,19m 37s,4,4,0,1.00:1,ACE,empty,Kha'Zix,Grandmaster,empty,Camille,Liiv Howling,Nidalee,Liiv Croco,Yasuo,진짜 졸라 빡치네,Varus,UPzhao641950117,Alistar,한영원,Lillia,Yorick,Kha'Zix,mnbvcxzs,Twisted Fate,먼지 한 알,Jhin,shenzhenshaoye,Thresh,concesslon
5400313305,win,Ranked Solo,2021-08-18 22:58:08,32m 45s,15,4,7,5.50:1,Triple Kill,MVP,Graves,Grandmaster,empty,Riven,오동1,Graves,mnbvcxzs,Orianna,Pnpm,Ashe,El Matador 7 9,Poppy,참새크면비둘기,Kennen,Big story,Zac,a little story,Lucian,Kimwinter,Kalista,구마유시,Blitzcrank,concesslon
5399474675,win,Ranked Solo,2021-08-18 15:17:38,16m 14s,5,2,2,3.50:1,MVP,empty,Camille,Grandmaster,empty,Camille,mnbvcxzs,Viego,푹 쉬면서 해요 ,Orianna,DK Pullbae,Kai'Sa,승리가필요한인간,Blitzcrank,concesslon,Jarvan IV,A2ST,Nidalee,Liiv OnFleek,Graves,양념형,Kalista,구마유시,Tahm Kench,LSB Utility
5398835681,lose,Ranked Solo,2021-08-18 01:51:18,24m 8s,3,6,13,2.67:1,ACE,empty,Jarvan IV,Grandmaster,empty,Sett,byz,Jarvan IV,mnbvcxzs,Zoe,타락파워조이,Kai'Sa,참 몬났다,Blitzcrank,호잇이,Jayce,A2ST,Rumble,Haru0304,Graves,Gen G Karis,Aphelios,이기고오쉽당,Leona,구마유시
5398840753,win,Ranked Solo,2021-08-18 01:10:20,21m 55s,5,2,5,5.00:1,empty,empty,Diana,Grandmaster,empty,Zac,LSB Courage,Graves,Diabloi,Ryze,Gen G Ruler,Aphelios,서렌열리면대충함,Lulu,Seize the day11,Jayce,njnjnjnjnjnjj,Diana,mnbvcxzs,Yasuo,은가뉴,Cassiopeia,DK Kingdom,Tahm Kench,DK Bible
5398741690,win,Ranked Solo,2021-08-18 00:19:15,31m 41s,9,3,16,8.33:1,Double Kill,empty,Diana,Challenger,empty,Jayce,FA Decky,Taliyah,JustLikeThatKR,Irelia,류병준입니다,Tristana,BRO Hena,Leona,곽곽보성,Riven,오동1,Diana,mnbvcxzs,Graves,a little story,Kai'Sa,호잇이,Zac,역시폭군
5398666168,lose,Ranked Solo,2021-08-17 23:37:41,18m 35s,2,6,5,1.17:1,empty,empty,Graves,Challenger,empty,Riven,오동1,Diana,푹 쉬면서 해요 ,Irelia,오뚜기3분미트볼,Ashe,BRO Hena,Sett,woshissm,Akshan,은신 갈고리 부활,Graves,mnbvcxzs,Orianna,갱붕이,Aphelios,참 몬났다,Thresh,Shadow Winsome
5398498906,lose,Ranked Solo,2021-08-17 23:08:58,33m 50s,4,7,14,2.57:1,empty,empty,Jayce,Challenger,empty,Ryze,오뚜기3분미트볼,Viego,나는변신할것이다,Sylas,Trisak,Ezreal,viper3,Maokai,둠심 YouTube,Kennen,은신 갈고리 부활,Kindred,푹 쉬면서 해요 ,Jayce,mnbvcxzs,Ashe,jkjkjkjkk,Leona,Let me sup
5397006511,win,Ranked Solo,2021-08-17 01:55:17,23m 2s,5,3,21,8.67:1,Double Kill,MVP,Jarvan IV,Grandmaster,empty,Renekton,Trisak,Jarvan IV,mnbvcxzs,LeBlanc,DK Pullbae,Yasuo,Zxkkwhy,Rakan,Let me sup,Gnar,gyuvee,Rumble,laozishifanpai,Irelia,19yearr,Varus,KT Way,Gragas,곽곽보성
