gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5470788886,win,Ranked Solo,2021-09-23 20:32:54,22m 29s,9,5,4,2.60:1,Double Kill,empty,Aatrox,Master,empty,Aatrox,bei feng hu hu,Karthus,Permaban10661334,Poppy,캐 인 ,Lucian,KT R ADC,Amumu,kukuking,Mordekaiser,77GameZting,Lee Sin,wuliaodexianshi,LeBlanc,Hide on bush,Jinx,wu tiao jian,Rell,Mocha
5470851024,lose,Ranked Solo,2021-09-23 19:47:35,23m 34s,4,14,3,0.50:1,empty,empty,Sett,Master,empty,Fiora,라인전이기면패배,Kindred,Taehyoung,Sylas,Sadman1,Ashe,woyazohibuon,Fiddlesticks,피들서폿성공적,Sett,bei feng hu hu,Skarner,으악 벌레 징그러,Rumble,FatFatYing,Draven,화생방드장,Lux,szpt
5470766118,lose,Ranked Solo,2021-09-23 19:11:51,23m 56s,2,6,4,1.00:1,empty,empty,Aatrox,Master,empty,Aatrox,bei feng hu hu,Lee Sin,무지성큐돌리기,Ornn,멸망의인도자,Tristana,xx7dz,Nautilus,망토와단검,Gangplank,pdfgh,Olaf,abczxd,Zed,Nation Blue,Lucian,it calls echoes,Lulu,Purpo지니
5470770553,win,Ranked Solo,2021-09-23 18:37:13,35m 12s,3,8,8,1.38:1,empty,empty,Kennen,Diamond 1,empty,Shen,HakosBaelzFan1,Shaco,외길인생 샤코,Katarina,청춘단검,Kai'Sa,xixixlxix,Thresh,임녜준,Kennen,bei feng hu hu,Kindred,g00dyun,Yasuo,usakifan,Vayne,초보원딜러,Lulu,콩이울어
5470529038,lose,ARAM,2021-09-23 16:39:15,13m 55s,6,5,22,5.60:1,Double Kill,empty,Senna,empty,empty,Nidalee,그랩맞으면서폿탓,Aatrox,이렐교주,Kalista,집안쓰레기,Galio,H1de on bush,Fizz,03 April,Diana,내너야메,Viego,지저동 제어와드,Miss Fortune,개구리와영원,Amumu,    middle  YoNe,Senna,bei feng hu hu
5470505206,lose,ARAM,2021-09-23 16:12:21,20m 16s,5,10,12,1.70:1,Double Kill,empty,Ziggs,empty,empty,Varus,파주다솔,Alistar,뱅 찬,Gangplank,미스트롯3,Ashe,nbsg,Ziggs,bei feng hu hu,Caitlyn,wjwjwj,Lux,sypio,Yasuo,그런데로,Vladimir,IMNMNIWNM,Kennen,억 까 니 은
5470561327,lose,ARAM,2021-09-23 15:36:57,13m 29s,6,12,15,1.75:1,Double Kill,empty,Miss Fortune,empty,empty,Malphite,get it together,Thresh,데맏th아,Senna,루시환,Jayce,연한 보랏빛,Corki,티모GOD,Azir,Goda,Tristana,Cherie Vanilla,Pyke,오 이 남,Teemo,13살인생이쓰다,Miss Fortune,bei feng hu hu
5470399023,lose,ARAM,2021-09-23 15:09:29,11m 35s,1,7,15,2.29:1,empty,empty,Katarina,empty,empty,Malphite,그랩맞으면서폿탓,Galio,The Dark Flight,Jhin,70kg도전,Lucian,케이엔,Katarina,bei feng hu hu,Miss Fortune,유 인,Lissandra,위 느,Kayn,한상빈,Soraka,zl존or기곰돌e,Nunu & Willump,조아해요
5470405946,lose,ARAM,2021-09-23 14:40:37,13m 33s,3,7,6,1.29:1,empty,empty,Wukong,empty,empty,Kayle,움직이기 싫어요,Akshan,국 내 산 우 엉,Garen,leinon,Master Yi,kawaii kanojo,Wukong,bei feng hu hu,Kai'Sa,BeomB,Gangplank,노란색사고,Zed,야미몬,Singed,layton bot,Jhin,디메치콘
5469160186,lose,Ranked Solo,2021-09-22 19:24:35,10m 50s,0,1,0,0.00:1,empty,empty,Aatrox,Master,empty,Maokai,딸기바나나소프트,Taliyah,Caipangshihua,Lee Sin,짜 룽,Draven,zszzz,Amumu,kukuking,Aatrox,bei feng hu hu,Rek'Sai,블루리쉬잘해요,LeBlanc,진쏘킴,Miss Fortune,lol adc,Fiddlesticks,피들서폿성공적
