gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5504507036,win,Ranked Solo,2021-10-14 03:17:03,15m 30s,2,4,4,1.50:1,MVP,empty,Jayce,Grandmaster,empty,Aatrox,Teą,Nidalee,levies,Yone,Dzukill,Ezreal,Emtest,Janna,Qnoxs,Jayce,lucky iceland ,Graves,VâllHîR,Kassadin,Armoured Dragon,Jhin,x4T7,Nautilus,UOL Doedalo
5504502660,lose,Ranked Solo,2021-10-14 02:56:00,23m 35s,8,5,3,2.20:1,Double Kill,ACE,Camille,Grandmaster,empty,Camille,lucky iceland ,Kha'Zix,levies,LeBlanc,2021WorldsOp3N,Lucian,Fatihcan,Nami,UOL Doedalo,Graves,Go Ha Go Ha,Karthus,ett vilt lejon,Sylas,Decay0,Miss Fortune,RoseLMonster,Bard,EL BARDOOOO
5504415735,win,Ranked Solo,2021-10-14 02:23:38,35m 17s,9,16,11,1.25:1,empty,empty,Graves,Grandmaster,empty,Graves,lucky iceland ,Nidalee,nap ability,Irelia,G 2 3 H 1 Z U ,Jhin,Slyv3r,Yuumi,i purr 4 drututt,Sylas,the topgapper,Lee Sin,bobber kong,Lissandra,Sunflοwer,Miss Fortune,Fatihcan,Rell,gIockinmylap
5504401353,lose,Ranked Solo,2021-10-14 01:41:49,28m 23s,6,8,4,1.25:1,Double Kill,ACE,Camille,Master,empty,Camille,lucky iceland ,Karthus,Sawyorr,Twisted Fate,LGBTQJPGMD,Lucian,Dokimi orion,Leona,weaksider123,Aatrox,Darlik1,Lee Sin,Iow expectations,Ekko,nap ability,Miss Fortune,Monett,Amumu,ψτροφήψ
5503723409,win,ARAM,2021-10-13 07:16:29,14m 39s,17,6,15,5.33:1,Triple Kill,empty,Katarina,empty,empty,Katarina,lucky iceland ,Wukong,SaanGO,Gnar,FNC Biscuit,Morgana,ABCD197,Xerath,Katsugod,Jayce,Tûdd,Dr. Mundo,Optimus warrior1,Senna,Dumak7,Ezreal,Azizi,Nami,Oo Slay3r oO
5503629153,win,Ranked Solo,2021-10-13 06:59:52,29m 32s,8,8,9,2.13:1,Double Kill,empty,Irelia,Master,empty,Gwen,LNGLNGLNG,Talon,NVD Flufo,Diana,Kamus,Miss Fortune,Dokimi orion,Lulu,Fleshy1,Irelia,lucky iceland ,Ekko,potatoporcupine1,Tristana,Ruined Crazyadri,Draven,SWENZUUUUUUUUUUU,Nami,do me wrong
5503574799,win,Ranked Solo,2021-10-13 06:16:38,25m 25s,3,2,6,4.50:1,empty,empty,Gwen,Grandmaster,empty,Poppy,Poppuszka,Viego,Whiteakitout,Sylas,2021Worlds,Jhin,jdq,Galio,LIMIT12345,Gwen,lucky iceland ,Lee Sin,fooling around,Lissandra,ZWYRØØ,Aphelios,TL Tactical,Rakan,FGG
5502892349,win,Ranked Solo,2021-10-12 21:15:41,15m 47s,8,3,4,4.00:1,Triple Kill,empty,Irelia,Grandmaster,empty,Ornn,WO DIUUUUUUUUU,Zed,knight9źź,Sylas,woshilqs,Aphelios,11Lunari Weapons,Pyke,Bakkerij Nasib,Irelia,lucky iceland ,Jarvan IV,sejun1,Karma,KLOSHARS40FIRMI,Jinx,2021Worlds0171,Thresh,Stend1
5502738474,win,Ranked Solo,2021-10-12 20:15:48,15m 12s,2,3,2,1.33:1,empty,empty,Gwen,Grandmaster,empty,Poppy,Vizícsacsi,Hecarim,HUMBLE VELJA,Aphelios,MeritxeIl,Katarina,TwTv Ronges1,Thresh,gIockinmylap,Gwen,lucky iceland ,Lee Sin,Temporal Warden,Graves,1997Worlds0013,Ezreal,bnaduhas,Rakan,W0jti
5501648930,lose,Ranked Solo,2021-10-12 03:11:09,23m 53s,1,9,5,0.67:1,empty,empty,Irelia,Grandmaster,empty,Irelia,lucky iceland ,Jarvan IV,Kusa o Miko,LeBlanc,Einard,Lucian,League Enjoyer 1,Karma,Bakkerij Nasib,Malphite,Crowno,Evelynn,Μaverick,Akshan,ION Marrow Ooze,Draven,missing it,Janna,BanYuUmiOrInT
